,rank,name,team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
0,1,김선규,LG,3.13,31,2,0,0,2,1.000,31 2/3,34,5,10,2,19,12,11,1.39
1,2,우규민,LG,3.42,25,11,9,0,0,0.550,152 2/3,163,13,17,12,119,64,58,1.18
2,3,윤지웅,LG,3.77,78,3,1,0,12,0.750,62,47,3,17,1,54,26,26,1.03
3,4,소사,LG,4.03,32,10,12,0,1,0.455,194 1/3,199,16,36,5,177,102,87,1.21
4,5,김지용,LG,4.13,24,1,1,0,0,0.500,32 2/3,30,4,12,1,28,15,15,1.29
5,6,이동현,LG,4.40,60,5,5,4,11,0.500,59 1/3,65,4,20,2,55,33,29,1.43
6,7,류제국,LG,4.78,24,4,9,0,0,0.308,130,134,16,55,14,88,72,69,1.45
7,8,신승현,LG,4.79,37,0,1,0,3,0.000,35 2/3,32,3,18,5,30,19,19,1.40
8,9,봉중근,LG,4.93,47,5,2,15,0,0.714,49 1/3,60,10,23,6,39,28,27,1.68
9,10,루카스,LG,4.93,33,10,11,0,1,0.476,171 2/3,175,11,108,14,151,103,94,1.65
10,11,임정우,LG,5.04,54,6,9,5,3,0.400,109,123,8,50,14,99,65,61,1.59
11,12,정찬헌,LG,5.52,32,3,6,1,5,0.333,44,49,3,14,5,32,27,27,1.43
12,13,유원상,LG,5.59,25,1,1,0,1,0.500,37,44,6,12,2,22,26,23,1.51
13,14,진해수,LG,5.72,39,2,2,0,4,0.500,28 1/3,29,2,16,5,20,19,18,1.59
14,15,김광삼,LG,5.74,4,0,1,0,0,0.000,15 2/3,16,2,9,1,11,13,10,1.60
15,16,이승현,LG,5.87,15,0,0,0,0,-,15 1/3,14,1,10,1,21,10,10,1.57
16,17,임지섭,LG,6.25,8,1,2,0,0,0.333,31 2/3,18,3,36,2,37,23,22,1.71
17,18,이준형,LG,6.35,4,0,2,0,0,0.000,5 2/3,7,1,9,1,5,7,4,2.82
18,19,장진용,LG,6.40,11,1,3,0,0,0.250,32 1/3,43,5,7,5,20,26,23,1.55
19,20,최동환,LG,8.27,17,0,0,0,0,-,20 2/3,32,7,6,2,21,19,19,1.84
