,rank,name,team,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
0,1,문수호,NC,-,0,0,0,0,1,0,0,0,0,-
1,2,스튜어트,NC,2.68,19,8,0,0,0,0,11,123,104,1.18
2,3,해커,NC,3.13,31,19,0,1,0,0,18,230,189,1.22
3,4,박진우,NC,3.14,0,0,1,7,0,0,3,18,13,1.38
4,5,이태양,NC,3.67,25,10,0,1,0,0,11,137,136,1.01
5,6,최금강,NC,3.71,0,0,6,10,18,0,9,107,85,1.26
6,7,고창성,NC,3.72,0,0,0,2,0,0,0,16,11,1.45
7,8,임정호,NC,3.75,0,0,1,3,23,0,3,45,34,1.32
8,9,임창민,NC,3.80,0,0,1,49,35,6,3,54,53,1.02
9,10,이재학,NC,4.10,23,8,2,0,1,0,11,121,120,1.01
10,11,김진성,NC,4.50,0,0,3,12,20,0,3,44,75,0.59
11,12,박명환,NC,4.85,4,1,0,4,0,0,4,30,29,1.03
12,13,손민한,NC,4.89,19,10,1,2,0,0,13,141,107,1.32
13,14,민성기,NC,4.91,0,0,1,10,0,0,5,32,20,1.60
14,15,이민호,NC,5.06,6,3,3,15,14,0,5,68,101,0.67
15,16,이혜천,NC,5.19,0,0,0,10,3,0,1,24,15,1.60
16,17,강장산,NC,5.61,0,0,0,9,0,0,2,30,36,0.83
17,18,찰리,NC,5.74,12,4,0,0,0,0,4,61,56,1.09
18,19,손정욱,NC,6.56,1,0,1,0,0,0,4,18,30,0.60
19,20,장현식,NC,9.00,0,0,0,2,0,0,0,1,2,0.50
20,21,노성호,NC,10.65,3,0,1,6,0,0,1,15,26,0.58
21,22,배재환,NC,18.00,0,0,0,0,0,0,0,0,1,0.00
22,23,이승호,NC,36.00,1,0,0,0,0,0,0,0,2,0.00
23,24,윤강민,NC,45.00,0,0,0,1,0,0,1,1,0,-
24,25,이대환,NC,54.00,0,0,0,0,0,0,0,1,0,-
