,rank,name,team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
0,1,윤석주,SK,0.00,1,0,0,0,0,-,1 1/3,2,0,0,0,0,0,0,1.50
1,2,윤길현,SK,3.16,70,0,4,13,17,0.000,62 2/3,58,7,36,2,62,25,22,1.50
2,3,정우람,SK,3.21,69,7,5,16,11,0.583,70,52,3,28,1,90,25,25,1.14
3,4,김광현,SK,3.72,30,14,6,0,1,0.700,176 2/3,173,19,66,3,160,86,73,1.35
4,5,이한진,SK,3.86,3,0,0,0,0,-,4 2/3,4,0,5,0,1,3,2,1.93
5,6,신재웅,SK,4.11,61,0,1,0,9,0.000,50 1/3,72,5,17,4,49,28,23,1.77
6,7,켈리,SK,4.13,30,11,10,0,0,0.524,181,188,16,54,5,139,87,83,1.34
7,8,박민호,SK,4.28,20,1,1,0,1,0.500,27 1/3,26,4,9,2,12,18,13,1.28
8,9,전유수,SK,4.40,66,3,6,1,5,0.333,77 2/3,66,9,42,5,84,39,38,1.39
9,10,밴와트,SK,4.63,12,5,3,0,0,0.625,56 1/3,70,5,13,2,50,29,29,1.47
10,11,이재영,SK,4.65,26,1,0,0,1,1.000,31,36,4,13,3,26,18,16,1.58
11,12,백인식,SK,4.79,7,1,2,0,0,0.333,20 2/3,24,2,11,2,14,13,11,1.69
12,13,세든,SK,4.99,14,7,5,0,0,0.583,74,77,12,28,5,67,42,41,1.42
13,14,박종훈,SK,5.19,33,6,8,0,0,0.429,118,123,7,53,17,105,74,68,1.49
14,15,박정배,SK,5.33,24,2,2,0,2,0.500,25 1/3,25,3,13,2,28,15,15,1.50
15,16,박희수,SK,5.40,14,0,0,0,2,-,10,13,3,8,1,12,6,6,2.10
16,17,윤희상,SK,5.88,21,5,9,0,0,0.357,93 1/3,113,15,34,3,67,65,61,1.58
17,18,서진용,SK,5.91,18,0,0,0,0,-,21 1/3,25,4,6,0,24,14,14,1.45
18,19,이창욱,SK,6.00,2,0,0,0,0,-,3,2,0,2,0,1,2,2,1.33
19,20,채병용,SK,6.07,33,4,4,0,1,0.500,83,103,17,27,3,78,56,56,1.57
20,21,고효준,SK,6.18,30,0,3,0,0,0.000,51,61,8,31,4,43,37,35,1.80
21,22,문광은,SK,6.85,53,1,5,1,11,0.167,64 1/3,87,13,27,4,54,55,49,1.77
22,23,김태훈,SK,27.00,1,0,0,0,0,-,1/3,0,0,1,0,0,1,1,3.00
