,name,PO,PKO,IP,GS,A,SB,CS,DP,PB,E,FPCT,CS%
0,강한울,121,0,678.3333333333334,77,242,0,0,60,0,12,0.968,0.0
1,고영우,47,0,176.99999999999997,7,29,0,0,9,0,2,0.9743589743589743,0.0
2,김광수,5,0,43.666666666666664,1,4,0,0,1,0,1,0.9,0.0
3,김다원,92,0,487.99999999999994,54,2,0,0,0,0,2,0.9791666666666666,0.0
4,김명찬,0,0,4.0,0,1,0,0,1,0,0,1.0,0.0
5,김민우,170,0,670.6666666666666,81,245,0,0,55,0,4,0.9904534606205251,0.0
6,김병현,2,1,49.0,8,4,0,0,0,0,1,0.8571428571428571,0.0
7,김원섭,161,0,654.0,79,4,0,0,0,0,0,1.0,0.0
8,김주찬,48,0,244.0,32,3,0,0,1,0,0,1.0,0.0
9,김주형,47,0,152.0,14,23,0,0,7,0,2,0.9722222222222222,0.0
10,김준,0,0,4.333333333333333,0,1,0,0,0,0,0,1.0,0.0
11,김진우,2,0,13.0,2,2,0,0,0,0,0,1.0,0.0
12,김태영,0,0,26.0,0,2,0,0,0,0,0,1.0,0.0
13,김호령,216,0,691.6666666666667,76,7,0,0,2,0,2,0.9911111111111112,0.0
14,나지완,71,0,403.6666666666667,54,2,0,0,0,0,1,0.9864864864864865,0.0
15,노수광,6,0,30.666666666666668,2,0,0,0,0,0,0,1.0,0.0
16,문경찬,1,1,27.666666666666668,4,5,0,0,0,0,0,1.0,0.0
17,박기남,39,0,200.0,16,50,0,0,13,0,1,0.9888888888888889,0.0
18,박정수,3,0,42.333333333333336,4,7,0,0,1,0,1,0.9090909090909091,0.0
19,박준태,47,0,199.0,14,0,0,0,0,0,1,0.9791666666666666,0.0
20,박준표,7,0,46.0,2,6,0,0,0,0,0,1.0,0.0
21,박찬호,79,0,414.0,48,129,0,0,32,0,7,0.9674418604651163,0.0
22,백용환,299,1,375.6666666666667,42,28,39,10,2,1,3,0.990909090909091,20.408163265306122
23,서재응,2,2,40.0,9,7,0,0,0,0,1,0.9,0.0
24,스틴슨,18,2,167.0,30,36,0,0,0,0,2,0.9642857142857143,0.0
25,신종길,139,0,600.3333333333334,80,8,0,0,3,0,4,0.9735099337748344,0.0
26,신창호,1,0,5.666666666666667,0,0,0,0,0,0,0,1.0,0.0
27,심동섭,1,2,57.333333333333336,0,7,0,0,0,0,0,1.0,0.0
28,양현종,7,0,184.33333333333334,31,30,0,0,1,0,1,0.9736842105263158,0.0
29,에반,0,0,26.333333333333332,1,3,0,0,0,0,0,1.0,0.0
30,오준혁,36,0,157.0,18,0,0,0,0,0,0,1.0,0.0
31,유창식,0,0,54.666666666666664,12,10,0,0,0,0,0,1.0,0.0
32,윤석민,2,1,70.0,0,9,0,0,1,0,0,1.0,0.0
33,윤완주,17,0,93.66666666666666,5,26,0,0,7,0,0,1.0,0.0
34,이범호,95,0,1009.6666666666666,128,204,0,0,31,0,9,0.9707792207792207,0.0
35,이성우,300,1,354.3333333333333,38,32,35,15,2,3,2,0.9940119760479041,30.0
36,이은총,20,0,73.0,8,1,0,0,0,0,0,1.0,0.0
37,이인행,10,0,61.0,6,15,0,0,1,0,2,0.9259259259259259,0.0
38,이종석,0,0,4.0,0,0,0,0,0,0,0,0.0,0.0
39,이호신,45,0,174.33333333333334,9,0,0,0,0,0,0,1.0,0.0
40,이홍구,397,0,486.3333333333333,58,33,56,15,5,2,3,0.9930715935334873,21.12676056338028
41,임기준,3,0,34.0,6,8,0,0,0,0,1,0.9166666666666666,0.0
42,임준혁,2,1,118.66666666666667,21,18,0,0,3,0,0,1.0,0.0
43,전현태,0,0,1.0,0,0,0,0,0,0,0,0.0,0.0
44,차일목,46,0,69.0,7,5,10,2,1,0,1,0.9807692307692307,16.666666666666664
45,최병연,2,0,34.0,1,11,0,0,1,0,0,1.0,0.0
46,최영필,5,1,63.0,0,6,0,0,1,0,2,0.8461538461538461,0.0
47,최용규,110,0,431.33333333333337,49,139,0,0,38,0,4,0.9841897233201581,0.0
48,최희섭,16,0,17.0,2,2,0,0,3,0,0,1.0,0.0
49,필,1056,0,1150.3333333333333,137,96,0,0,118,0,8,0.993103448275862,0.0
50,한기주,0,0,8.333333333333334,0,1,0,0,0,0,0,1.0,0.0
51,한승혁,3,1,56.0,0,13,0,0,0,0,2,0.8888888888888888,0.0
52,험버,0,0,50.666666666666664,11,6,0,0,0,0,0,1.0,0.0
53,홍건희,5,0,82.0,7,5,0,0,1,0,0,1.0,0.0
54,황대인,10,0,68.33333333333333,5,13,0,0,3,0,0,1.0,0.0
55,황수현,2,0,3.0,0,0,0,0,0,0,0,1.0,0.0
