,rank,name,team,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
0,1,필,KIA,1루수,137,133,1091 2/3,8,0,1043,90,117,0.993,0,0,0,-
1,2,이범호,KIA,3루수,131,127,986 2/3,9,0,77,198,28,0.968,0,0,0,-
2,3,김호령,KIA,중견수,103,76,691,2,0,216,7,2,0.991,0,0,0,-
3,4,이홍구,KIA,포수,89,57,474,3,0,383,32,5,0.993,2,56,15,21.1
4,5,강한울,KIA,유격수,88,77,665 1/3,12,0,118,238,60,0.967,0,0,0,-
5,6,신종길,KIA,우익수,85,79,569,4,0,115,7,1,0.968,0,0,0,-
6,7,김민우,KIA,2루수,83,69,554 2/3,2,0,143,208,49,0.994,0,0,0,-
7,8,이성우,KIA,포수,74,38,354 1/3,2,1,300,32,2,0.994,3,35,15,30.0
8,9,심동섭,KIA,투수,69,0,57 1/3,0,2,1,7,0,1.000,0,0,0,-
9,10,백용환,KIA,포수,61,42,375 2/3,3,1,299,28,2,0.991,1,39,10,20.4
10,11,박찬호,KIA,유격수,60,46,375,6,0,66,120,28,0.969,0,0,0,-
11,11,최용규,KIA,2루수,60,48,403 2/3,4,0,106,135,36,0.984,0,0,0,-
12,13,최영필,KIA,투수,59,0,63,2,1,5,6,1,0.846,0,0,0,-
13,14,김원섭,KIA,좌익수,56,30,271,0,0,64,2,0,1.000,0,0,0,-
14,15,나지완,KIA,좌익수,54,42,302 2/3,0,0,54,2,0,1.000,0,0,0,-
15,16,윤석민,KIA,투수,51,0,70,0,1,2,9,1,1.000,0,0,0,-
16,17,한승혁,KIA,투수,49,0,56,2,1,3,13,0,0.889,0,0,0,-
17,18,김다원,KIA,좌익수,44,20,204,1,0,38,0,0,0.974,0,0,0,-
18,18,김원섭,KIA,중견수,44,36,257,0,0,79,1,0,1.000,0,0,0,-
19,20,김광수,KIA,투수,41,1,43 2/3,1,0,5,4,1,0.900,0,0,0,-
20,21,김다원,KIA,우익수,38,23,189 2/3,1,0,33,0,0,0.971,0,0,0,-
21,21,홍건희,KIA,투수,38,7,82,0,0,5,5,1,1.000,0,0,0,-
22,23,박준표,KIA,투수,37,2,46,0,0,7,6,0,1.000,0,0,0,-
23,24,김주찬,KIA,좌익수,32,32,238,0,0,44,3,0,1.000,0,0,0,-
24,24,스틴슨,KIA,투수,32,30,167,2,2,18,36,0,0.964,0,0,0,-
25,24,양현종,KIA,투수,32,31,184 1/3,1,0,7,30,1,0.974,0,0,0,-
26,27,박기남,KIA,3루수,30,8,110 2/3,1,0,14,19,1,0.971,0,0,0,-
27,28,박준태,KIA,중견수,28,11,102 2/3,1,0,24,0,0,0.960,0,0,0,-
28,29,김태영,KIA,투수,27,0,26,0,0,0,2,0,1.000,0,0,0,-
29,29,유창식,KIA,투수,27,12,54 2/3,0,0,0,10,0,1.000,0,0,0,-
30,29,임준혁,KIA,투수,27,21,118 2/3,0,1,2,18,3,1.000,0,0,0,-
31,32,김원섭,KIA,우익수,26,13,126,0,0,18,1,0,1.000,0,0,0,-
32,33,박준태,KIA,우익수,25,3,72 2/3,0,0,21,0,0,1.000,0,0,0,-
33,34,이호신,KIA,중견수,24,6,86 2/3,0,0,22,0,0,1.000,0,0,0,-
34,35,김병현,KIA,투수,23,8,49,1,1,2,4,0,0.857,0,0,0,-
35,35,이호신,KIA,우익수,23,3,70 2/3,0,0,20,0,0,1.000,0,0,0,-
