,name,PO,PKO,IP,GS,A,SB,CS,DP,PB,E,FPCT,CS%
0,고영표,2,0,57.0,0,7,0,0,0,0,1,0.9,0.0
1,김기표,0,0,10.333333333333334,0,2,0,0,0,0,0,1.0,0.0
2,김동명,5,0,7.0,0,0,0,0,0,0,0,1.0,0.0
3,김민수,0,0,23.333333333333332,1,2,0,0,0,0,0,1.0,0.0
4,김민혁,72,0,335.66666666666663,47,1,0,0,0,0,2,0.9733333333333334,0.0
5,김사연,104,0,506.0,55,9,0,0,3,0,5,0.9576271186440678,0.0
6,김사율,1,0,25.666666666666668,0,4,0,0,0,0,0,1.0,0.0
7,김상현,527,0,853.3333333333333,104,51,0,0,52,0,11,0.9813242784380306,0.0
8,김선민,17,0,97.99999999999999,11,23,0,0,6,0,4,0.9090909090909091,0.0
9,김영환,12,0,86.0,4,29,0,0,7,0,0,1.0,0.0
10,김재윤,2,0,44.666666666666664,0,2,0,0,1,0,1,0.8,0.0
11,김종민,69,0,83.66666666666667,6,3,11,1,0,0,1,0.9863013698630136,8.333333333333332
12,김진곤,41,0,199.0,13,0,0,0,0,0,1,0.9761904761904762,0.0
13,김태훈,1,0,7.0,0,0,0,0,0,0,0,1.0,0.0
14,댄블랙,264,0,279.3333333333333,38,10,0,0,33,0,4,0.9856115107913669,0.0
15,마르테,86,0,854.3333333333334,106,198,0,0,34,0,15,0.9498327759197325,0.0
16,모상기,8,0,11.0,2,3,0,0,0,0,0,1.0,0.0
17,문상철,17,0,130.0,16,29,0,0,5,0,1,0.9787234042553191,0.0
18,박경수,311,0,1079.0,131,347,0,0,101,0,6,0.9909638554216867,0.0
19,박기혁,142,0,807.3333333333334,97,291,0,0,67,0,8,0.981859410430839,0.0
20,박용근,16,0,201.66666666666666,22,54,0,0,9,0,5,0.9333333333333333,0.0
21,배병옥,48,0,183.66666666666666,10,6,0,0,2,0,0,1.0,0.0
22,배우열,1,1,16.0,0,1,0,0,0,0,0,1.0,0.0
23,송민섭,25,0,125.66666666666667,11,2,0,0,0,0,0,1.0,0.0
24,시스코,0,0,39.0,5,5,0,0,0,0,4,0.5555555555555556,0.0
25,신명철,320,0,355.6666666666667,36,30,0,0,42,0,2,0.9943181818181818,0.0
26,심우준,90,0,394.0,36,130,0,0,28,0,10,0.9565217391304348,0.0
27,심재민,4,0,56.333333333333336,1,8,0,0,0,0,1,0.9230769230769231,0.0
28,안상빈,0,0,16.0,0,2,0,0,0,0,0,1.0,0.0
29,어윈,2,1,56.0,12,11,0,0,2,0,2,0.8666666666666667,0.0
30,엄상백,5,1,100.0,22,12,0,0,2,0,0,1.0,0.0
31,오정복,111,0,502.3333333333333,63,1,0,0,0,0,2,0.9824561403508771,0.0
32,옥스프링,10,4,185.0,31,32,0,0,1,0,2,0.9545454545454546,0.0
33,윤근영,3,0,32.0,7,8,0,0,0,0,1,0.9166666666666666,0.0
34,윤여운,3,0,4.0,0,0,0,0,0,1,0,1.0,0.0
35,윤요섭,60,0,72.0,5,4,6,1,0,1,1,0.9846153846153847,14.285714285714285
36,이대형,236,0,1119.0,134,3,0,0,1,0,2,0.991701244813278,0.0
37,이윤학,0,0,3.0,0,0,0,0,0,0,0,0.0,0.0
38,이지찬,9,0,113.66666666666667,7,26,0,0,3,0,4,0.8974358974358975,0.0
39,이창재,2,0,33.0,0,4,0,0,0,0,0,1.0,0.0
40,이창진,4,0,24.0,2,4,0,0,2,0,0,1.0,0.0
41,이해창,5,0,6.0,0,0,1,0,0,0,0,1.0,0.0
42,장성우,742,1,857.0,105,64,89,29,9,4,8,0.9901719901719902,24.576271186440678
43,장성호,45,0,41.0,3,0,0,0,4,0,0,1.0,0.0
44,장시환,2,2,74.33333333333333,0,8,0,0,0,0,0,1.0,0.0
45,저마노,7,0,76.66666666666667,14,10,0,0,2,0,1,0.9444444444444444,0.0
46,정대현,2,1,118.0,26,19,0,0,0,0,1,0.9545454545454546,0.0
47,정성곤,2,0,58.0,15,9,0,0,0,0,2,0.8461538461538461,0.0
48,조무근,2,0,71.66666666666667,1,4,0,0,0,0,0,1.0,0.0
49,조중근,56,0,64.0,5,3,0,0,5,0,1,0.9833333333333333,0.0
50,주권,3,0,24.333333333333332,3,3,0,0,1,0,1,0.8571428571428571,0.0
51,최대성,0,0,2.6666666666666665,0,0,0,0,0,0,0,0.0,0.0
52,최원재,2,0,33.0,0,5,0,0,1,0,1,0.875,0.0
53,하준호,112,0,541.6666666666666,61,11,0,0,1,0,6,0.9534883720930233,0.0
54,홍성무,1,0,28.0,0,2,0,0,0,0,0,1.0,0.0
55,홍성용,3,0,40.0,0,6,0,0,0,0,0,1.0,0.0
56,황덕균,0,0,3.6666666666666665,0,0,0,0,0,0,0,0.0,0.0
