,rank,name,team,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
0,1,박경수,kt,2루수,134,131,1076,6,0,311,347,101,0.991,0,0,0,-
1,2,이대형,kt,중견수,131,126,981 2/3,2,0,213,3,1,0.991,0,0,0,-
2,3,박기혁,kt,유격수,119,95,767 1/3,8,0,134,279,62,0.981,0,0,0,-
3,4,장성우,kt,포수,109,99,808 2/3,7,1,693,60,7,0.991,4,89,29,24.6
4,5,마르테,kt,3루수,106,106,854 1/3,15,0,86,198,34,0.950,0,0,0,-
5,6,심우준,kt,유격수,93,36,394,10,0,90,130,28,0.957,0,0,0,-
6,7,신명철,kt,1루수,76,36,346 2/3,2,0,317,26,42,0.994,0,0,0,-
7,8,김상현,kt,1루수,67,60,512 2/3,9,0,468,48,52,0.983,0,0,0,-
8,9,김사연,kt,우익수,65,53,480 2/3,4,0,97,6,2,0.963,0,0,0,-
9,10,배병옥,kt,중견수,58,9,175 2/3,0,0,44,6,2,1.000,0,0,0,-
10,11,김상현,kt,좌익수,50,43,325 2/3,2,0,57,3,0,0.968,0,0,0,-
11,11,심재민,kt,투수,50,1,56 1/3,1,0,4,8,0,0.923,0,0,0,-
12,13,하준호,kt,우익수,48,33,302,1,0,59,5,1,0.985,0,0,0,-
13,14,고영표,kt,투수,46,0,57,1,0,2,7,0,0.900,0,0,0,-
14,14,장시환,kt,투수,46,0,74 1/3,0,2,2,8,0,1.000,0,0,0,-
15,16,오정복,kt,좌익수,44,39,314 1/3,0,0,73,1,0,1.000,0,0,0,-
16,17,조무근,kt,투수,43,1,71 2/3,0,0,2,4,0,1.000,0,0,0,-
17,18,김재윤,kt,투수,42,0,44 2/3,1,0,2,2,1,0.800,0,0,0,-
18,18,홍성용,kt,투수,42,0,40,0,0,3,6,0,1.000,0,0,0,-
19,20,이대형,kt,좌익수,39,8,136 1/3,0,0,23,0,0,1.000,0,0,0,-
20,21,댄블랙,kt,1루수,38,38,279 1/3,4,0,264,10,33,0.986,0,0,0,-
21,21,이창재,kt,투수,38,0,33,0,0,2,4,0,1.000,0,0,0,-
22,23,김민혁,kt,좌익수,36,25,171 2/3,2,0,41,1,0,0.955,0,0,0,-
23,23,최원재,kt,투수,36,0,33,1,0,2,5,1,0.875,0,0,0,-
24,25,김진곤,kt,좌익수,35,5,96 2/3,1,0,18,0,0,0.947,0,0,0,-
