,name,PO,PKO,IP,GS,A,SB,CS,DP,PB,E,FPCT,CS%
0,강병의,4,0,16.666666666666664,0,8,0,0,3,0,1,0.9230769230769231,0.0
1,김광삼,1,0,15.666666666666666,4,2,0,0,0,0,0,1.0,0.0
2,김선규,2,0,31.666666666666668,0,5,0,0,0,0,0,1.0,0.0
3,김영관,12,0,47.666666666666664,5,17,0,0,4,0,3,0.90625,0.0
4,김용의,143,0,388.3333333333333,42,8,0,0,8,0,2,0.9869281045751634,0.0
5,김재성,7,0,12.0,0,2,0,1,0,0,0,1.0,100.0
6,김재율,4,0,7.0,1,0,0,0,0,0,0,1.0,0.0
7,김지용,1,0,32.666666666666664,0,1,0,0,0,0,1,0.6666666666666666,0.0
8,나성용,3,0,15.666666666666666,1,0,0,0,0,0,0,1.0,0.0
9,루카스,7,2,171.66666666666666,30,38,0,0,3,0,4,0.9183673469387755,0.0
10,류제국,10,1,130.0,23,27,0,0,3,0,2,0.9487179487179487,0.0
11,문선재,182,0,500.00000000000006,52,11,0,0,8,0,3,0.9846938775510204,0.0
12,박성준,8,0,34.0,3,9,0,0,3,0,0,1.0,0.0
13,박용택,134,0,809.6666666666667,100,3,0,0,0,0,2,0.9856115107913669,0.0
14,박지규,112,0,477.0,44,161,0,0,49,0,2,0.9927272727272727,0.0
15,백창수,24,0,97.66666666666667,9,26,0,0,10,0,3,0.9433962264150944,0.0
16,봉중근,1,1,49.333333333333336,2,7,0,0,2,0,1,0.8888888888888888,0.0
17,서상우,3,0,5.0,0,0,0,0,0,0,1,0.75,0.0
18,소사,5,0,194.33333333333334,30,25,0,0,0,0,3,0.9090909090909091,0.0
19,손주인,141,0,643.6666666666666,83,213,0,0,49,0,9,0.9752066115702479,0.0
20,신승현,0,0,35.666666666666664,0,5,0,0,2,0,0,1.0,0.0
21,안익훈,48,0,179.33333333333334,10,0,0,0,0,0,1,0.9795918367346939,0.0
22,양석환,411,0,812.6666666666667,89,114,0,0,60,0,10,0.9813084112149533,0.0
23,양원혁,0,0,3.0,0,0,0,0,0,0,0,0.0,0.0
24,오지환,223,0,1155.6666666666667,132,449,0,0,96,0,15,0.9781659388646288,0.0
25,우규민,9,4,152.66666666666666,25,30,0,0,3,0,1,0.975,0.0
26,유강남,617,0,704.6666666666666,85,45,87,21,8,2,3,0.9954887218045113,19.444444444444446
27,유원상,3,0,37.0,0,4,0,0,0,0,0,1.0,0.0
28,윤지웅,8,0,62.0,0,17,0,0,1,0,0,1.0,0.0
29,윤진호,9,0,55.666666666666664,0,20,0,0,2,0,1,0.9666666666666667,0.0
30,이동현,1,2,59.333333333333336,0,14,0,0,0,0,1,0.9375,0.0
31,이민재,15,0,90.33333333333333,4,0,0,0,0,0,0,1.0,0.0
32,이병규,118,0,554.0,66,4,0,0,1,0,4,0.9682539682539683,0.0
33,이승현,1,0,15.333333333333334,0,1,0,0,0,0,0,1.0,0.0
34,이준형,0,0,5.666666666666667,2,0,0,0,0,0,0,0.0,0.0
35,이진영,111,0,591.3333333333334,71,2,0,0,1,0,1,0.9912280701754386,0.0
36,임정우,8,0,109.0,11,15,0,0,0,0,0,1.0,0.0
37,임지섭,1,1,31.666666666666668,8,3,0,0,0,0,1,0.8,0.0
38,임훈,116,0,548.6666666666666,65,7,0,0,3,0,2,0.984,0.0
39,장준원,15,0,68.0,8,24,0,0,9,0,3,0.9285714285714286,0.0
40,장진용,2,0,32.333333333333336,9,5,0,0,0,0,0,1.0,0.0
41,정성훈,580,0,639.0,78,45,0,0,67,0,5,0.9920634920634921,0.0
42,정찬헌,3,2,44.0,0,10,0,0,1,0,0,1.0,0.0
43,조윤준,19,0,17.666666666666668,1,0,2,0,0,0,0,1.0,0.0
44,진해수,1,0,28.333333333333332,0,5,0,0,0,0,0,1.0,0.0
45,채은성,73,0,401.0,41,0,0,0,0,0,1,0.9864864864864865,0.0
46,최경철,442,0,545.3333333333334,58,33,38,17,1,6,5,0.9895833333333334,30.909090909090907
47,최동환,0,0,20.666666666666668,0,0,0,0,0,0,1,0.0,0.0
48,최승준,63,0,64.66666666666667,8,4,0,0,6,0,0,1.0,0.0
49,한나한,66,0,92.0,13,8,0,0,13,0,1,0.9866666666666667,0.0
50,황목치승,42,0,158.0,21,44,0,0,17,0,2,0.9772727272727273,0.0
51,히메네스,50,0,568.0,65,134,0,0,19,0,6,0.968421052631579,0.0
