,rank,name,team,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
0,1,오지환,LG,유격수,137,132,1155 2/3,15,0,223,449,96,0.978,0,0,0,-
1,2,유강남,LG,포수,124,85,704 2/3,3,0,617,45,8,0.995,2,87,21,19.4
2,3,최경철,LG,포수,109,58,545 1/3,5,0,442,33,1,0.990,6,38,17,30.9
3,4,박지규,LG,2루수,92,44,459,2,0,99,159,48,0.992,0,0,0,-
4,5,이진영,LG,우익수,81,71,591 1/3,1,0,111,2,1,0.991,0,0,0,-
5,6,손주인,LG,2루수,80,69,526 2/3,7,0,134,193,46,0.979,0,0,0,-
6,7,윤지웅,LG,투수,78,0,62,0,0,8,17,1,1.000,0,0,0,-
7,8,정성훈,LG,1루수,74,66,544 2/3,2,0,571,27,66,0.997,0,0,0,-
8,9,히메네스,LG,3루수,67,65,566,6,0,50,134,19,0.968,0,0,0,-
9,10,양석환,LG,3루수,66,51,447 2/3,5,0,27,86,12,0.958,0,0,0,-
10,11,박용택,LG,좌익수,62,59,473,1,0,78,1,0,0.988,0,0,0,-
11,12,이동현,LG,투수,60,0,59 1/3,1,2,1,14,0,0.938,0,0,0,-
12,13,양석환,LG,1루수,59,38,363,5,0,384,27,48,0.988,0,0,0,-
13,14,이병규,LG,좌익수,58,56,474,4,0,101,4,1,0.963,0,0,0,-
14,14,채은성,LG,우익수,58,32,304 2/3,1,0,56,0,0,0.982,0,0,0,-
15,16,임정우,LG,투수,54,11,109,0,0,8,15,0,1.000,0,0,0,-
16,17,임훈,LG,중견수,53,43,328,2,0,79,3,2,0.976,0,0,0,-
17,18,봉중근,LG,투수,47,2,49 1/3,1,1,1,7,2,0.889,0,0,0,-
18,19,안익훈,LG,중견수,45,10,178 1/3,1,0,47,0,0,0.979,0,0,0,-
19,20,문선재,LG,좌익수,43,15,190,2,0,43,2,0,0.957,0,0,0,-
20,20,박용택,LG,중견수,43,41,336 2/3,1,0,56,2,0,0.983,0,0,0,-
21,22,문선재,LG,중견수,39,30,220 1/3,1,0,37,4,1,0.976,0,0,0,-
22,22,진해수,LG,투수,39,0,28 1/3,0,0,1,5,0,1.000,0,0,0,-
23,24,신승현,LG,투수,37,0,35 2/3,0,0,0,5,2,1.000,0,0,0,-
24,25,임훈,LG,우익수,35,19,176 2/3,0,0,30,4,1,1.000,0,0,0,-
25,26,루카스,LG,투수,33,30,171 2/3,4,2,7,38,3,0.918,0,0,0,-
26,27,소사,LG,투수,32,30,194 1/3,3,0,5,25,0,0.909,0,0,0,-
27,27,정찬헌,LG,투수,32,0,44,0,2,3,10,1,1.000,0,0,0,-
28,29,김선규,LG,투수,31,0,31 2/3,0,0,2,5,0,1.000,0,0,0,-
29,30,김용의,LG,우익수,28,15,145 2/3,0,0,27,1,0,1.000,0,0,0,-
30,31,문선재,LG,1루수,27,7,86 2/3,0,0,101,5,7,1.000,0,0,0,-
31,32,김용의,LG,중견수,26,16,148,1,0,37,1,0,0.974,0,0,0,-
32,33,우규민,LG,투수,25,25,152 2/3,1,4,9,30,3,0.975,0,0,0,-
33,33,유원상,LG,투수,25,0,37,0,0,3,4,0,1.000,0,0,0,-
34,35,김지용,LG,투수,24,0,32 2/3,1,0,1,1,0,0.667,0,0,0,-
35,35,류제국,LG,투수,24,23,130,2,1,10,27,3,0.949,0,0,0,-
36,37,김용의,LG,1루수,22,11,94 2/3,1,0,79,6,8,0.988,0,0,0,-
37,37,이민재,LG,중견수,22,4,76,0,0,13,0,0,1.000,0,0,0,-
38,37,황목치승,LG,2루수,22,21,155,2,0,41,44,17,0.977,0,0,0,-
39,40,윤진호,LG,3루수,19,0,33 2/3,0,0,5,12,1,1.000,0,0,0,-
40,41,백창수,LG,2루수,18,7,70 2/3,3,0,22,23,8,0.938,0,0,0,-
41,42,장준원,LG,유격수,17,8,66,3,0,14,24,9,0.927,0,0,0,-
42,42,최동환,LG,투수,17,0,20 2/3,1,0,0,0,0,0.000,0,0,0,-
43,44,이승현,LG,투수,15,0,15 1/3,0,0,1,1,0,1.000,0,0,0,-
44,45,손주인,LG,3루수,14,14,116,2,0,7,20,3,0.931,0,0,0,-
45,46,임훈,LG,좌익수,13,3,44,0,0,7,0,0,1.000,0,0,0,-
46,46,정성훈,LG,3루수,13,12,94 1/3,3,0,9,18,1,0.900,0,0,0,-
47,46,한나한,LG,1루수,13,13,92,1,0,66,8,13,0.987,0,0,0,-
48,49,채은성,LG,중견수,12,4,45 1/3,0,0,8,0,0,1.000,0,0,0,-
49,50,장진용,LG,투수,11,9,32 1/3,0,0,2,5,0,1.000,0,0,0,-
50,51,김영관,LG,유격수,10,4,33,2,0,6,16,4,0.917,0,0,0,-
51,51,박지규,LG,1루수,10,0,17,0,0,13,2,1,1.000,0,0,0,-
52,51,이병규,LG,우익수,10,7,63,0,0,12,0,0,1.000,0,0,0,-
53,51,채은성,LG,좌익수,10,5,50,0,0,8,0,0,1.000,0,0,0,-
54,55,박성준,LG,2루수,9,3,32,0,0,7,9,3,1.000,0,0,0,-
55,56,윤진호,LG,2루수,8,0,11,1,0,2,5,0,0.875,0,0,0,-
56,56,임지섭,LG,투수,8,8,31 2/3,1,1,1,3,0,0.800,0,0,0,-
57,56,최승준,LG,1루수,8,8,64 2/3,0,0,63,4,6,1.000,0,0,0,-
58,59,조윤준,LG,포수,7,1,17 2/3,0,0,19,0,0,1.000,0,2,0,0.0
59,60,김재성,LG,포수,6,0,12,0,0,7,2,0,1.000,0,0,1,100
60,60,윤진호,LG,유격수,6,0,11,0,0,2,3,1,1.000,0,0,0,-
61,62,강병의,LG,2루수,5,0,11 2/3,0,0,1,7,2,1.000,0,0,0,-
62,62,나성용,LG,우익수,5,1,14 2/3,0,0,3,0,0,1.000,0,0,0,-
63,64,김광삼,LG,투수,4,4,15 2/3,0,0,1,2,0,1.000,0,0,0,-
64,64,백창수,LG,3루수,4,1,17,0,0,1,3,2,1.000,0,0,0,-
65,64,서상우,LG,1루수,4,0,5,1,0,3,0,0,0.750,0,0,0,-
66,64,이민재,LG,우익수,4,0,12 1/3,0,0,2,0,0,1.000,0,0,0,-
67,64,이준형,LG,투수,4,2,5 2/3,0,0,0,0,0,-,0,0,0,-
68,69,김영관,LG,2루수,3,0,6 2/3,0,0,2,0,0,1.000,0,0,0,-
69,69,이병규,LG,우익수,3,2,13,0,0,3,0,0,1.000,0,0,0,-
70,71,김영관,LG,1루수,2,0,3,0,0,3,0,0,1.000,0,0,0,-
71,71,양원혁,LG,2루수,2,0,3,0,0,0,0,0,-,0,0,0,-
72,71,황목치승,LG,유격수,2,0,3,0,0,1,0,0,1.000,0,0,0,-
73,74,강병의,LG,유격수,1,0,5,1,0,3,1,1,0.800,0,0,0,-
74,74,김영관,LG,3루수,1,1,5,1,0,1,1,0,0.667,0,0,0,-
75,74,김재율,LG,1루수,1,1,7,0,0,4,0,0,1.000,0,0,0,-
76,74,나성용,LG,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
