,name,PO,PKO,IP,GS,A,SB,CS,DP,PB,E,FPCT,CS%
0,강구성,1,0,2.0,0,0,0,0,0,0,0,1.0,0.0
1,강민국,1,0,3.0,0,1,0,0,0,0,0,1.0,0.0
2,강장산,0,0,25.666666666666668,0,3,0,0,0,0,1,0.75,0.0
3,고창성,1,0,9.666666666666666,0,1,0,0,0,0,0,1.0,0.0
4,김성욱,111,0,459.66666666666663,32,7,0,0,1,0,0,1.0,0.0
5,김종호,186,0,861.0,114,5,0,0,2,0,2,0.9896373056994818,0.0
6,김준완,31,0,112.0,10,1,0,0,0,0,1,0.9696969696969697,0.0
7,김진성,2,0,66.0,0,7,0,0,0,0,0,1.0,0.0
8,김태군,922,1,1086.6666666666667,139,59,74,31,6,4,3,0.9969512195121951,29.523809523809526
9,김태진,1,0,5.0,1,0,0,0,0,0,0,1.0,0.0
10,나성범,271,0,1201.3333333333333,141,12,0,0,4,0,6,0.9792387543252595,0.0
11,노성호,0,1,23.666666666666668,3,4,0,0,0,0,0,1.0,0.0
12,노진혁,13,0,134.0,2,32,0,0,7,0,1,0.9782608695652174,0.0
13,모창민,53,0,373.3333333333333,38,79,0,0,12,0,6,0.9565217391304348,0.0
14,문수호,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0
15,민성기,2,0,25.666666666666668,0,2,0,0,0,0,0,1.0,0.0
16,박광열,53,0,65.33333333333333,0,2,2,0,1,1,0,1.0,0.0
17,박명환,1,0,26.0,4,3,0,0,0,0,0,1.0,0.0
18,박민우,266,0,1127.6666666666667,133,376,0,0,88,0,11,0.9831546707503829,0.0
19,박정준,2,0,22.0,1,0,0,0,0,0,0,1.0,0.0
20,박진우,2,0,14.333333333333334,0,4,0,0,0,0,0,1.0,0.0
21,배재환,0,0,1.0,0,0,0,0,0,0,0,0.0,0.0
22,손민한,3,0,105.0,19,15,0,0,2,0,0,1.0,0.0
23,손시헌,187,0,1102.0,137,347,0,0,75,0,13,0.9762340036563071,0.0
24,손정욱,1,0,23.333333333333332,1,4,0,0,0,0,0,1.0,0.0
25,스튜어트,9,0,117.66666666666667,19,11,0,0,0,0,0,1.0,0.0
26,용덕한,334,2,394.6666666666667,38,31,36,14,7,1,1,0.9972677595628415,28.000000000000004
27,윤강민,0,0,1.0,0,0,0,0,0,0,0,0.0,0.0
28,윤병호,4,0,20.0,0,0,0,0,0,0,0,1.0,0.0
29,이대환,0,0,0.3333333333333333,0,0,0,0,0,0,0,0.0,0.0
30,이민호,1,0,96.0,6,8,0,0,0,0,2,0.8181818181818182,0.0
31,이승호,1,0,1.0,1,0,0,0,0,0,0,1.0,0.0
32,이재학,10,0,125.0,23,12,0,0,1,0,3,0.88,0.0
33,이종욱,227,0,1009.0,120,6,0,0,1,0,1,0.9957264957264957,0.0
34,이창섭,5,0,29.666666666666668,0,8,0,0,2,0,0,1.0,0.0
35,이태양,6,0,137.33333333333334,25,23,0,0,4,0,2,0.9354838709677419,0.0
36,이혜천,1,0,17.333333333333332,0,4,0,0,1,0,0,1.0,0.0
37,임정호,0,1,48.0,0,7,0,0,0,0,0,1.0,0.0
38,임창민,3,0,64.0,0,8,0,0,0,0,2,0.8461538461538461,0.0
39,장현식,0,0,2.0,0,1,0,0,0,0,0,1.0,0.0
40,조영훈,209,0,215.33333333333334,17,15,0,0,22,0,4,0.9824561403508771,0.0
41,조평호,9,0,20.0,0,2,0,0,4,0,0,1.0,0.0
42,지석훈,106,0,1017.3333333333333,122,235,0,0,39,0,17,0.952513966480447,0.0
43,찰리,4,0,53.333333333333336,12,11,0,0,0,0,1,0.9375,0.0
44,최금강,8,0,89.66666666666667,0,12,0,0,1,0,3,0.8695652173913043,0.0
45,최재원,58,0,215.00000000000003,12,14,0,0,6,0,0,1.0,0.0
46,테임즈,934,0,1010.0,125,70,0,0,88,0,4,0.996031746031746,0.0
47,해커,23,0,204.0,31,37,0,0,3,0,0,1.0,0.0
48,황윤호,2,0,16.0,0,4,0,0,0,0,0,1.0,0.0
