,rank,name,team,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
0,1,김태군,NC,포수,144,139,1086 2/3,3,1,922,59,6,0.997,4,74,31,29.5
1,2,나성범,NC,우익수,142,141,1192 1/3,6,0,268,11,4,0.979,0,0,0,-
2,3,박민우,NC,2루수,141,133,1127 2/3,11,0,266,376,88,0.983,0,0,0,-
3,4,손시헌,NC,유격수,140,137,1102,13,0,187,347,75,0.976,0,0,0,-
4,5,테임즈,NC,1루수,125,125,1010,4,0,934,70,88,0.996,0,0,0,-
5,6,이종욱,NC,중견수,124,120,1006,1,0,227,6,1,0.996,0,0,0,-
6,6,지석훈,NC,3루수,124,106,835,12,0,72,165,18,0.952,0,0,0,-
7,8,김종호,NC,좌익수,122,114,861,2,0,186,5,2,0.990,0,0,0,-
8,9,김성욱,NC,좌익수,93,23,320 1/3,0,0,73,5,1,1.000,0,0,0,-
9,10,용덕한,NC,포수,88,38,394 2/3,1,2,334,31,7,0.997,1,36,14,28.0
10,11,임정호,NC,투수,80,0,48,0,1,0,7,0,1.000,0,0,0,-
11,12,최금강,NC,투수,78,0,89 2/3,3,0,8,12,1,0.870,0,0,0,-
12,13,모창민,NC,3루수,65,36,343 1/3,5,0,23,79,10,0.953,0,0,0,-
13,14,이민호,NC,투수,64,6,96,2,0,1,8,0,0.818,0,0,0,-
14,15,임창민,NC,투수,61,0,64,2,0,3,8,0,0.846,0,0,0,-
15,16,김진성,NC,투수,58,0,66,0,0,2,7,0,1.000,0,0,0,-
16,17,조영훈,NC,1루수,56,17,215 1/3,4,0,209,15,22,0.982,0,0,0,-
17,18,노진혁,NC,유격수,41,1,81,1,0,10,22,7,0.970,0,0,0,-
18,19,최재원,NC,중견수,39,8,108 2/3,0,0,24,1,0,1.000,0,0,0,-
19,20,박광열,NC,포수,33,0,65 1/3,0,0,53,2,1,1.000,1,2,0,0.0
20,21,해커,NC,투수,31,31,204,0,0,23,37,3,1.000,0,0,0,-
21,22,이재학,NC,투수,29,23,125,3,0,10,12,1,0.880,0,0,0,-
22,22,이태양,NC,투수,29,25,137 1/3,2,0,6,23,4,0.935,0,0,0,-
23,22,이혜천,NC,투수,29,0,17 1/3,0,0,1,4,1,1.000,0,0,0,-
24,22,지석훈,NC,2루수,29,10,125 2/3,4,0,29,48,14,0.951,0,0,0,-
25,26,손민한,NC,투수,26,19,105,0,0,3,15,2,1.000,0,0,0,-
26,27,노진혁,NC,3루수,24,1,51,0,0,3,10,0,1.000,0,0,0,-
27,28,민성기,NC,투수,21,0,25 2/3,0,0,2,2,0,1.000,0,0,0,-
28,29,강장산,NC,투수,20,0,25 2/3,1,0,0,3,0,0.750,0,0,0,-
29,29,손정욱,NC,투수,20,1,23 1/3,0,0,1,4,0,1.000,0,0,0,-
