,rank,name,team,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
0,1,김성현,SK,유격수,128,116,991 2/3,22,0,164,320,74,0.957,0,0,0,-
1,2,이명기,SK,좌익수,119,114,929 2/3,2,0,182,1,1,0.989,0,0,0,-
2,3,박정권,SK,1루수,117,112,973 2/3,8,0,897,78,83,0.992,0,0,0,-
3,4,김강민,SK,중견수,91,78,692,1,0,186,6,2,0.995,0,0,0,-
4,5,정상호,SK,포수,90,74,631,7,2,580,46,4,0.989,1,64,29,31.2
5,6,브라운,SK,우익수,84,75,610 1/3,1,0,119,7,1,0.992,0,0,0,-
6,7,나주환,SK,2루수,82,58,526,3,0,126,153,37,0.989,0,0,0,-
7,8,박계현,SK,2루수,74,60,508 1/3,7,0,110,144,29,0.973,0,0,0,-
8,9,최정,SK,3루수,71,71,596,4,0,43,133,14,0.978,0,0,0,-
9,10,윤길현,SK,투수,70,0,62 2/3,1,0,1,4,0,0.833,0,0,0,-
10,10,이재원,SK,포수,70,67,563 1/3,3,0,500,37,3,0.994,5,42,18,30.0
11,12,정우람,SK,투수,69,0,70,0,0,0,9,0,1.000,0,0,0,-
12,13,전유수,SK,투수,66,0,77 2/3,0,1,2,9,1,1.000,0,0,0,-
13,14,신재웅,SK,투수,61,0,50 1/3,1,1,3,6,0,0.900,0,0,0,-
14,15,조동화,SK,중견수,59,41,348 1/3,0,0,68,3,1,1.000,0,0,0,-
15,16,문광은,SK,투수,53,1,64 1/3,0,0,4,6,0,1.000,0,0,0,-
16,17,박재상,SK,좌익수,50,17,204 2/3,0,0,51,1,0,1.000,0,0,0,-
17,18,박재상,SK,우익수,37,19,183,1,0,30,2,0,0.970,0,0,0,-
18,18,박진만,SK,3루수,37,10,157,2,0,12,27,1,0.951,0,0,0,-
19,18,조동화,SK,우익수,37,15,159 2/3,1,0,32,2,1,0.971,0,0,0,-
20,21,박종훈,SK,투수,33,23,118,3,0,16,9,0,0.893,0,0,0,-
21,21,채병용,SK,투수,33,8,83,0,0,5,7,0,1.000,0,0,0,-
22,23,정의윤,SK,우익수,32,27,217,0,0,36,3,2,1.000,0,0,0,-
