,name,PO,PKO,IP,GS,A,SB,CS,DP,PB,E,FPCT,CS%
0,고영민,87,0,145.66666666666666,14,25,0,0,13,0,4,0.9655172413793104,0.0
1,국해성,12,0,55.0,6,3,0,0,0,0,0,1.0,0.0
2,김강률,1,0,14.666666666666666,0,5,0,0,0,0,0,1.0,0.0
3,김명성,1,0,17.333333333333332,0,2,0,0,0,0,0,1.0,0.0
4,김수완,0,0,15.333333333333334,2,5,0,0,1,0,0,1.0,0.0
5,김응민,1,0,0.6666666666666666,0,0,0,0,0,0,0,1.0,0.0
6,김재호,187,0,1112.6666666666667,128,352,0,0,73,0,16,0.9711711711711711,0.0
7,김재환,237,0,252.33333333333334,31,16,0,0,26,0,2,0.9921568627450981,0.0
8,김진형,15,0,40.0,4,7,0,0,4,0,0,1.0,0.0
9,김현수,391,0,1174.0,138,13,0,0,18,0,1,0.9975308641975309,0.0
10,남경호,0,0,9.0,0,0,0,0,0,0,0,0.0,0.0
11,노경은,5,1,58.333333333333336,0,8,0,0,0,0,1,0.9285714285714286,0.0
12,니퍼트,6,0,90.0,16,17,0,0,0,0,1,0.9583333333333334,0.0
13,로메로,250,0,423.6666666666667,54,60,0,0,19,0,8,0.9748427672955975,0.0
14,루츠,14,0,55.66666666666667,8,7,0,0,0,0,1,0.9545454545454546,0.0
15,류지혁,5,0,14.666666666666666,0,8,0,0,3,0,0,1.0,0.0
16,마야,5,0,68.33333333333333,13,13,0,0,1,0,1,0.9473684210526315,0.0
17,민병헌,227,0,1020.3333333333334,121,4,0,0,1,0,4,0.9829787234042553,0.0
18,박건우,72,0,281.3333333333333,29,2,0,0,0,0,2,0.9736842105263158,0.0
19,박종기,0,0,2.3333333333333335,0,0,0,0,0,0,0,0.0,0.0
20,변진수,0,0,1.6666666666666665,0,0,0,0,0,0,0,0.0,0.0
21,스와잭,3,0,92.33333333333333,17,12,0,0,0,0,4,0.7894736842105263,0.0
22,양의지,860,3,1003.6666666666666,123,76,93,33,8,4,6,0.9936305732484076,26.190476190476193
23,양종민,7,0,57.33333333333333,1,14,0,0,4,0,1,0.9545454545454546,0.0
24,양현,0,1,10.333333333333334,0,1,0,0,0,0,0,1.0,0.0
25,오장훈,0,0,1.0,0,0,0,0,0,0,0,0.0,0.0
26,오재원,239,0,938.6666666666666,110,278,0,0,73,0,8,0.9847619047619047,0.0
27,오재일,445,0,449.0,50,27,0,0,56,0,3,0.9936842105263158,0.0
28,오현택,5,0,56.0,0,9,0,0,0,0,1,0.9333333333333333,0.0
29,유민상,5,0,8.0,1,0,0,0,0,0,0,1.0,0.0
30,유희관,10,1,189.66666666666666,30,38,0,0,3,0,0,1.0,0.0
31,윤명준,3,1,68.0,0,9,0,0,1,0,0,1.0,0.0
32,이용호,0,0,0.3333333333333333,0,1,0,0,0,0,0,1.0,0.0
33,이원재,1,0,10.666666666666666,0,2,0,0,0,0,0,1.0,0.0
34,이재우,0,0,46.0,1,7,0,0,0,0,0,1.0,0.0
35,이현승,2,0,46.666666666666664,0,7,0,0,1,0,1,0.9,0.0
36,이현호,6,0,86.0,7,10,0,0,0,0,2,0.8888888888888888,0.0
37,장민석,18,0,109.66666666666666,5,1,0,0,0,0,0,1.0,0.0
38,장민익,0,0,4.0,0,0,0,0,0,0,0,0.0,0.0
39,장원준,6,0,169.66666666666666,30,31,0,0,2,0,0,1.0,0.0
40,정수빈,255,0,1090.6666666666667,122,4,0,0,2,0,2,0.9923371647509579,0.0
41,정진호,54,0,332.3333333333333,30,4,0,0,0,0,1,0.9830508474576272,0.0
42,조승수,0,0,1.0,0,0,0,0,0,0,0,0.0,0.0
43,진야곱,6,0,102.66666666666667,14,14,0,0,1,0,1,0.9523809523809523,0.0
44,최영진,0,0,2.0,0,0,0,0,0,0,0,0.0,0.0
45,최재훈,232,0,281.6666666666667,21,19,16,8,2,2,1,0.996031746031746,33.33333333333333
46,최주환,84,0,525.6666666666666,56,125,0,0,25,0,8,0.9631336405529954,0.0
47,함덕주,2,0,61.666666666666664,0,9,0,0,0,0,0,1.0,0.0
48,허경민,98,0,913.3333333333334,100,246,0,0,34,0,13,0.9635854341736695,0.0
49,허준혁,1,0,63.0,14,7,0,0,0,0,0,1.0,0.0
