,rank,name,team,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
0,1,김재호,두산,유격수,133,128,1112 2/3,16,0,187,352,73,0.971,0,0,0,-
1,2,양의지,두산,포수,129,123,1003 2/3,6,3,860,76,8,0.994,4,93,33,26.2
2,3,정수빈,두산,중견수,128,122,1090 2/3,2,0,255,4,2,0.992,0,0,0,-
3,4,김현수,두산,좌익수,120,118,962 2/3,1,0,205,3,0,0.995,0,0,0,-
4,5,민병헌,두산,우익수,114,109,926,3,0,203,2,1,0.986,0,0,0,-
5,5,오재원,두산,2루수,114,110,937 2/3,8,0,238,278,73,0.985,0,0,0,-
6,7,허경민,두산,3루수,95,79,711 1/3,9,0,61,176,18,0.963,0,0,0,-
7,8,최재훈,두산,포수,69,21,281 2/3,1,0,232,19,2,0.996,2,16,8,33.3
8,9,함덕주,두산,투수,68,0,61 2/3,0,0,2,9,0,1.000,0,0,0,-
9,10,오재일,두산,1루수,64,50,449,3,0,445,27,56,0.994,0,0,0,-
10,11,오현택,두산,투수,61,0,56,1,0,5,9,0,0.933,0,0,0,-
11,12,윤명준,두산,투수,60,0,68,0,1,3,9,1,1.000,0,0,0,-
12,13,최주환,두산,3루수,53,33,308,5,0,28,55,4,0.943,0,0,0,-
13,14,이현호,두산,투수,49,7,86,2,0,6,10,0,0.889,0,0,0,-
14,15,노경은,두산,투수,47,0,58 1/3,1,1,5,8,0,0.929,0,0,0,-
15,15,진야곱,두산,투수,47,14,102 2/3,1,0,6,14,1,0.952,0,0,0,-
16,17,이현승,두산,투수,41,0,46 2/3,1,0,2,7,1,0.900,0,0,0,-
17,18,이재우,두산,투수,37,1,46,0,0,0,7,0,1.000,0,0,0,-
18,18,정진호,두산,좌익수,37,17,199 2/3,0,0,33,1,0,1.000,0,0,0,-
19,20,김현수,두산,1루수,35,20,211 1/3,0,0,186,10,18,1.000,0,0,0,-
20,20,최주환,두산,2루수,35,23,217 2/3,3,0,56,70,21,0.977,0,0,0,-
21,22,김재환,두산,1루수,32,31,252 1/3,2,0,237,16,26,0.992,0,0,0,-
22,22,로메로,두산,1루수,32,31,245 1/3,4,0,234,13,14,0.984,0,0,0,-
23,24,유희관,두산,투수,30,30,189 2/3,0,1,10,38,3,1.000,0,0,0,-
24,24,장원준,두산,투수,30,30,169 2/3,0,0,6,31,2,1.000,0,0,0,-
25,26,허경민,두산,유격수,29,16,156,3,0,28,54,12,0.965,0,0,0,-
26,27,로메로,두산,3루수,27,23,178 1/3,4,0,16,47,5,0.940,0,0,0,-
27,28,정진호,두산,우익수,26,13,132 2/3,1,0,21,3,0,0.960,0,0,0,-
28,29,박건우,두산,우익수,25,11,121 1/3,0,0,28,0,0,1.000,0,0,0,-
29,30,고영민,두산,1루수,20,9,88,2,0,72,9,8,0.976,0,0,0,-
30,30,니퍼트,두산,투수,20,16,90,1,0,6,17,0,0.958,0,0,0,-
31,30,스와잭,두산,투수,20,17,92 1/3,4,0,3,12,0,0.789,0,0,0,-
32,33,장민석,두산,좌익수,19,0,38 2/3,0,0,8,1,0,1.000,0,0,0,-
33,34,박건우,두산,좌익수,18,9,83,1,0,20,1,0,0.955,0,0,0,-
34,35,김명성,두산,투수,17,0,17 1/3,0,0,1,2,0,1.000,0,0,0,-
35,36,김강률,두산,투수,16,0,14 2/3,0,0,1,5,0,1.000,0,0,0,-
36,36,허준혁,두산,투수,16,14,63,0,0,1,7,0,1.000,0,0,0,-
37,38,박건우,두산,중견수,15,9,77,1,0,24,1,0,0.962,0,0,0,-
38,39,마야,두산,투수,13,13,68 1/3,1,0,5,13,1,0.947,0,0,0,-
39,39,민병헌,두산,중견수,13,12,94 1/3,1,0,24,2,0,0.963,0,0,0,-
40,39,양현,두산,투수,13,0,10 1/3,0,1,0,1,0,1.000,0,0,0,-
41,42,이원재,두산,투수,12,0,10 2/3,0,0,1,2,0,1.000,0,0,0,-
42,43,고영민,두산,2루수,11,5,56 2/3,2,0,15,16,5,0.939,0,0,0,-
43,43,양종민,두산,3루수,11,0,23,1,0,1,5,0,0.857,0,0,0,-
44,43,장민석,두산,중견수,11,1,24,0,0,2,0,0,1.000,0,0,0,-
45,46,국해성,두산,우익수,10,6,55,0,0,12,3,0,1.000,0,0,0,-
46,47,김수완,두산,투수,9,2,15 1/3,0,0,0,5,1,1.000,0,0,0,-
47,47,양종민,두산,2루수,9,1,24,0,0,5,7,2,1.000,0,0,0,-
48,47,장민석,두산,우익수,9,4,47,0,0,8,0,0,1.000,0,0,0,-
49,50,류지혁,두산,유격수,7,0,10 2/3,0,0,3,4,1,1.000,0,0,0,-
50,50,허경민,두산,2루수,7,5,46,1,0,9,16,4,0.962,0,0,0,-
51,52,김진형,두산,1루수,6,0,15,0,0,14,1,3,1.000,0,0,0,-
52,52,루츠,두산,3루수,6,6,43 1/3,1,0,2,6,0,0.889,0,0,0,-
53,54,남경호,두산,투수,5,0,9,0,0,0,0,0,-,0,0,0,-
54,54,양종민,두산,유격수,5,0,6 2/3,0,0,0,2,1,1.000,0,0,0,-
55,56,김진형,두산,3루수,4,3,20,0,0,1,6,1,1.000,0,0,0,-
56,56,장민익,두산,투수,4,0,4,0,0,0,0,0,-,0,0,0,-
57,58,류지혁,두산,2루수,3,0,4,0,0,2,4,2,1.000,0,0,0,-
58,58,박종기,두산,투수,3,0,2 1/3,0,0,0,0,0,-,0,0,0,-
59,60,루츠,두산,1루수,2,2,12 1/3,0,0,12,1,0,1.000,0,0,0,-
60,60,양종민,두산,1루수,2,0,3 2/3,0,0,1,0,1,1.000,0,0,0,-
61,60,유민상,두산,1루수,2,1,8,0,0,5,0,0,1.000,0,0,0,-
62,60,이용호,두산,투수,2,0,1/3,0,0,0,1,0,1.000,0,0,0,-
63,64,고영민,두산,우익수,1,0,1,0,0,0,0,0,-,0,0,0,-
64,64,김응민,두산,포수,1,0,2/3,0,0,1,0,0,1.000,0,0,0,-
65,64,김진형,두산,우익수,1,1,3,0,0,0,0,0,-,0,0,0,-
66,64,김진형,두산,좌익수,1,0,2,0,0,0,0,0,-,0,0,0,-
67,64,변진수,두산,투수,1,0,1 2/3,0,0,0,0,0,-,0,0,0,-
68,64,오장훈,두산,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
69,64,오재원,두산,1루수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
70,64,조승수,두산,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
71,64,최영진,두산,3루수,1,0,2,0,0,0,0,0,-,0,0,0,-
