,name,PO,PKO,IP,GS,A,SB,CS,DP,PB,E,FPCT,CS%
0,강경학,165,0,775.0,85,255,0,0,60,0,15,0.9655172413793104,0.0
1,고동진,19,0,141.0,17,1,0,0,0,0,0,1.0,0.0
2,구본범,0,0,1.0,0,0,0,0,0,0,0,0.0,0.0
3,권용관,193,0,762.6666666666667,83,190,0,0,51,0,15,0.9623115577889447,0.0
4,권혁,2,1,112.0,0,18,0,0,1,0,1,0.9523809523809523,0.0
5,김경언,224,0,613.0,72,13,0,0,18,0,2,0.9916317991631799,0.0
6,김기현,1,0,41.333333333333336,0,3,0,0,0,0,0,1.0,0.0
7,김민우,1,0,70.0,8,10,0,0,0,0,1,0.9166666666666666,0.0
8,김범수,0,0,14.666666666666666,0,1,0,0,1,0,0,1.0,0.0
9,김용주,0,0,8.0,2,1,0,0,0,0,0,1.0,0.0
10,김태균,755,0,760.3333333333334,94,59,0,0,74,0,9,0.9890643985419199,0.0
11,김태완,14,0,12.0,0,3,0,0,1,0,0,1.0,0.0
12,김회성,216,0,546.0,61,94,0,0,30,0,7,0.9779179810725552,0.0
13,로저스,2,1,75.66666666666667,10,7,0,0,1,0,0,1.0,0.0
14,마일영,0,0,0.3333333333333333,0,0,0,0,0,0,0,0.0,0.0
15,모건,20,0,82.33333333333333,9,0,0,0,0,0,0,1.0,0.0
16,문재현,0,0,0.3333333333333333,0,0,0,0,0,0,0,0.0,0.0
17,박노민,9,0,10.0,0,0,1,0,0,0,0,1.0,0.0
18,박성호,1,0,20.666666666666668,0,1,0,0,0,0,0,1.0,0.0
19,박정진,3,0,96.0,0,8,0,0,1,0,2,0.8461538461538461,0.0
20,박한길,1,0,13.666666666666666,0,4,0,0,0,0,0,1.0,0.0
21,배영수,6,1,101.0,21,14,0,0,0,0,2,0.9090909090909091,0.0
22,송광민,10,0,76.66666666666666,10,11,0,0,2,0,0,1.0,0.0
23,송은범,6,0,70.33333333333333,14,8,0,0,0,0,0,1.0,0.0
24,송주호,102,0,418.99999999999994,29,2,0,0,1,0,3,0.9719626168224299,0.0
25,송창식,7,1,109.0,10,10,0,0,0,0,1,0.9444444444444444,0.0
26,신성현,111,0,262.0,26,49,0,0,7,0,2,0.9876543209876543,0.0
27,안영명,8,0,125.33333333333333,27,27,0,0,1,0,1,0.9722222222222222,0.0
28,유먼,2,0,91.66666666666667,17,13,0,0,0,0,4,0.7894736842105263,0.0
29,윤규진,1,1,50.666666666666664,0,7,0,0,0,0,0,1.0,0.0
30,윤기호,0,0,2.6666666666666665,0,0,0,0,0,0,0,0.0,0.0
31,이동걸,2,0,44.333333333333336,0,7,0,0,0,0,0,1.0,0.0
32,이성열,92,0,415.66666666666663,49,4,0,0,1,0,2,0.9795918367346939,0.0
33,이시찬,26,0,108.0,9,35,0,0,8,0,1,0.9838709677419355,0.0
34,이용규,278,0,1052.6666666666665,121,5,0,0,1,0,3,0.9895104895104895,0.0
35,이종환,7,0,24.666666666666664,1,1,0,0,0,0,1,0.8888888888888888,0.0
36,이창열,1,0,5.666666666666667,0,3,0,0,0,0,0,1.0,0.0
37,임경완,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0
38,임익준,0,0,7.0,0,0,0,0,0,0,0,0.0,0.0
39,임준섭,1,0,19.333333333333332,0,1,0,0,0,0,1,0.6666666666666666,0.0
40,장민재,0,0,4.0,0,1,0,0,0,0,0,1.0,0.0
41,장운호,69,0,284.6666666666667,32,2,0,0,2,0,0,1.0,0.0
42,정광운,0,0,1.3333333333333333,0,0,0,0,0,0,0,0.0,0.0
43,정근우,273,0,1043.0,123,368,0,0,85,0,10,0.9846390168970814,0.0
44,정대훈,3,0,36.0,0,7,0,0,2,0,0,1.0,0.0
45,정범모,201,1,260.3333333333333,32,18,37,7,2,3,5,0.9776785714285714,15.909090909090908
46,정재원,0,0,4.0,0,1,0,0,1,0,0,1.0,0.0
47,정현석,52,0,256.33333333333337,28,4,0,0,1,0,1,0.9824561403508771,0.0
48,조영우,0,0,1.0,0,0,0,0,0,0,0,0.0,0.0
49,조인성,493,1,713.3333333333334,85,65,82,34,11,6,6,0.9893617021276596,29.310344827586203
50,조정원,0,0,1.6666666666666665,0,0,0,0,0,0,0,0.0,0.0
51,주현상,53,0,574.3333333333333,65,144,0,0,14,0,7,0.9656862745098039,0.0
52,지성준,24,0,26.0,0,0,2,0,0,1,0,1.0,0.0
53,채기영,0,0,8.666666666666666,1,0,0,0,0,0,0,0.0,0.0
54,최영환,0,0,1.3333333333333333,0,0,0,0,0,0,0,0.0,0.0
55,최진행,130,0,545.0,67,4,0,0,0,0,1,0.9925925925925926,0.0
56,탈보트,14,2,156.33333333333334,30,31,0,0,3,0,0,1.0,0.0
57,폭스,19,0,53.66666666666667,6,3,3,1,0,1,0,1.0,25.0
58,하주석,4,0,19.0,3,10,0,0,3,0,0,1.0,0.0
59,한상훈,14,0,110.0,10,33,0,0,6,0,1,0.9791666666666666,0.0
60,허도환,205,0,249.33333333333334,25,21,40,9,2,3,3,0.9868995633187773,18.367346938775512
61,허유강,0,0,2.6666666666666665,0,0,0,0,0,0,0,0.0,0.0
62,황선일,5,0,40.0,4,2,0,0,0,0,0,1.0,0.0
