,rank,name,team,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
0,1,정근우,한화,2루수,124,120,1015 1/3,10,0,267,367,85,0.984,0,0,0,-
1,2,이용규,한화,중견수,114,111,963 2/3,3,0,256,5,1,0.989,0,0,0,-
2,3,조인성,한화,포수,105,85,713 1/3,6,1,493,65,11,0.989,6,82,34,29.3
3,4,강경학,한화,유격수,97,72,639 2/3,12,0,129,212,48,0.966,0,0,0,-
4,5,김태균,한화,1루수,95,94,760 1/3,9,0,755,59,74,0.989,0,0,0,-
5,6,주현상,한화,3루수,94,65,559 2/3,7,0,46,140,14,0.964,0,0,0,-
6,7,권용관,한화,유격수,84,65,568,12,0,107,162,47,0.957,0,0,0,-
7,8,권혁,한화,투수,78,0,112,1,1,2,18,1,0.952,0,0,0,-
8,9,박정진,한화,투수,76,0,96,2,0,3,8,1,0.846,0,0,0,-
9,10,최진행,한화,좌익수,72,67,545,1,0,130,4,0,0.993,0,0,0,-
10,11,송창식,한화,투수,64,10,109,1,1,7,10,0,0.944,0,0,0,-
11,12,김경언,한화,우익수,60,51,400 1/3,2,0,108,2,1,0.982,0,0,0,-
12,13,허도환,한화,포수,58,25,249 1/3,3,0,205,21,2,0.987,3,40,9,18.4
13,14,이성열,한화,좌익수,57,38,322 1/3,2,0,70,3,0,0.973,0,0,0,-
14,15,송주호,한화,좌익수,56,13,206 2/3,1,0,50,0,0,0.980,0,0,0,-
15,16,김기현,한화,투수,54,0,41 1/3,0,0,1,3,0,1.000,0,0,0,-
16,17,정대훈,한화,투수,51,0,36,0,0,3,7,2,1.000,0,0,0,-
17,18,김회성,한화,3루수,49,41,347 2/3,5,0,31,81,8,0.957,0,0,0,-
18,18,정범모,한화,포수,49,32,260 1/3,5,1,201,18,2,0.978,3,37,7,15.9
19,20,김회성,한화,1루수,41,20,198 1/3,2,0,185,13,22,0.990,0,0,0,-
20,21,송주호,한화,우익수,40,13,163,2,0,40,1,1,0.953,0,0,0,-
21,21,윤규진,한화,투수,40,0,50 2/3,0,1,1,7,0,1.000,0,0,0,-
22,23,정현석,한화,우익수,38,28,249 1/3,1,0,50,4,1,0.982,0,0,0,-
23,24,김민우,한화,투수,36,8,70,1,0,1,10,0,0.917,0,0,0,-
24,25,안영명,한화,투수,35,27,125 1/3,1,0,8,27,1,0.972,0,0,0,-
25,26,신성현,한화,3루수,34,16,163 1/3,2,0,14,42,2,0.966,0,0,0,-
26,27,송은범,한화,투수,33,14,70 1/3,0,0,6,8,0,1.000,0,0,0,-
27,28,배영수,한화,투수,32,21,101,2,1,6,14,0,0.909,0,0,0,-
28,28,이동걸,한화,투수,32,0,44 1/3,0,0,2,7,0,1.000,0,0,0,-
29,30,탈보트,한화,투수,30,30,156 1/3,0,2,14,31,3,1.000,0,0,0,-
30,31,강경학,한화,2루수,27,13,135 1/3,3,0,36,43,12,0.963,0,0,0,-
31,31,신성현,한화,1루수,27,10,98 2/3,0,0,97,7,5,1.000,0,0,0,-
32,33,장운호,한화,우익수,26,19,169 2/3,0,0,44,1,1,1.000,0,0,0,-
33,34,권용관,한화,1루수,23,9,95 1/3,2,0,78,10,3,0.978,0,0,0,-
34,34,권용관,한화,3루수,23,9,95 1/3,1,0,8,18,1,0.963,0,0,0,-
35,36,임준섭,한화,투수,22,0,19 1/3,1,0,1,1,0,0.667,0,0,0,-
36,37,김경언,한화,1루수,19,9,105 2/3,0,0,88,10,17,1.000,0,0,0,-
37,37,이성열,한화,우익수,19,11,85 1/3,0,0,16,0,0,1.000,0,0,0,-
38,39,유먼,한화,투수,17,17,91 2/3,4,0,2,13,0,0.789,0,0,0,-
39,40,김경언,한화,좌익수,16,12,106,0,0,28,1,0,1.000,0,0,0,-
40,40,박성호,한화,투수,16,0,20 2/3,0,0,1,1,0,1.000,0,0,0,-
41,40,송주호,한화,중견수,16,3,48 1/3,0,0,11,0,0,1.000,0,0,0,-
42,43,김범수,한화,투수,15,0,14 2/3,0,0,0,1,1,1.000,0,0,0,-
43,43,이용규,한화,우익수,15,10,89,0,0,22,0,0,1.000,0,0,0,-
44,43,장운호,한화,중견수,15,13,106 1/3,0,0,23,0,0,1.000,0,0,0,-
45,46,이시찬,한화,2루수,14,9,90 2/3,1,0,20,31,6,0.981,0,0,0,-
46,47,한상훈,한화,3루수,12,5,48,1,0,4,7,1,0.917,0,0,0,-
47,48,한상훈,한화,유격수,11,3,42,0,0,4,16,3,1.000,0,0,0,-
48,49,로저스,한화,투수,10,10,75 2/3,0,1,2,7,1,1.000,0,0,0,-
49,49,모건,한화,중견수,10,9,82 1/3,0,0,20,0,0,1.000,0,0,0,-
50,49,박한길,한화,투수,10,0,13 2/3,0,0,1,4,0,1.000,0,0,0,-
51,49,정근우,한화,중견수,10,3,27 2/3,0,0,6,1,0,1.000,0,0,0,-
52,53,고동진,한화,좌익수,9,5,34 1/3,0,0,5,1,0,1.000,0,0,0,-
53,53,지성준,한화,포수,9,0,26,0,0,24,0,0,1.000,1,2,0,0.0
54,55,고동진,한화,우익수,8,7,67,0,0,12,0,0,1.000,0,0,0,-
55,55,송광민,한화,3루수,8,6,51 2/3,0,0,3,11,2,1.000,0,0,0,-
56,57,폭스,한화,좌익수,7,4,28 2/3,0,0,6,0,0,1.000,0,0,0,-
57,57,황선일,한화,우익수,7,4,40,0,0,5,2,0,1.000,0,0,0,-
58,59,이종환,한화,우익수,6,1,13,1,0,4,0,0,0.800,0,0,0,-
59,59,장운호,한화,좌익수,6,0,8 2/3,0,0,2,1,1,1.000,0,0,0,-
60,59,폭스,한화,포수,6,2,22,0,0,13,3,0,1.000,1,3,1,25.0
61,62,고동진,한화,중견수,5,5,39 2/3,0,0,2,0,0,1.000,0,0,0,-
62,62,한상훈,한화,2루수,5,2,20,0,0,6,10,2,1.000,0,0,0,-
63,62,허유강,한화,투수,5,0,2 2/3,0,0,0,0,0,-,0,0,0,-
64,65,송광민,한화,좌익수,4,4,25,0,0,7,0,0,1.000,0,0,0,-
65,65,이종환,한화,좌익수,4,0,10 2/3,0,0,3,0,0,1.000,0,0,0,-
66,65,이창열,한화,2루수,4,0,5 2/3,0,0,1,3,0,1.000,0,0,0,-
67,65,장민재,한화,투수,4,0,4,0,0,0,1,0,1.000,0,0,0,-
68,69,구본범,한화,투수,3,0,1,0,0,0,0,0,-,0,0,0,-
69,69,김태완,한화,1루수,3,0,12,0,0,14,3,1,1.000,0,0,0,-
70,69,박노민,한화,우익수,3,0,5,0,0,4,0,0,1.000,0,0,0,-
71,69,박노민,한화,포수,3,0,5,0,0,5,0,0,1.000,0,1,0,0.0
72,69,윤기호,한화,투수,3,0,2 2/3,0,0,0,0,0,-,0,0,0,-
73,69,이시찬,한화,3루수,3,0,7,0,0,1,1,0,1.000,0,0,0,-
74,69,정재원,한화,투수,3,0,4,0,0,0,1,1,1.000,0,0,0,-
75,69,정현석,한화,중견수,3,0,4,0,0,0,0,0,-,0,0,0,-
76,69,주현상,한화,2루수,3,0,7,0,0,2,3,0,1.000,0,0,0,-
77,69,하주석,한화,유격수,3,3,19,0,0,4,10,3,1.000,0,0,0,-
78,79,김용주,한화,투수,2,2,8,0,0,0,1,0,1.000,0,0,0,-
79,79,마일영,한화,투수,2,0,1/3,0,0,0,0,0,-,0,0,0,-
80,79,문재현,한화,투수,2,0,1/3,0,0,0,0,0,-,0,0,0,-
81,79,이성열,한화,중견수,2,0,3,0,0,0,1,0,1.000,0,0,0,-
82,79,이시찬,한화,유격수,2,0,9,0,0,3,3,2,1.000,0,0,0,-
83,79,정광운,한화,투수,2,0,1 1/3,0,0,0,0,0,-,0,0,0,-
84,79,주현상,한화,포수,2,0,3 2/3,0,0,4,0,0,1.000,0,0,0,-
85,79,채기영,한화,우익수,2,1,5,0,0,0,0,0,-,0,0,0,-
86,87,권용관,한화,2루수,1,0,4,0,0,0,0,0,-,0,0,0,-
87,87,김경언,한화,중견수,1,0,1,0,0,0,0,0,-,0,0,0,-
88,87,송주호,한화,2루수,1,0,1,0,0,1,1,0,1.000,0,0,0,-
89,87,이성열,한화,1루수,1,0,5,0,0,6,0,1,1.000,0,0,0,-
90,87,이시찬,한화,1루수,1,0,1 1/3,0,0,2,0,0,1.000,0,0,0,-
91,87,이종환,한화,1루수,1,0,1,0,0,0,1,0,1.000,0,0,0,-
92,87,임경완,한화,투수,1,0,0,0,0,0,0,0,-,0,0,0,-
93,87,임익준,한화,3루수,1,0,7,0,0,0,0,0,-,0,0,0,-
94,87,정현석,한화,좌익수,1,0,3,0,0,2,0,0,1.000,0,0,0,-
95,87,조영우,한화,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
96,87,조정원,한화,유격수,1,0,1,0,0,0,0,0,-,0,0,0,-
97,87,조정원,한화,2루수,1,0,2/3,0,0,0,0,0,-,0,0,0,-
98,87,주현상,한화,1루수,1,0,3,0,0,1,1,0,1.000,0,0,0,-
99,87,주현상,한화,유격수,1,0,1,0,0,0,0,0,-,0,0,0,-
100,87,채기영,한화,중견수,1,0,3 2/3,0,0,0,0,0,-,0,0,0,-
101,87,최영환,한화,투수,1,0,1 1/3,0,0,0,0,0,-,0,0,0,-
102,87,폭스,한화,우익수,1,0,3,0,0,0,0,0,-,0,0,0,-
