,name,PO,PKO,IP,GS,A,SB,CS,DP,PB,E,FPCT,CS%
0,강동수,18,0,33.666666666666664,2,6,0,0,3,0,1,0.96,0.0
1,강민호,697,4,859.3333333333334,109,67,70,28,10,6,8,0.9896373056994818,28.57142857142857
2,강영식,0,1,38.666666666666664,0,6,0,0,0,0,0,1.0,0.0
3,구승민,5,0,29.0,3,1,0,0,1,0,0,1.0,0.0
4,김대륙,33,0,220.0,15,86,0,0,16,0,4,0.967479674796748,0.0
5,김대우,175,0,182.0,24,12,0,0,15,0,2,0.9894179894179894,0.0
6,김문호,124,0,638.6666666666666,80,5,0,0,1,0,3,0.9772727272727273,0.0
7,김민하,67,0,306.3333333333333,31,2,0,0,2,0,1,0.9857142857142858,0.0
8,김성배,2,0,39.666666666666664,0,5,0,0,0,0,0,1.0,0.0
9,김승회,5,0,75.0,7,7,0,0,0,0,0,1.0,0.0
10,김원중,1,0,20.333333333333332,0,1,0,0,0,0,0,1.0,0.0
11,김재유,5,0,21.0,2,0,0,0,0,0,0,1.0,0.0
12,김주현,24,0,109.66666666666667,12,1,0,0,0,0,2,0.9259259259259259,0.0
13,김준태,67,0,87.33333333333333,6,5,6,0,1,2,0,1.0,0.0
14,레일리,13,1,179.33333333333334,30,39,0,0,4,0,1,0.9811320754716981,0.0
15,린드블럼,11,2,210.0,32,30,0,0,2,0,0,1.0,0.0
16,문규현,124,0,739.6666666666666,86,276,0,0,49,0,11,0.9732360097323601,0.0
17,박세웅,3,1,114.0,21,17,0,0,0,0,3,0.8695652173913043,0.0
18,박종윤,729,0,693.6666666666666,80,44,0,0,57,0,4,0.9948519948519948,0.0
19,박준서,1,0,9.0,1,4,0,0,1,0,0,1.0,0.0
20,박진형,0,0,1.3333333333333333,0,0,0,0,0,0,0,0.0,0.0
21,배장호,2,0,28.666666666666668,5,4,0,0,0,0,1,0.8571428571428571,0.0
22,백민기,5,0,23.0,2,0,0,0,0,0,0,1.0,0.0
23,손아섭,196,0,956.3333333333334,109,6,0,0,3,0,8,0.9619047619047619,0.0
24,손용석,87,0,145.0,16,28,0,0,16,0,1,0.9913793103448276,0.0
25,송승준,7,2,125.0,23,12,0,0,1,0,3,0.8636363636363636,0.0
26,심규범,0,0,6.333333333333333,0,2,0,0,0,0,0,1.0,0.0
27,심수창,1,0,73.33333333333333,6,6,0,0,0,0,0,1.0,0.0
28,아두치,253,0,1124.0,128,10,0,0,1,0,3,0.9887218045112782,0.0
29,안중열,290,0,358.6666666666667,30,35,36,14,5,7,5,0.9848484848484849,28.000000000000004
30,오승택,291,0,761.6666666666666,83,185,0,0,53,0,16,0.967479674796748,0.0
31,오윤석,46,0,78.33333333333334,5,11,0,0,6,0,0,1.0,0.0
32,오현근,18,0,68.0,8,0,0,0,0,0,0,1.0,0.0
33,이경우,0,0,1.6666666666666665,0,0,0,0,0,0,0,0.0,0.0
34,이명우,1,0,59.0,5,24,0,0,4,0,0,1.0,0.0
35,이상화,10,0,55.0,12,10,0,0,0,0,0,1.0,0.0
36,이성민,5,0,72.66666666666667,0,14,0,0,1,0,1,0.95,0.0
37,이여상,0,0,5.0,0,3,0,0,0,0,1,0.75,0.0
38,이우민,97,0,385.0,37,1,0,0,1,0,0,1.0,0.0
39,이인복,1,0,20.333333333333332,1,6,0,0,0,0,0,1.0,0.0
40,이재곤,1,0,13.0,5,1,0,0,1,0,0,1.0,0.0
41,이정민,5,0,44.666666666666664,0,5,0,0,1,0,2,0.8333333333333334,0.0
42,임재철,29,0,145.33333333333334,15,3,0,0,1,0,0,1.0,0.0
43,정대현,0,0,18.333333333333332,0,1,0,0,0,0,0,1.0,0.0
44,정재훈,0,0,6.333333333333333,0,1,0,0,0,0,0,1.0,0.0
45,정훈,258,0,1060.3333333333333,127,332,0,0,83,0,17,0.9719934102141681,0.0
46,조현우,0,0,4.0,0,1,0,0,0,0,0,1.0,0.0
47,조홍석,1,0,2.0,0,0,0,0,0,0,0,1.0,0.0
48,차재용,0,0,1.3333333333333333,0,0,0,0,0,0,0,0.0,0.0
49,최준석,29,0,35.666666666666664,5,1,0,0,4,0,0,1.0,0.0
50,허준혁,0,0,1.6666666666666665,0,0,0,0,0,0,0,0.0,0.0
51,홍성민,2,0,82.0,0,7,0,0,1,0,0,1.0,0.0
52,황동채,2,0,5.0,0,0,0,0,0,0,0,1.0,0.0
53,황재균,62,0,1118.3333333333333,128,253,0,0,25,0,16,0.9516616314199395,0.0
54,황진수,1,0,2.6666666666666665,0,1,0,0,0,0,0,1.0,0.0
