,rank,name,team,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
0,1,황재균,롯데,3루수,135,128,1118 1/3,16,0,62,253,25,0.952,0,0,0,-
1,2,정훈,롯데,2루수,129,127,1060 1/3,17,0,258,332,83,0.972,0,0,0,-
2,3,손아섭,롯데,우익수,113,109,956 1/3,8,0,196,6,3,0.962,0,0,0,-
3,4,강민호,롯데,포수,110,109,859 1/3,8,4,697,67,10,0.990,6,70,28,28.6
4,5,문규현,롯데,유격수,105,86,739 2/3,11,0,124,276,49,0.973,0,0,0,-
5,6,박종윤,롯데,1루수,91,80,692 2/3,4,0,729,44,57,0.995,0,0,0,-
6,7,아두치,롯데,좌익수,89,56,559 1/3,1,0,120,7,0,0.992,0,0,0,-
7,8,아두치,롯데,중견수,81,72,564 2/3,2,0,133,3,1,0.986,0,0,0,-
8,9,안중열,롯데,포수,79,30,358 2/3,5,0,290,35,5,0.985,7,36,14,28.0
9,10,김문호,롯데,좌익수,68,59,464 1/3,3,0,89,4,1,0.969,0,0,0,-
10,11,홍성민,롯데,투수,67,0,82,0,0,2,7,1,1.000,0,0,0,-
11,12,이우민,롯데,중견수,65,37,381,0,0,97,1,1,1.000,0,0,0,-
12,13,오승택,롯데,유격수,62,42,340 1/3,11,0,41,119,22,0.936,0,0,0,-
13,14,이성민,롯데,투수,61,0,72 2/3,1,0,5,14,1,0.950,0,0,0,-
14,15,이명우,롯데,투수,59,5,59,0,0,1,24,4,1.000,0,0,0,-
15,16,김대륙,롯데,유격수,53,15,194 1/3,3,0,27,74,12,0.971,0,0,0,-
16,17,강영식,롯데,투수,50,0,38 2/3,0,1,0,6,0,1.000,0,0,0,-
17,18,김민하,롯데,중견수,49,31,302 1/3,1,0,63,2,0,0.985,0,0,0,-
18,19,김성배,롯데,투수,45,0,39 2/3,0,0,2,5,0,1.000,0,0,0,-
19,20,오승택,롯데,1루수,42,19,202 2/3,5,0,213,13,22,0.978,0,0,0,-
20,21,김승회,롯데,투수,39,7,75,0,0,5,7,0,1.000,0,0,0,-
21,21,심수창,롯데,투수,39,6,73 1/3,0,0,1,6,0,1.000,0,0,0,-
22,23,이정민,롯데,투수,34,0,44 2/3,2,0,5,5,1,0.833,0,0,0,-
23,24,린드블럼,롯데,투수,32,32,210,0,2,11,30,2,1.000,0,0,0,-
24,25,레일리,롯데,투수,31,30,179 1/3,1,1,13,39,4,0.981,0,0,0,-
25,25,박세웅,롯데,투수,31,21,114,3,1,3,17,0,0.870,0,0,0,-
26,27,김대우,롯데,1루수,28,22,172,2,0,175,12,15,0.989,0,0,0,-
27,28,김문호,롯데,우익수,27,21,174 1/3,0,0,35,1,0,1.000,0,0,0,-
28,29,송승준,롯데,투수,25,23,125,3,2,7,12,1,0.864,0,0,0,-
29,30,김준태,롯데,포수,24,6,87 1/3,0,0,67,5,1,1.000,2,6,0,0.0
