,name,PO,PKO,IP,GS,A,SB,CS,DP,PB,E,FPCT,CS%
0,강지광,5,0,24.0,3,0,0,0,0,0,1,0.8333333333333334,0.0
1,고종욱,106,0,483.6666666666667,57,1,0,0,0,0,3,0.9727272727272728,0.0
2,구자형,0,0,2.6666666666666665,0,1,0,0,0,0,0,1.0,0.0
3,금민철,3,0,22.0,5,2,0,0,0,0,0,1.0,0.0
4,김대우,6,0,71.0,1,5,0,0,0,0,0,1.0,0.0
5,김동준,4,1,50.333333333333336,5,8,0,0,0,0,1,0.9230769230769231,0.0
6,김민성,125,0,797.6666666666666,94,209,0,0,36,0,5,0.9852507374631269,0.0
7,김민준,0,0,6.0,0,0,0,0,0,0,0,0.0,0.0
8,김상수,0,0,5.0,1,2,0,0,0,0,0,1.0,0.0
9,김영민,1,0,90.33333333333333,4,12,0,0,1,0,1,0.9285714285714286,0.0
10,김재현,153,1,204.66666666666666,15,15,21,7,1,1,2,0.9882352941176471,25.0
11,김정인,0,0,1.0,0,0,0,0,0,0,0,0.0,0.0
12,김정훈,2,0,15.333333333333334,1,1,0,0,0,0,1,0.75,0.0
13,김지수,70,0,400.00000000000006,31,122,0,0,31,0,2,0.9896907216494846,0.0
14,김택형,5,0,58.0,10,8,0,0,0,0,1,0.9285714285714286,0.0
15,김하성,212,0,1209.3333333333333,139,408,0,0,87,0,21,0.9672386895475819,0.0
16,마정길,2,0,37.333333333333336,0,2,0,0,1,0,0,1.0,0.0
17,문성현,8,0,91.66666666666667,13,6,0,0,0,0,0,1.0,0.0
18,문우람,47,0,267.66666666666663,22,4,0,0,0,0,1,0.9807692307692307,0.0
19,박동원,858,6,1012.0,122,96,75,32,10,9,10,0.9896265560165975,29.906542056074763
20,박병호,1114,0,1132.3333333333333,132,93,0,0,103,0,12,0.9901558654634947,0.0
21,박헌도,74,0,426.6666666666667,45,0,0,0,0,0,0,1.0,0.0
22,배힘찬,1,0,6.666666666666667,0,0,0,0,0,0,0,1.0,0.0
23,밴헤켄,11,1,196.66666666666666,32,23,0,0,0,0,3,0.918918918918919,0.0
24,서건창,148,0,566.0,67,174,0,0,49,0,11,0.9669669669669669,0.0
25,서동욱,103,0,237.33333333333334,23,59,0,0,20,0,2,0.9878048780487805,0.0
26,손승락,5,0,61.333333333333336,0,16,0,0,0,0,1,0.9545454545454546,0.0
27,송성문,7,0,27.0,5,8,0,0,2,0,2,0.8823529411764706,0.0
28,송신영,3,0,69.0,16,8,0,0,1,0,0,1.0,0.0
29,스나이더,158,0,839.0,93,5,0,0,2,0,2,0.9878787878787879,0.0
30,양훈,1,0,38.333333333333336,3,5,0,0,1,0,0,1.0,0.0
31,오재영,1,0,18.333333333333332,4,2,0,0,0,0,0,1.0,0.0
32,유선정,68,0,69.33333333333333,7,3,15,2,1,0,1,0.9861111111111112,11.76470588235294
33,유재신,36,0,72.33333333333334,4,2,0,0,4,0,1,0.9743589743589743,0.0
34,유한준,248,0,1100.6666666666665,129,4,0,0,0,0,2,0.9921259842519685,0.0
35,윤석민,102,0,625.3333333333334,72,115,0,0,21,0,13,0.9434782608695652,0.0
36,이상민,0,0,19.333333333333332,0,4,0,0,0,0,0,1.0,0.0
37,이정훈,0,0,2.0,0,0,0,0,0,0,0,0.0,0.0
38,이택근,128,0,621.6666666666666,72,3,0,0,0,0,0,1.0,0.0
39,임병욱,18,0,49.0,3,0,0,0,2,0,0,1.0,0.0
40,장시윤,8,0,87.33333333333333,12,27,0,0,2,0,2,0.9459459459459459,0.0
41,장영석,1,0,22.0,1,9,0,0,1,0,1,0.9090909090909091,0.0
42,정회찬,0,0,1.0,0,0,0,0,0,0,0,0.0,0.0
43,조상우,2,1,93.33333333333333,0,10,0,0,1,0,2,0.8571428571428571,0.0
44,피어밴드,1,13,177.33333333333334,30,44,0,0,1,0,4,0.9183673469387755,0.0
45,하영민,2,0,34.666666666666664,2,8,0,0,1,0,0,1.0,0.0
46,한현희,8,1,123.33333333333333,17,16,0,0,0,0,2,0.9230769230769231,0.0
47,허정협,3,0,6.0,1,0,0,0,0,0,0,1.0,0.0
48,홍성갑,0,0,1.0,0,0,0,0,0,0,0,0.0,0.0
