,rank,name,team,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
0,1,김하성,넥센,유격수,140,139,1209 1/3,21,0,212,408,87,0.967,0,0,0,-
1,2,박병호,넥센,1루수,131,131,1124 1/3,12,0,1113,93,103,0.990,0,0,0,-
2,3,박동원,넥센,포수,126,122,1012,10,6,858,96,10,0.990,9,75,32,29.9
3,4,유한준,넥센,우익수,81,68,570 2/3,2,0,126,0,0,0.984,0,0,0,-
4,4,이택근,넥센,중견수,81,72,621 2/3,0,0,128,3,0,1.000,0,0,0,-
5,6,서건창,넥센,2루수,72,67,566,11,0,148,174,49,0.967,0,0,0,-
6,6,윤석민,넥센,3루수,72,64,560 1/3,11,0,49,110,17,0.935,0,0,0,-
7,8,유한준,넥센,중견수,70,61,530,0,0,122,4,0,1.000,0,0,0,-
8,8,조상우,넥센,투수,70,0,93 1/3,2,1,2,10,1,0.857,0,0,0,-
9,10,김민성,넥센,3루수,69,62,547 2/3,4,0,57,111,11,0.977,0,0,0,-
10,11,김지수,넥센,2루수,67,24,273 2/3,1,0,62,84,25,0.993,0,0,0,-
11,12,고종욱,넥센,좌익수,66,57,481 2/3,3,0,104,1,0,0.972,0,0,0,-
12,13,스나이더,넥센,우익수,60,53,470 1/3,1,0,81,3,2,0.988,0,0,0,-
13,14,김재현,넥센,포수,58,15,204 2/3,2,1,153,15,1,0.988,1,21,7,25.0
14,14,손승락,넥센,투수,58,0,61 1/3,1,0,5,16,0,0.955,0,0,0,-
15,16,김영민,넥센,투수,57,4,90 1/3,1,0,1,12,1,0.929,0,0,0,-
16,17,박헌도,넥센,좌익수,54,37,340 2/3,0,0,58,0,0,1.000,0,0,0,-
17,18,스나이더,넥센,좌익수,50,39,356 2/3,1,0,73,2,0,0.987,0,0,0,-
18,19,김대우,넥센,투수,47,1,71,0,0,6,5,0,1.000,0,0,0,-
19,20,한현희,넥센,투수,45,17,123 1/3,2,1,8,16,0,0.923,0,0,0,-
20,21,김택형,넥센,투수,37,10,58,1,0,5,8,0,0.929,0,0,0,-
21,22,김민성,넥센,2루수,36,32,250,1,0,68,98,25,0.994,0,0,0,-
22,23,마정길,넥센,투수,35,0,37 1/3,0,0,2,2,1,1.000,0,0,0,-
