,name,PO,PKO,IP,GS,A,SB,CS,DP,PB,E,FPCT,CS%
0,강봉규,13,0,10.0,1,0,0,0,1,0,0,1.0,0.0
1,구자욱,566,0,864.3333333333333,99,41,0,0,44,0,13,0.9790322580645161,0.0
2,권오준,1,0,28.0,0,4,0,0,0,0,1,0.8333333333333334,0.0
3,김건한,0,0,16.333333333333332,1,5,0,0,0,0,0,1.0,0.0
4,김기태,0,0,29.333333333333332,0,2,0,0,0,0,1,0.6666666666666666,0.0
5,김상수,176,0,1093.0,128,323,0,0,62,0,18,0.965183752417795,0.0
6,김재현,23,0,180.66666666666666,7,36,0,0,6,0,0,1.0,0.0
7,김정혁,16,0,49.66666666666667,5,10,0,0,3,0,0,1.0,0.0
8,김태완,0,0,9.0,1,6,0,0,0,0,0,1.0,0.0
9,김현우,0,0,12.333333333333334,0,1,0,0,0,0,0,1.0,0.0
10,나바로,285,0,1171.3333333333333,137,326,0,0,77,0,12,0.9807383627608347,0.0
11,박계범,0,0,2.0,0,1,0,0,0,0,0,1.0,0.0
12,박근홍,1,0,48.666666666666664,0,7,0,0,0,0,1,0.8888888888888888,0.0
13,박석민,63,0,1066.6666666666667,129,206,0,0,16,0,14,0.950530035335689,0.0
14,박찬도,75,0,292.0,12,0,0,0,0,0,1,0.9868421052631579,0.0
15,박한이,170,0,786.3333333333334,92,5,0,0,1,0,2,0.9887005649717514,0.0
16,박해민,370,0,1187.6666666666667,135,10,0,0,6,0,3,0.9921671018276762,0.0
17,배영섭,0,0,33.333333333333336,4,1,0,0,0,0,0,1.0,0.0
18,백상원,20,0,211.0,20,52,0,0,7,0,4,0.9473684210526315,0.0
19,백정현,1,0,28.0,1,3,0,0,0,0,0,1.0,0.0
20,신용운,1,0,25.666666666666668,0,3,0,0,0,0,0,1.0,0.0
21,심창민,0,0,67.33333333333333,0,6,0,0,1,0,0,1.0,0.0
22,안지만,4,3,78.33333333333333,0,15,0,0,4,0,0,1.0,0.0
23,우동균,17,0,121.33333333333333,16,0,0,0,0,0,0,1.0,0.0
24,윤성환,6,0,194.0,30,16,0,0,1,0,1,0.9565217391304348,0.0
25,윤영수,2,0,7.333333333333334,0,3,0,0,1,0,0,1.0,0.0
26,이상훈,7,0,17.0,2,0,0,0,0,0,0,1.0,0.0
27,이승엽,0,0,1.0,0,1,0,0,0,0,0,1.0,0.0
28,이영욱,14,0,83.0,4,0,0,0,0,0,1,0.9333333333333333,0.0
29,이정식,16,0,13.0,1,1,0,0,0,0,0,1.0,0.0
30,이지영,803,0,844.6666666666666,101,58,44,29,8,4,7,0.9919354838709677,39.726027397260275
31,이흥련,277,1,274.6666666666667,28,16,20,5,1,1,1,0.9965986394557823,20.0
32,임창용,3,0,54.0,0,10,0,0,1,0,0,1.0,0.0
33,임현준,1,0,6.333333333333333,0,2,0,0,0,0,0,1.0,0.0
34,장원삼,2,0,136.66666666666666,25,14,0,0,0,0,1,0.9411764705882353,0.0
35,장필준,0,0,4.0,1,2,0,0,0,0,0,1.0,0.0
36,정인욱,2,0,29.333333333333332,4,1,0,0,0,0,0,1.0,0.0
37,조현근,2,0,19.333333333333332,0,4,0,0,0,0,0,1.0,0.0
38,진갑용,144,0,143.0,14,4,16,2,0,3,0,1.0,11.11111111111111
39,차우찬,10,3,173.0,29,35,0,0,1,0,1,0.9782608695652174,0.0
40,채태인,483,0,568.0,73,29,0,0,42,0,4,0.9922480620155039,0.0
41,최민구,0,0,4.0,0,0,0,0,0,0,0,0.0,0.0
42,최선호,24,0,108.0,9,0,0,0,0,0,1,0.96,0.0
43,최형우,214,0,1060.6666666666667,134,6,0,0,0,0,2,0.990990990990991,0.0
44,클로이드,5,1,159.66666666666666,28,21,0,0,3,0,3,0.896551724137931,0.0
45,피가로,9,1,165.0,25,18,0,0,2,0,4,0.8709677419354839,0.0
