,rank,name,team,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
0,1,박해민,삼성,중견수,138,129,1104 2/3,3,0,309,5,1,0.991,0,0,0,-
1,2,최형우,삼성,좌익수,134,134,1060 2/3,2,0,214,6,0,0.991,0,0,0,-
2,3,박석민,삼성,3루수,129,129,1066 2/3,14,0,63,206,16,0.951,0,0,0,-
3,4,김상수,삼성,유격수,128,128,1092,18,0,175,323,62,0.965,0,0,0,-
4,5,나바로,삼성,2루수,126,124,1058 1/3,12,0,268,293,74,0.979,0,0,0,-
5,6,이지영,삼성,포수,118,101,844 2/3,7,0,803,58,8,0.992,4,44,29,39.7
6,7,박한이,삼성,우익수,93,92,786 1/3,2,0,170,5,1,0.989,0,0,0,-
7,8,구자욱,삼성,1루수,90,62,590 2/3,8,0,498,22,41,0.985,0,0,0,-
8,9,채태인,삼성,1루수,78,73,568,4,0,483,29,42,0.992,0,0,0,-
9,10,박찬도,삼성,좌익수,68,2,129 1/3,0,0,29,0,0,1.000,0,0,0,-
10,10,이흥련,삼성,포수,68,28,274 2/3,1,1,277,16,1,0.997,1,20,5,20.0
11,12,박근홍,삼성,투수,66,0,48 2/3,1,0,1,7,0,0.889,0,0,0,-
12,12,안지만,삼성,투수,66,0,78 1/3,0,3,4,15,4,1.000,0,0,0,-
13,14,심창민,삼성,투수,61,0,67 1/3,0,0,0,6,1,1.000,0,0,0,-
14,15,임창용,삼성,투수,55,0,54,0,0,3,10,1,1.000,0,0,0,-
15,16,신용운,삼성,투수,35,0,25 2/3,0,0,1,3,0,1.000,0,0,0,-
16,17,백상원,삼성,2루수,33,16,156,4,0,18,44,7,0.939,0,0,0,-
17,18,진갑용,삼성,포수,32,14,143,0,0,144,4,0,1.000,3,16,2,11.1
18,19,백정현,삼성,투수,31,1,28,0,0,1,3,0,1.000,0,0,0,-
19,19,차우찬,삼성,투수,31,29,173,1,3,10,35,1,0.978,0,0,0,-
20,21,권오준,삼성,투수,30,0,28,1,0,1,4,0,0.833,0,0,0,-
21,21,김재현,삼성,3루수,30,1,64 2/3,0,0,6,8,0,1.000,0,0,0,-
22,21,윤성환,삼성,투수,30,30,194,1,0,6,16,1,0.957,0,0,0,-
23,24,김재현,삼성,유격수,29,3,68 1/3,0,0,9,19,5,1.000,0,0,0,-
24,25,박찬도,삼성,중견수,28,6,101,0,0,25,0,0,1.000,0,0,0,-
25,25,클로이드,삼성,투수,28,28,159 2/3,3,1,5,21,3,0.897,0,0,0,-
26,27,이영욱,삼성,우익수,27,3,65,1,0,10,0,0,0.909,0,0,0,-
27,28,장원삼,삼성,투수,26,25,136 2/3,1,0,2,14,0,0.941,0,0,0,-
28,29,피가로,삼성,투수,25,25,165,4,1,9,18,2,0.871,0,0,0,-
29,30,김기태,삼성,투수,23,0,29 1/3,1,0,0,2,0,0.667,0,0,0,-
30,31,우동균,삼성,우익수,22,16,121 1/3,0,0,17,0,0,1.000,0,0,0,-
31,31,조현근,삼성,투수,22,0,19 1/3,0,0,2,4,0,1.000,0,0,0,-
32,33,구자욱,삼성,우익수,21,19,143,2,0,40,5,3,0.957,0,0,0,-
33,33,박찬도,삼성,우익수,21,4,61 2/3,1,0,21,0,0,0.955,0,0,0,-
34,33,박해민,삼성,1루수,21,6,83,0,0,61,5,5,1.000,0,0,0,-
35,36,김재현,삼성,2루수,17,3,47 2/3,0,0,8,9,1,1.000,0,0,0,-
36,37,김건한,삼성,투수,16,1,16 1/3,0,0,0,5,0,1.000,0,0,0,-
37,37,나바로,삼성,유격수,16,13,113,0,0,17,33,3,1.000,0,0,0,-
38,39,최선호,삼성,우익수,14,9,89,1,0,21,0,0,0.955,0,0,0,-
39,40,구자욱,삼성,중견수,12,8,53 2/3,0,0,20,1,0,1.000,0,0,0,-
40,40,백상원,삼성,3루수,12,4,54,0,0,2,7,0,1.000,0,0,0,-
41,40,정인욱,삼성,투수,12,4,29 1/3,0,0,2,1,0,1.000,0,0,0,-
42,43,김현우,삼성,투수,11,0,12 1/3,0,0,0,1,0,1.000,0,0,0,-
43,43,최선호,삼성,좌익수,11,0,18,0,0,3,0,0,1.000,0,0,0,-
44,45,구자욱,삼성,3루수,10,7,58,2,0,3,13,0,0.889,0,0,0,-
45,45,김정혁,삼성,3루수,10,3,27,0,0,2,4,1,1.000,0,0,0,-
46,47,임현준,삼성,투수,7,0,6 1/3,0,0,1,2,0,1.000,0,0,0,-
47,48,김정혁,삼성,1루수,6,2,22 2/3,0,0,14,6,2,1.000,0,0,0,-
48,49,이정식,삼성,포수,5,1,13,0,0,16,1,0,1.000,0,0,0,-
49,50,배영섭,삼성,좌익수,4,4,33 1/3,0,0,0,1,0,1.000,0,0,0,-
50,51,구자욱,삼성,좌익수,3,3,19,1,0,5,0,0,0.833,0,0,0,-
51,51,이영욱,삼성,중견수,3,1,12,0,0,3,0,0,1.000,0,0,0,-
52,51,이영욱,삼성,좌익수,3,0,6,0,0,1,0,0,1.000,0,0,0,-
53,54,강봉규,삼성,1루수,2,1,10,0,0,13,0,1,1.000,0,0,0,-
54,54,윤영수,삼성,2루수,2,0,3 1/3,0,0,2,2,1,1.000,0,0,0,-
55,54,장필준,삼성,투수,2,1,4,0,0,0,2,0,1.000,0,0,0,-
56,54,최민구,삼성,우익수,2,0,2,0,0,0,0,0,-,0,0,0,-
57,58,김상수,삼성,2루수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
58,58,김태완,삼성,2루수,1,1,9,0,0,0,6,0,1.000,0,0,0,-
59,58,박계범,삼성,3루수,1,0,1,0,0,0,1,0,1.000,0,0,0,-
