,name,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,XBH,GO,AO,GO/AO,GW_RBI,BB/K,P/PA,ISOP,XR,GPA,PO,PKO,IP,DP,GS,A,SB,CS,PB,E,FPCT,CS%,SBA,SB%,OOB
0,김주찬,KIA,0.327,98,377,333,66,109,23,2,18,190,62,1,8,43,79,95,0.83,7,0.40,3.79,0.243,68.7,0.315,48,0,244.0,1,32,3,0,0,0,0,1.0,0.0,10,80.0,3
1,필,KIA,0.325,143,591,536,81,174,35,1,22,277,101,0,9,58,139,158,0.88,15,0.58,3.56,0.192,96.1,0.297,1056,0,1150.3333333333333,118,137,96,0,0,0,8,0.993103448275862,0.0,24,58.33333333333334,6
2,황대인,KIA,0.273,22,44,44,3,12,2,0,2,20,7,0,0,4,8,6,1.33,0,0.00,2.91,0.182,4.2,0.237,10,0,68.33333333333333,3,5,13,0,0,0,0,1.0,0.0,0,0.0,1
3,이범호,KIA,0.270,138,514,437,60,118,25,0,28,227,79,0,4,53,99,133,0.74,7,0.63,4.02,0.249,80.9,0.297,95,0,1009.6666666666665,31,128,204,0,0,0,9,0.9707792207792209,0.0,7,42.857142857142854,6
4,김원섭,KIA,0.267,110,341,277,45,74,13,3,5,108,33,6,2,21,80,79,1.01,3,1.15,4.37,0.123,45.6,0.272,161,0,654.0,0,79,4,0,0,0,0,1.0,0.0,13,61.53846153846154,7
5,신종길,KIA,0.262,99,348,313,56,82,13,4,5,118,28,4,0,22,92,59,1.56,3,0.31,4.02,0.115,40.7,0.242,139,0,600.3333333333334,3,80,8,0,0,0,4,0.9735099337748344,0.0,24,79.16666666666666,1
6,김민우,KIA,0.260,90,315,269,28,70,16,1,6,106,34,21,3,23,62,65,0.95,5,0.28,4.12,0.134,35.0,0.239,170,0,670.6666666666666,55,81,245,0,0,0,4,0.9904534606205252,0.0,11,72.72727272727273,1
7,최희섭,KIA,0.256,42,149,125,18,32,3,0,6,53,20,0,1,9,33,27,1.22,1,0.65,4.27,0.168,21.1,0.272,16,0,17.0,3,2,2,0,0,0,0,1.0,0.0,0,0.0,4
8,나지완,KIA,0.253,116,368,304,34,77,16,0,7,114,31,0,2,23,66,84,0.79,1,0.58,4.23,0.122,45.6,0.264,71,0,403.66666666666674,0,54,2,0,0,0,1,0.9864864864864864,0.0,4,75.0,4
9,김다원,KIA,0.245,108,274,245,31,60,9,0,5,84,30,0,2,14,65,55,1.18,3,0.22,4.03,0.098,26.6,0.22899999999999998,92,0,488.0,0,54,2,0,0,0,2,0.9791666666666666,0.0,1,100.0,4
10,백용환,KIA,0.234,65,177,154,22,36,6,0,10,72,30,0,3,16,37,37,1.00,6,0.40,4.17,0.234,24.0,0.259,299,1,375.66666666666674,2,42,28,39,10,1,3,0.990909090909091,20.40816326530612,4,75.0,1
11,김주형,KIA,0.229,45,88,83,2,19,3,0,2,28,3,0,0,5,15,27,0.56,0,0.14,3.45,0.108,6.7,0.207,47,0,152.0,7,14,23,0,0,0,2,0.9722222222222222,0.0,0,0.0,0
12,최용규,KIA,0.225,69,200,182,23,41,4,3,2,57,18,1,2,9,59,41,1.44,1,0.33,4.21,0.088,16.8,0.205,110,0,431.33333333333337,38,49,139,0,0,0,4,0.984189723320158,0.0,16,62.5,4
13,이성우,KIA,0.222,79,134,117,8,26,8,0,1,37,16,5,3,9,46,28,1.64,3,0.45,3.78,0.094,9.8,0.201,300,1,354.33333333333326,2,38,32,35,15,3,2,0.994011976047904,30.0,0,0.0,1
