,name,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,XBH,GO,AO,GO/AO,GW_RBI,BB/K,P/PA,ISOP,XR,GPA
0,양원혁,LG,0.5,3,2,2,2,1,0,0,0,1,1,0,0,0,1,0,-,0,-,3.0,0.0,0.4,0.35
1,서상우,LG,0.34,58,171,159,29,54,8,0,6,80,22,0,0,14,36,38,0.95,3,0.29,4.15,0.16399999999999998,28.6,0.299
2,안익훈,LG,0.33899999999999997,50,74,62,9,21,2,1,0,25,3,3,0,3,18,13,1.38,0,0.90,4.18,0.065,10.4,0.29100000000000004
3,강병의,LG,0.33299999999999996,8,3,3,0,1,0,0,0,1,0,0,0,0,1,0,-,0,0.00,4.0,0.0,-0.1,0.233
4,한나한,LG,0.327,32,126,107,17,35,9,0,4,56,22,1,3,13,24,20,1.20,3,0.39,4.38,0.196,21.3,0.311
5,박용택,LG,0.326,128,533,487,66,159,28,2,18,245,83,1,7,48,127,135,0.94,10,0.47,3.77,0.177,85.3,0.292
6,백창수,LG,0.32299999999999995,25,36,31,4,10,4,0,0,14,0,2,0,4,8,10,0.80,0,1.00,3.39,0.129,5.1,0.285
7,히메네스,LG,0.312,70,299,279,37,87,17,2,11,141,46,0,4,30,40,108,0.37,2,0.25,3.73,0.19399999999999998,47.1,0.281
8,정성훈,LG,0.284,117,440,363,47,103,16,1,9,148,45,6,4,26,106,93,1.14,5,0.83,3.97,0.124,61.2,0.278
9,임훈,LG,0.278,88,296,252,44,70,12,1,1,87,24,7,2,14,73,67,1.09,0,0.59,3.7,0.067,33.4,0.25
10,오지환,LG,0.278,138,566,497,76,138,41,4,11,220,56,3,3,56,117,124,0.94,9,0.49,4.29,0.165,80.4,0.271
11,나성용,LG,0.27399999999999997,40,79,73,7,20,2,0,3,31,9,0,0,5,11,13,0.85,0,0.14,3.94,0.151,9.6,0.254
12,유강남,LG,0.272,126,313,279,26,76,11,1,8,113,37,7,1,20,68,81,0.84,4,0.35,3.74,0.133,35.6,0.251
13,황목치승,LG,0.268,24,74,71,13,19,3,1,0,24,8,0,1,4,25,18,1.39,2,0.20,3.62,0.07,6.6,0.212
14,이민재,LG,0.267,28,34,30,6,8,1,0,0,9,4,1,1,1,8,7,1.14,0,0.13,3.68,0.033,2.9,0.21100000000000002
15,양석환,LG,0.26,125,384,358,36,93,22,1,8,141,48,5,3,31,73,120,0.61,4,0.24,3.99,0.134,39.1,0.23
16,이진영,LG,0.256,103,350,301,32,77,5,1,9,111,39,2,2,15,87,84,1.04,6,0.76,3.89,0.113,39.1,0.25
17,김용의,LG,0.251,71,199,171,30,43,5,1,0,50,15,3,0,6,51,39,1.31,1,0.58,4.11,0.040999999999999995,18.8,0.22899999999999998
18,채은성,LG,0.249,90,198,173,25,43,11,2,4,70,20,3,3,17,56,38,1.47,2,0.36,3.94,0.156,22.4,0.244
19,손주인,LG,0.24600000000000002,98,279,244,27,60,9,0,0,69,14,12,1,9,51,93,0.55,1,0.49,3.9,0.037000000000000005,20.5,0.209
20,이병규,LG,0.243,70,277,230,42,56,9,1,12,103,35,1,0,22,48,43,1.12,1,0.52,4.23,0.204,39.5,0.27899999999999997
21,이병규,LG,0.243,70,277,230,42,56,9,1,12,103,35,1,0,8,34,24,1.42,1,0.28,3.65,0.10400000000000001,6.7,0.196
22,이병규,LG,0.21899999999999997,54,102,96,3,21,7,0,1,31,9,0,1,22,48,43,1.12,1,0.52,4.23,0.204,39.5,0.27899999999999997
23,이병규,LG,0.21899999999999997,54,102,96,3,21,7,0,1,31,9,0,1,8,34,24,1.42,1,0.28,3.65,0.10400000000000001,6.7,0.196
24,문선재,LG,0.226,103,245,212,27,48,13,1,5,78,27,6,1,19,48,63,0.76,1,0.43,4.17,0.142,24.6,0.23199999999999998
25,장준원,LG,0.20800000000000002,20,26,24,2,5,0,0,0,5,1,0,1,0,5,7,0.71,0,0.13,3.73,0.0,1.4,0.156
26,최경철,LG,0.20800000000000002,109,215,183,23,38,7,1,3,56,19,9,1,11,43,48,0.90,2,0.25,3.88,0.098,18.5,0.207
27,박지규,LG,0.205,102,189,171,22,35,8,1,0,45,12,4,1,9,49,39,1.26,2,0.20,4.07,0.057999999999999996,11.7,0.182
28,박성준,LG,0.2,11,12,10,3,2,0,0,0,2,0,0,0,0,1,6,0.17,0,2.00,3.42,0.0,1.0,0.2
29,김영관,LG,0.14300000000000002,20,21,21,2,3,0,0,1,6,2,0,0,1,7,2,3.50,0,0.00,3.81,0.14300000000000002,0.4,0.136
30,윤진호,LG,0.083,30,13,12,3,1,0,0,0,1,1,1,0,0,4,4,1.00,0,0.00,4.08,0.0,-0.3,0.057999999999999996
31,최승준,LG,0.077,8,31,26,0,2,0,0,0,2,1,0,1,0,7,11,0.64,0,0.57,4.35,0.0,0.5,0.107
