,name,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,XBH,GO,AO,GO/AO,GW_RBI,BB/K,P/PA,ISOP,XR,GPA
0,테임즈,NC,0.381,142,595,472,130,180,42,5,47,373,140,0,7,94,75,133,0.56,12,1.13,3.97,0.409,162.2,0.42100000000000004
1,박정준,NC,0.381,19,24,21,2,8,2,0,0,10,2,0,0,2,5,3,1.67,0,0.00,4.00,0.095,4.3,0.325
2,조평호,NC,0.364,22,22,22,4,8,2,0,1,13,3,0,0,3,4,4,1.00,0,0.00,3.55,0.227,3.7,0.312
3,나성범,NC,0.326,144,622,564,112,184,34,5,28,312,135,3,8,67,126,135,0.93,22,0.25,3.65,0.227,111.8,0.306
4,박민우,NC,0.304,141,617,520,111,158,31,6,3,210,47,3,7,40,133,128,1.04,1,0.68,4.20,0.100,92.4,0.281
5,김종호,NC,0.295,133,486,424,90,125,16,7,4,167,36,10,3,27,155,82,1.89,5,0.68,3.79,0.099,64.1,0.262
6,이호준,NC,0.294,131,518,449,48,132,25,0,24,229,110,3,2,49,120,97,1.24,7,0.60,4.03,0.216,80.1,0.299
7,모창민,NC,0.290,103,239,214,23,62,14,0,6,94,35,4,3,20,50,53,0.94,1,0.35,3.69,0.150,32.1,0.263
8,박광열,NC,0.286,33,22,21,2,6,1,0,0,7,3,0,1,1,7,3,2.33,1,0.00,3.73,0.048,1.5,0.20600000000000002
9,조영훈,NC,0.282,103,146,124,20,35,8,0,8,67,35,1,2,16,29,26,1.12,4,0.53,4.25,0.258,25.9,0.302
10,이종욱,NC,0.268,125,504,440,63,118,25,2,5,162,52,4,3,32,119,128,0.93,6,0.69,3.99,0.100,60.7,0.25
11,지석훈,NC,0.267,137,466,415,53,111,15,0,11,159,46,9,3,26,125,97,1.29,5,0.27,3.73,0.116,52.9,0.243
12,김성욱,NC,0.258,125,204,182,32,47,8,1,3,66,26,0,1,12,33,51,0.65,2,0.33,3.64,0.104,21.7,0.24100000000000002
13,김태군,NC,0.254,144,474,421,45,107,24,0,6,149,52,11,7,30,125,119,1.05,5,0.32,3.66,0.100,45.9,0.22699999999999998
14,최재원,NC,0.247,114,102,85,31,21,8,0,2,35,13,1,0,10,20,15,1.33,0,0.34,4.23,0.165,14.2,0.268
15,손시헌,NC,0.245,140,508,440,56,108,24,2,13,175,58,13,5,39,142,129,1.10,8,0.55,3.62,0.152,55.5,0.243
16,용덕한,NC,0.243,91,157,140,12,34,6,0,1,43,13,5,0,7,55,25,2.20,1,0.31,3.36,0.064,13.1,0.213
17,김준완,NC,0.227,30,54,44,12,10,0,0,0,10,2,0,0,0,15,9,1.67,0,1.00,4.26,0.000,4.9,0.223
18,강구성,NC,0.200,4,5,5,0,1,1,0,0,2,0,0,0,1,3,1,3.00,0,-,4.40,0.200,0.4,0.19
19,윤병호,NC,0.111,9,9,9,0,1,0,0,0,1,0,0,0,0,4,0,-,0,0.00,4.22,0.000,-0.3,0.078
20,노진혁,NC,0.079,65,42,38,4,3,2,0,0,5,2,1,1,2,11,14,0.79,0,0.18,4.12,0.053,-0.2,0.08800000000000001
21,강민국,NC,0.000,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0.00,0,0.00,4.50,0.000,-0.2,0.0
22,강장산,NC,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
23,고창성,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
24,김태진,NC,0.000,1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,-,0,-,4.00,0.000,-0.3,0.0
25,노성호,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
26,마낙길,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,-0.3,0.0
27,민성기,NC,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
28,손민한,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
29,이민호,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
