,rank,name,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
0,1,김주찬,KIA,0.327,98,377,333,66,109,23,2,18,190,62,1,8
1,2,필,KIA,0.325,143,591,536,81,174,35,1,22,277,101,0,9
2,3,황대인,KIA,0.273,22,44,44,3,12,2,0,2,20,7,0,0
3,4,이범호,KIA,0.270,138,514,437,60,118,25,0,28,227,79,0,4
4,5,김원섭,KIA,0.267,110,341,277,45,74,13,3,5,108,33,6,2
5,6,신종길,KIA,0.262,99,348,313,56,82,13,4,5,118,28,4,0
6,7,김민우,KIA,0.260,90,315,269,28,70,16,1,6,106,34,21,3
7,8,최희섭,KIA,0.256,42,149,125,18,32,3,0,6,53,20,0,1
8,9,나지완,KIA,0.253,116,368,304,34,77,16,0,7,114,31,0,2
9,10,김다원,KIA,0.245,108,274,245,31,60,9,0,5,84,30,0,2
10,11,백용환,KIA,0.234,65,177,154,22,36,6,0,10,72,30,0,3
11,12,김주형,KIA,0.229,45,88,83,2,19,3,0,2,28,3,0,0
12,13,최용규,KIA,0.225,69,200,182,23,41,4,3,2,57,18,1,2
13,14,이성우,KIA,0.222,79,134,117,8,26,8,0,1,37,16,5,3
14,15,김호령,KIA,0.218,103,283,257,31,56,10,2,1,73,21,6,0
15,16,이홍구,KIA,0.216,112,246,222,25,48,10,1,12,96,39,5,0
16,17,오준혁,KIA,0.213,32,86,80,11,17,2,0,2,25,10,1,2
17,18,강한울,KIA,0.205,90,292,264,30,54,8,3,0,68,12,12,0
18,19,박기남,KIA,0.203,51,93,69,8,14,3,0,0,17,3,3,0
19,20,이인행,KIA,0.200,20,33,30,0,6,0,0,0,6,0,1,0
20,21,박찬호,KIA,0.182,69,150,137,13,25,5,1,0,32,6,4,0
21,22,차일목,KIA,0.174,11,25,23,0,4,0,0,0,4,2,0,0
22,23,윤완주,KIA,0.171,28,38,35,4,6,1,0,1,10,2,1,1
23,23,이은총,KIA,0.171,11,38,35,3,6,1,0,0,7,3,1,0
24,25,박준태,KIA,0.167,51,88,66,15,11,2,1,0,15,4,3,0
25,25,최병연,KIA,0.167,19,7,6,2,1,0,0,0,1,0,0,0
26,27,고영우,KIA,0.154,82,57,52,17,8,2,0,1,13,4,1,0
27,28,이호신,KIA,0.140,54,62,50,9,7,1,0,0,8,3,3,1
28,29,노수광,KIA,0.083,10,14,12,2,1,1,0,0,2,1,0,0
29,30,김광수,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0
