,rank,name,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
0,1,김선민,kt,0.429,23,38,35,2,15,2,0,0,17,3,0,1
1,2,마르테,kt,0.348,115,487,425,85,148,32,1,20,242,89,0,8
2,3,댄블랙,kt,0.333,54,225,198,25,66,10,1,12,114,32,0,0
3,4,장성호,kt,0.309,49,114,94,11,29,4,0,1,36,16,0,1
4,5,이대형,kt,0.302,140,616,546,86,165,23,3,0,194,37,10,1
5,6,박경수,kt,0.284,137,537,440,75,125,30,1,22,223,73,6,4
6,7,장성우,kt,0.284,133,491,433,55,123,20,1,13,184,77,3,9
7,8,김상현,kt,0.280,134,539,475,71,133,20,0,27,234,88,0,6
8,8,박기혁,kt,0.280,126,350,300,27,84,13,1,1,102,30,16,1
9,10,김민혁,kt,0.276,82,179,156,21,43,2,3,0,51,10,7,0
10,11,윤요섭,kt,0.264,74,159,148,17,39,4,0,9,70,28,2,2
11,12,박용근,kt,0.263,27,86,76,7,20,6,0,0,26,4,3,0
12,13,오정복,kt,0.259,66,278,239,34,62,11,1,5,90,29,2,1
13,14,하준호,kt,0.258,80,279,248,33,64,10,0,6,92,26,2,1
14,15,김사연,kt,0.254,72,248,228,31,58,7,1,7,88,27,3,0
15,16,송민섭,kt,0.250,28,51,44,3,11,3,1,0,16,1,5,0
16,16,윤도경,kt,0.250,4,4,4,0,1,0,0,0,1,1,0,0
17,18,모상기,kt,0.231,8,15,13,2,3,0,0,0,3,0,0,0
18,18,이지찬,kt,0.231,34,42,39,4,9,2,0,0,11,4,1,0
19,20,김영환,kt,0.229,37,49,48,4,11,0,0,1,14,7,0,0
20,21,조중근,kt,0.222,25,39,36,4,8,0,0,1,11,2,0,0
21,22,김종민,kt,0.219,26,35,32,2,7,0,0,0,7,1,0,0
22,23,김진곤,kt,0.212,67,87,85,11,18,1,0,0,19,6,1,0
23,24,김태훈,kt,0.209,22,44,43,3,9,1,0,1,13,2,0,1
24,25,신명철,kt,0.209,89,168,134,12,28,2,2,2,40,18,6,1
25,26,김동명,kt,0.196,21,66,51,8,10,3,0,0,13,3,1,0
26,27,심우준,kt,0.169,106,146,142,16,24,7,0,1,34,14,2,0
27,28,문상철,kt,0.163,51,88,80,10,13,3,0,2,22,6,1,0
28,29,이창진,kt,0.158,13,20,19,1,3,1,0,0,4,0,0,0
29,30,배병옥,kt,0.092,66,68,65,8,6,1,0,1,10,2,1,0
