,rank,name,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
0,1,양원혁,LG,0.500,3,2,2,2,1,0,0,0,1,1,0,0
1,2,서상우,LG,0.340,58,171,159,29,54,8,0,6,80,22,0,0
2,3,안익훈,LG,0.339,50,74,62,9,21,2,1,0,25,3,3,0
3,4,강병의,LG,0.333,8,3,3,0,1,0,0,0,1,0,0,0
4,5,한나한,LG,0.327,32,126,107,17,35,9,0,4,56,22,1,3
5,6,박용택,LG,0.326,128,533,487,66,159,28,2,18,245,83,1,7
6,7,백창수,LG,0.323,25,36,31,4,10,4,0,0,14,0,2,0
7,8,히메네스,LG,0.312,70,299,279,37,87,17,2,11,141,46,0,4
8,9,정성훈,LG,0.284,117,440,363,47,103,16,1,9,148,45,6,4
9,10,임훈,LG,0.278,88,296,252,44,70,12,1,1,87,24,7,2
10,11,오지환,LG,0.278,138,566,497,76,138,41,4,11,220,56,3,3
11,12,나성용,LG,0.274,40,79,73,7,20,2,0,3,31,9,0,0
12,13,유강남,LG,0.272,126,313,279,26,76,11,1,8,113,37,7,1
13,14,황목치승,LG,0.268,24,74,71,13,19,3,1,0,24,8,0,1
14,15,이민재,LG,0.267,28,34,30,6,8,1,0,0,9,4,1,1
15,16,양석환,LG,0.260,125,384,358,36,93,22,1,8,141,48,5,3
16,17,이진영,LG,0.256,103,350,301,32,77,5,1,9,111,39,2,2
17,18,김용의,LG,0.251,71,199,171,30,43,5,1,0,50,15,3,0
18,19,채은성,LG,0.249,90,198,173,25,43,11,2,4,70,20,3,3
19,20,손주인,LG,0.246,98,279,244,27,60,9,0,0,69,14,12,1
20,21,이병규,LG,0.243,70,277,230,42,56,9,1,12,103,35,1,0
21,22,문선재,LG,0.226,103,245,212,27,48,13,1,5,78,27,6,1
22,23,이병규,LG,0.219,54,102,96,3,21,7,0,1,31,9,0,1
23,24,장준원,LG,0.208,20,26,24,2,5,0,0,0,5,1,0,1
24,25,최경철,LG,0.208,109,215,183,23,38,7,1,3,56,19,9,1
25,26,박지규,LG,0.205,102,189,171,22,35,8,1,0,45,12,4,1
26,27,박성준,LG,0.200,11,12,10,3,2,0,0,0,2,0,0,0
27,28,김영관,LG,0.143,20,21,21,2,3,0,0,1,6,2,0,0
28,29,윤진호,LG,0.083,30,13,12,3,1,0,0,0,1,1,1,0
29,30,최승준,LG,0.077,8,31,26,0,2,0,0,0,2,1,0,1
