,rank,name,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
0,1,테임즈,NC,0.381,142,595,472,130,180,42,5,47,373,140,0,7
1,2,박정준,NC,0.381,19,24,21,2,8,2,0,0,10,2,0,0
2,3,조평호,NC,0.364,22,22,22,4,8,2,0,1,13,3,0,0
3,4,나성범,NC,0.326,144,622,564,112,184,34,5,28,312,135,3,8
4,5,박민우,NC,0.304,141,617,520,111,158,31,6,3,210,47,3,7
5,6,김종호,NC,0.295,133,486,424,90,125,16,7,4,167,36,10,3
6,7,이호준,NC,0.294,131,518,449,48,132,25,0,24,229,110,3,2
7,8,모창민,NC,0.290,103,239,214,23,62,14,0,6,94,35,4,3
8,9,박광열,NC,0.286,33,22,21,2,6,1,0,0,7,3,0,1
9,10,조영훈,NC,0.282,103,146,124,20,35,8,0,8,67,35,1,2
10,11,이종욱,NC,0.268,125,504,440,63,118,25,2,5,162,52,4,3
11,12,지석훈,NC,0.267,137,466,415,53,111,15,0,11,159,46,9,3
12,13,김성욱,NC,0.258,125,204,182,32,47,8,1,3,66,26,0,1
13,14,김태군,NC,0.254,144,474,421,45,107,24,0,6,149,52,11,7
14,15,최재원,NC,0.247,114,102,85,31,21,8,0,2,35,13,1,0
15,16,손시헌,NC,0.245,140,508,440,56,108,24,2,13,175,58,13,5
16,17,용덕한,NC,0.243,91,157,140,12,34,6,0,1,43,13,5,0
17,18,김준완,NC,0.227,30,54,44,12,10,0,0,0,10,2,0,0
18,19,강구성,NC,0.200,4,5,5,0,1,1,0,0,2,0,0,0
19,20,윤병호,NC,0.111,9,9,9,0,1,0,0,0,1,0,0,0
20,21,노진혁,NC,0.079,65,42,38,4,3,2,0,0,5,2,1,1
21,22,강민국,NC,0.000,1,2,2,0,0,0,0,0,0,0,0,0
22,22,강장산,NC,-,2,0,0,0,0,0,0,0,0,0,0,0
23,22,고창성,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
24,22,김태진,NC,0.000,1,3,3,0,0,0,0,0,0,0,0,0
25,22,노성호,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
26,22,마낙길,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
27,22,민성기,NC,-,3,0,0,0,0,0,0,0,0,0,0,0
28,22,손민한,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
29,22,이민호,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
