,rank,name,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
0,1,이진석,SK,0.500,6,2,2,1,1,0,0,0,1,0,0,0
1,2,김기현,SK,0.429,9,9,7,0,3,0,0,0,3,0,0,0
2,3,이현석,SK,0.333,3,3,3,1,1,0,0,1,4,2,0,0
3,3,홍명찬,SK,0.333,5,3,3,0,1,0,0,0,1,0,0,0
4,5,정의윤,SK,0.320,91,297,259,38,83,14,0,14,139,51,0,3
5,6,이명기,SK,0.315,137,582,521,88,164,30,2,3,207,35,11,4
6,7,최정민,SK,0.308,8,15,13,1,4,0,0,0,4,2,1,0
7,8,김성현,SK,0.297,129,449,397,49,118,20,0,8,162,48,12,2
8,9,최정,SK,0.295,81,330,275,43,81,17,0,17,149,58,1,3
9,10,허웅,SK,0.294,18,19,17,2,5,1,0,0,6,3,0,0
10,11,이재원,SK,0.282,140,559,489,58,138,18,1,17,209,100,0,5
11,12,박정권,SK,0.281,124,494,438,66,123,23,0,21,209,70,4,2
12,13,나주환,SK,0.268,96,273,246,31,66,15,0,5,96,22,12,1
13,14,김연훈,SK,0.267,49,73,60,4,16,1,0,1,20,3,5,1
14,15,이대수,SK,0.264,36,86,72,9,19,3,0,2,28,12,6,1
15,16,조동화,SK,0.261,119,304,245,38,64,6,1,2,78,15,22,2
16,17,브라운,SK,0.261,137,539,464,82,121,21,2,28,230,76,0,2
17,18,정상호,SK,0.254,113,324,279,34,71,11,1,12,120,49,8,0
18,19,박진만,SK,0.248,78,162,133,12,33,5,0,2,44,14,2,0
19,20,박재상,SK,0.248,108,292,250,34,62,12,2,7,99,37,6,1
20,21,김강민,SK,0.246,96,328,293,43,72,17,0,4,101,31,4,1
21,22,윤중환,SK,0.240,15,28,25,1,6,0,0,1,9,4,0,0
22,23,박계현,SK,0.231,97,302,264,27,61,2,0,0,63,21,13,1
23,24,김민식,SK,0.167,23,26,24,4,4,0,0,0,4,0,0,0
24,25,박윤,SK,0.111,17,29,27,1,3,0,0,0,3,0,1,0
25,26,김재현,SK,0.105,46,20,19,13,2,0,1,0,4,0,0,0
26,26,안정광,SK,0.105,10,19,19,0,2,0,0,0,2,1,0,0
27,28,유서준,SK,0.083,17,13,12,5,1,0,0,0,1,0,0,0
28,29,고효준,SK,-,1,0,0,0,0,0,0,0,0,0,0,0
29,29,박정배,SK,-,1,0,0,0,0,0,0,0,0,0,0,0
