,rank,name,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
0,1,이창열,한화,0.500,5,2,2,0,1,1,0,0,2,1,0,0
1,2,이용규,한화,0.341,124,585,493,94,168,15,7,4,209,42,11,4
2,3,김경언,한화,0.337,107,437,377,58,127,21,1,16,198,78,5,3
3,4,박노민,한화,0.333,23,26,24,1,8,0,0,0,8,4,0,0
4,5,정근우,한화,0.316,126,552,468,99,148,30,2,12,218,66,13,2
5,6,김태균,한화,0.316,133,524,408,61,129,28,0,21,220,104,1,5
6,7,정현석,한화,0.310,43,133,116,20,36,6,0,1,45,12,2,0
7,8,하주석,한화,0.300,4,11,10,3,3,0,0,0,3,1,0,0
8,9,최진행,한화,0.291,109,410,333,55,97,17,0,18,168,64,5,3
9,10,이종환,한화,0.290,44,106,100,14,29,4,0,0,33,12,0,0
10,11,이시찬,한화,0.281,34,72,64,7,18,1,0,0,19,6,1,2
11,12,폭스,한화,0.278,38,121,108,16,30,4,0,7,55,25,0,2
12,13,모건,한화,0.273,10,42,33,2,9,2,0,0,11,5,0,1
13,14,강경학,한화,0.257,120,376,311,50,80,7,4,2,101,27,17,3
14,15,장운호,한화,0.254,42,141,114,17,29,4,0,2,39,8,11,0
15,16,이성열,한화,0.250,101,268,232,35,58,10,2,9,99,36,5,2
16,16,지성준,한화,0.250,9,12,12,1,3,1,0,0,4,0,0,0
17,18,송광민,한화,0.243,12,41,37,2,9,2,0,0,11,1,1,0
18,19,김태완,한화,0.239,22,50,46,5,11,2,0,0,13,3,0,0
19,20,조인성,한화,0.232,106,310,276,33,64,11,0,11,108,44,11,1
20,21,한상훈,한화,0.230,35,75,61,7,14,4,0,0,18,8,5,0
21,22,신성현,한화,0.225,64,117,102,17,23,3,0,4,38,17,2,0
22,23,권용관,한화,0.220,116,341,296,32,65,8,1,5,90,22,17,1
23,24,주현상,한화,0.210,103,246,214,18,45,7,0,0,52,12,6,2
24,25,김회성,한화,0.209,83,268,225,36,47,10,2,16,109,35,3,2
25,26,송주호,한화,0.200,121,156,140,18,28,6,0,1,37,9,8,0
26,27,허도환,한화,0.176,61,106,91,8,16,7,0,1,26,6,3,0
27,28,황선일,한화,0.174,13,25,23,1,4,2,0,0,6,2,0,0
28,29,고동진,한화,0.169,27,70,59,5,10,4,0,0,14,7,5,0
29,30,정범모,한화,0.135,51,114,96,3,13,2,0,0,15,10,7,1
