,rank,name,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
0,1,이정식,삼성,0.400,5,5,5,0,2,0,0,0,2,0,0,0
1,2,배영섭,삼성,0.375,4,18,16,2,6,0,0,0,6,2,0,0
2,3,구자욱,삼성,0.349,116,465,410,97,143,33,5,11,219,57,0,4
3,4,채태인,삼성,0.348,104,373,333,35,116,19,0,8,159,49,0,4
4,5,이승엽,삼성,0.332,122,522,470,87,156,28,1,26,264,90,0,6
5,6,진갑용,삼성,0.324,39,73,68,8,22,2,0,3,33,10,0,1
6,7,박석민,삼성,0.321,135,559,448,90,144,25,0,26,247,116,1,8
7,8,최형우,삼성,0.318,144,637,547,94,174,33,1,33,308,123,0,8
8,9,이지영,삼성,0.305,124,400,361,36,110,10,1,1,125,55,16,5
9,10,박한이,삼성,0.300,94,429,367,62,110,17,4,11,168,52,7,1
10,11,박해민,삼성,0.293,144,608,525,96,154,22,7,0,190,47,23,2
11,12,나바로,삼성,0.287,140,643,534,126,153,19,1,48,318,137,1,9
12,13,김상수,삼성,0.278,132,518,449,67,125,30,4,8,187,63,13,7
13,14,백상원,삼성,0.247,52,94,77,10,19,5,0,0,24,7,2,1
14,15,이흥련,삼성,0.238,71,108,105,16,25,7,0,1,35,17,1,0
15,16,이영욱,삼성,0.227,38,26,22,8,5,2,0,0,7,2,0,0
16,17,박찬도,삼성,0.213,116,106,89,32,19,2,1,0,23,9,5,0
17,18,우동균,삼성,0.208,37,82,72,12,15,4,0,0,19,6,1,0
18,19,김재현,삼성,0.171,73,48,41,7,7,0,0,0,7,5,2,0
19,20,김정혁,삼성,0.167,17,20,18,3,3,0,0,0,3,1,1,0
20,20,최선호,삼성,0.167,33,44,42,8,7,1,0,0,8,1,2,0
21,22,강봉규,삼성,0.000,5,8,6,0,0,0,0,0,0,0,0,0
22,22,김태완,삼성,0.000,4,6,5,0,0,0,0,0,0,0,0,0
23,22,박계범,삼성,-,3,0,0,0,0,0,0,0,0,0,0,0
24,22,심창민,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0
25,22,윤영수,삼성,0.000,4,2,2,0,0,0,0,0,0,0,0,0
26,22,이상훈,삼성,0.000,4,8,7,0,0,0,0,0,0,0,1,0
27,22,임창용,삼성,-,2,0,0,0,0,0,0,0,0,0,0,0
28,22,정인욱,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0
29,22,최민구,삼성,-,6,1,0,1,0,0,0,0,0,1,0,1
