,rank,name,team,AVG,XBH,GO,AO,GO/AO,GW_RBI,BB/K,P/PA,ISOP,XR,GPA
0,1,김주찬,KIA,0.327,43,79,95,0.83,7,0.40,3.79,0.243,68.7,0.315
1,2,필,KIA,0.325,58,139,158,0.88,15,0.58,3.56,0.192,96.1,0.297
2,3,황대인,KIA,0.273,4,8,6,1.33,0,0.00,2.91,0.182,4.2,0.237
3,4,이범호,KIA,0.270,53,99,133,0.74,7,0.63,4.02,0.249,80.9,0.297
4,5,김원섭,KIA,0.267,21,80,79,1.01,3,1.15,4.37,0.123,45.6,0.272
5,6,신종길,KIA,0.262,22,92,59,1.56,3,0.31,4.02,0.115,40.7,0.242
6,7,김민우,KIA,0.260,23,62,65,0.95,5,0.28,4.12,0.134,35.0,0.239
7,8,최희섭,KIA,0.256,9,33,27,1.22,1,0.65,4.27,0.168,21.1,0.272
8,9,나지완,KIA,0.253,23,66,84,0.79,1,0.58,4.23,0.122,45.6,0.264
9,10,김다원,KIA,0.245,14,65,55,1.18,3,0.22,4.03,0.098,26.6,0.229
10,11,백용환,KIA,0.234,16,37,37,1.00,6,0.40,4.17,0.234,24.0,0.259
11,12,김주형,KIA,0.229,5,15,27,0.56,0,0.14,3.45,0.108,6.7,0.207
12,13,최용규,KIA,0.225,9,59,41,1.44,1,0.33,4.21,0.088,16.8,0.205
13,14,이성우,KIA,0.222,9,46,28,1.64,3,0.45,3.78,0.094,9.8,0.201
14,15,김호령,KIA,0.218,13,67,51,1.31,1,0.18,3.92,0.066,21.1,0.194
15,16,이홍구,KIA,0.216,23,47,63,0.75,7,0.19,3.53,0.216,27.5,0.233
16,17,오준혁,KIA,0.213,4,26,17,1.53,0,0.09,3.42,0.100,5.2,0.184
17,18,강한울,KIA,0.205,11,91,68,1.34,0,0.25,3.92,0.053,16.6,0.177
18,19,박기남,KIA,0.203,3,21,15,1.40,0,1.11,4.15,0.043,8.6,0.237
19,20,이인행,KIA,0.200,0,6,9,0.67,0,0.22,3.61,0.000,1.5,0.163
20,21,박찬호,KIA,0.182,6,46,29,1.59,0,0.24,4.07,0.051,6.5,0.163
21,22,차일목,KIA,0.174,0,8,7,1.14,0,0.50,3.88,0.000,0.6,0.152
22,23,윤완주,KIA,0.171,2,12,10,1.20,0,0.00,3.32,0.114,2.2,0.157
23,23,이은총,KIA,0.171,1,12,10,1.20,1,0.14,3.95,0.029,1.3,0.147
24,25,박준태,KIA,0.167,3,18,17,1.06,0,0.65,3.99,0.061,8.0,0.216
25,25,최병연,KIA,0.167,0,2,1,2.00,0,0.00,5.86,0.000,0.4,0.170
26,27,고영우,KIA,0.154,3,17,12,1.42,0,0.27,4.11,0.096,3.0,0.159
27,28,이호신,KIA,0.140,1,14,14,1.00,0,0.38,4.29,0.020,3.1,0.154
28,29,노수광,KIA,0.083,1,2,2,1.00,0,0.29,4.79,0.083,0.4,0.138
29,30,김광수,KIA,-,0,0,0,-,0,-,-,-,0.0,0.000
