,rank,name,team,AVG,XBH,GO,AO,GO/AO,GW_RBI,BB/K,P/PA,ISOP,XR,GPA
0,1,김선민,kt,0.429,2,5,10,0.50,1,0.33,3.24,0.057,7.3,0.323
1,2,마르테,kt,0.348,53,88,137,0.64,7,0.85,3.57,0.221,88.3,0.329
2,3,댄블랙,kt,0.333,23,41,39,1.05,5,0.48,4.00,0.242,42.2,0.330
3,4,장성호,kt,0.309,5,31,20,1.55,0,1.13,4.38,0.074,16.3,0.285
4,5,이대형,kt,0.302,26,236,54,4.37,2,0.58,3.77,0.053,76.6,0.255
5,6,박경수,kt,0.284,53,99,105,0.94,7,0.64,4.28,0.223,89.1,0.306
6,7,장성우,kt,0.284,34,123,111,1.11,10,0.54,4.00,0.141,64.2,0.262
7,8,김상현,kt,0.280,47,140,93,1.51,3,0.43,4.02,0.213,77.5,0.283
8,8,박기혁,kt,0.280,15,82,51,1.61,3,0.36,3.91,0.060,35.3,0.243
9,10,김민혁,kt,0.276,5,56,27,2.07,0,0.47,3.96,0.051,17.7,0.236
10,11,윤요섭,kt,0.264,13,39,33,1.18,1,0.15,3.62,0.209,19.7,0.250
11,12,박용근,kt,0.263,6,28,13,2.15,0,0.47,3.67,0.079,7.4,0.232
12,13,오정복,kt,0.259,17,79,73,1.08,5,1.27,4.17,0.117,33.7,0.254
13,14,하준호,kt,0.258,16,60,52,1.15,1,0.29,4.10,0.113,32.7,0.242
14,15,김사연,kt,0.254,15,46,49,0.94,3,0.21,3.93,0.132,27.6,0.234
15,16,송민섭,kt,0.250,4,8,12,0.67,0,0.15,3.12,0.114,3.9,0.218
16,16,윤도경,kt,0.250,0,1,1,1.00,0,0.00,4.25,0.000,0.2,0.175
17,18,모상기,kt,0.231,0,0,5,0.00,0,0.40,4.00,0.000,1.2,0.208
18,18,이지찬,kt,0.231,2,16,8,2.00,0,0.33,3.40,0.051,2.5,0.191
19,20,김영환,kt,0.229,1,14,12,1.17,0,0.09,3.20,0.063,3.5,0.183
20,21,조중근,kt,0.222,1,13,9,1.44,0,0.50,4.26,0.083,2.9,0.203
21,22,김종민,kt,0.219,0,8,14,0.57,0,0.67,4.31,0.000,1.9,0.183
22,23,김진곤,kt,0.212,1,29,18,1.61,0,0.00,3.37,0.012,3.5,0.155
23,24,김태훈,kt,0.209,2,9,10,0.90,0,0.00,3.61,0.093,2.5,0.168
24,25,신명철,kt,0.209,6,44,26,1.69,0,0.73,4.42,0.090,15.5,0.228
25,26,김동명,kt,0.196,3,14,11,1.27,0,0.81,4.52,0.059,6.0,0.230
26,27,심우준,kt,0.169,8,44,39,1.13,1,0.06,3.45,0.070,3.1,0.141
27,28,문상철,kt,0.163,5,18,17,1.06,0,0.22,3.74,0.113,4.8,0.172
28,29,이창진,kt,0.158,1,4,6,0.67,0,0.17,3.40,0.053,0.6,0.143
29,30,배병옥,kt,0.092,2,17,19,0.89,0,0.04,3.69,0.062,-0.4,0.092
