,rank,name,team,AVG,XBH,GO,AO,GO/AO,GW_RBI,BB/K,P/PA,ISOP,XR,GPA
0,1,테임즈,NC,0.381,94,75,133,0.56,12,1.13,3.97,0.409,162.2,0.421
1,2,박정준,NC,0.381,2,5,3,1.67,0,0.00,4.00,0.095,4.3,0.325
2,3,조평호,NC,0.364,3,4,4,1.00,0,0.00,3.55,0.227,3.7,0.312
3,4,나성범,NC,0.326,67,126,135,0.93,22,0.25,3.65,0.227,111.8,0.306
4,5,박민우,NC,0.304,40,133,128,1.04,1,0.68,4.20,0.100,92.4,0.281
5,6,김종호,NC,0.295,27,155,82,1.89,5,0.68,3.79,0.099,64.1,0.262
6,7,이호준,NC,0.294,49,120,97,1.24,7,0.60,4.03,0.216,80.1,0.299
7,8,모창민,NC,0.290,20,50,53,0.94,1,0.35,3.69,0.150,32.1,0.263
8,9,박광열,NC,0.286,1,7,3,2.33,1,0.00,3.73,0.048,1.5,0.206
9,10,조영훈,NC,0.282,16,29,26,1.12,4,0.53,4.25,0.258,25.9,0.302
10,11,이종욱,NC,0.268,32,119,128,0.93,6,0.69,3.99,0.100,60.7,0.250
11,12,지석훈,NC,0.267,26,125,97,1.29,5,0.27,3.73,0.116,52.9,0.243
12,13,김성욱,NC,0.258,12,33,51,0.65,2,0.33,3.64,0.104,21.7,0.241
13,14,김태군,NC,0.254,30,125,119,1.05,5,0.32,3.66,0.100,45.9,0.227
14,15,최재원,NC,0.247,10,20,15,1.33,0,0.34,4.23,0.165,14.2,0.268
15,16,손시헌,NC,0.245,39,142,129,1.10,8,0.55,3.62,0.152,55.5,0.243
16,17,용덕한,NC,0.243,7,55,25,2.20,1,0.31,3.36,0.064,13.1,0.213
17,18,김준완,NC,0.227,0,15,9,1.67,0,1.00,4.26,0.000,4.9,0.223
18,19,강구성,NC,0.200,1,3,1,3.00,0,-,4.40,0.200,0.4,0.190
19,20,윤병호,NC,0.111,0,4,0,-,0,0.00,4.22,0.000,-0.3,0.078
20,21,노진혁,NC,0.079,2,11,14,0.79,0,0.18,4.12,0.053,-0.2,0.088
21,22,강민국,NC,0.000,0,0,1,0.00,0,0.00,4.50,0.000,-0.2,0.000
22,22,강장산,NC,-,0,0,0,-,0,-,-,-,0.0,0.000
23,22,고창성,NC,-,0,0,0,-,0,-,-,-,0.0,0.000
24,22,김태진,NC,0.000,0,3,0,-,0,-,4.00,0.000,-0.3,0.000
25,22,노성호,NC,-,0,0,0,-,0,-,-,-,0.0,0.000
26,22,마낙길,NC,-,0,0,0,-,0,-,-,-,-0.3,0.000
27,22,민성기,NC,-,0,0,0,-,0,-,-,-,0.0,0.000
28,22,손민한,NC,-,0,0,0,-,0,-,-,-,0.0,0.000
29,22,이민호,NC,-,0,0,0,-,0,-,-,-,0.0,0.000
