,rank,name,team,AVG,XBH,GO,AO,GO/AO,GW_RBI,BB/K,P/PA,ISOP,XR,GPA
0,1,이진석,SK,0.500,0,0,0,-,0,0.00,6.50,0.000,0.1,0.350
1,2,김기현,SK,0.429,0,0,1,0.00,0,0.67,4.22,0.000,1.8,0.357
2,3,이현석,SK,0.333,1,1,0,-,0,0.00,3.33,1.000,1.3,0.483
3,3,홍명찬,SK,0.333,0,0,0,-,0,0.00,3.33,0.000,0.3,0.233
4,5,정의윤,SK,0.320,28,56,77,0.73,5,0.57,3.71,0.216,53.2,0.313
5,6,이명기,SK,0.315,35,177,98,1.81,1,0.41,3.87,0.083,75.4,0.265
6,7,최정민,SK,0.308,0,5,1,5.00,0,0.33,3.60,0.000,1.5,0.238
7,8,김성현,SK,0.297,28,121,118,1.03,5,0.74,3.49,0.111,53.3,0.263
8,9,최정,SK,0.295,34,45,74,0.61,10,0.59,4.20,0.247,58.5,0.316
9,10,허웅,SK,0.294,1,1,8,0.13,0,0.67,3.89,0.059,2.3,0.254
10,11,이재원,SK,0.282,36,115,156,0.74,11,0.64,3.66,0.145,71.8,0.270
11,12,박정권,SK,0.281,44,96,102,0.94,5,0.39,4.02,0.196,71.1,0.278
12,13,나주환,SK,0.268,20,70,64,1.09,3,0.26,3.94,0.122,25.6,0.236
13,14,김연훈,SK,0.267,2,11,16,0.69,0,0.33,3.99,0.067,7.7,0.235
14,15,이대수,SK,0.264,5,18,13,1.38,1,0.26,3.95,0.125,7.5,0.244
15,16,조동화,SK,0.261,9,78,55,1.42,1,0.60,4.13,0.057,34.1,0.237
16,17,브라운,SK,0.261,51,116,102,1.14,9,0.52,3.98,0.235,81.7,0.286
17,18,정상호,SK,0.254,24,62,66,0.94,5,0.28,3.96,0.176,42.1,0.261
18,19,박진만,SK,0.248,7,31,48,0.65,1,1.10,4.12,0.083,17.7,0.252
19,20,박재상,SK,0.248,21,70,66,1.06,5,0.60,4.24,0.148,34.1,0.252
20,21,김강민,SK,0.246,21,74,65,1.14,5,0.28,3.88,0.099,31.4,0.228
21,22,윤중환,SK,0.240,1,8,5,1.60,0,0.50,4.43,0.120,2.9,0.234
22,23,박계현,SK,0.231,2,103,56,1.84,0,0.44,3.76,0.008,20.2,0.192
23,24,김민식,SK,0.167,0,11,7,1.57,0,1.00,3.73,0.000,0.1,0.146
24,25,박윤,SK,0.111,0,8,3,2.67,0,0.00,3.66,0.000,-0.8,0.092
25,26,김재현,SK,0.105,1,8,3,2.67,0,0.00,4.10,0.105,1.2,0.120
26,26,안정광,SK,0.105,0,6,4,1.50,0,0.00,3.47,0.000,-0.6,0.074
27,28,유서준,SK,0.083,0,4,4,1.00,0,0.33,4.15,0.000,-0.3,0.090
28,29,고효준,SK,-,0,0,0,-,0,-,-,-,0.0,0.000
29,29,박정배,SK,-,0,0,0,-,0,-,-,-,0.0,0.000
