,rank,name,team,AVG,XBH,GO,AO,GO/AO,GW_RBI,BB/K,P/PA,ISOP,XR,GPA
0,1,박건우,두산,0.342,17,35,40,0.88,4,0.41,3.59,0.171,29.2,0.308
1,2,김응민,두산,0.333,1,1,1,1.00,0,-,3.67,1.000,0.9,0.483
2,3,고영민,두산,0.328,4,8,16,0.50,1,0.27,3.75,0.149,11.8,0.301
3,4,김현수,두산,0.326,54,146,145,1.01,13,1.60,3.72,0.215,118.9,0.332
4,5,양의지,두산,0.326,47,81,159,0.51,12,0.61,3.78,0.197,89.9,0.313
5,6,허경민,두산,0.317,23,136,101,1.35,1,0.74,3.66,0.067,56.0,0.264
6,7,김재호,두산,0.307,30,101,148,0.68,6,1.29,3.85,0.095,63.3,0.274
7,8,민병헌,두산,0.303,34,131,143,0.92,6,0.68,3.78,0.122,76.8,0.274
8,9,정수빈,두산,0.295,36,172,110,1.56,5,0.61,3.78,0.096,70.1,0.260
9,10,오재일,두산,0.289,26,29,52,0.56,4,0.57,3.79,0.306,39.2,0.323
10,11,최주환,두산,0.282,23,70,68,1.03,2,0.74,4.04,0.147,33.8,0.267
11,12,오재원,두산,0.280,33,108,98,1.10,6,0.50,4.15,0.139,64.6,0.265
12,13,유민상,두산,0.263,2,8,12,0.67,2,0.56,4.29,0.105,5.8,0.252
13,14,홍성흔,두산,0.262,19,84,79,1.06,4,0.71,4.09,0.110,40.6,0.256
14,15,로메로,두산,0.253,28,64,92,0.70,4,0.60,3.86,0.196,40.8,0.260
15,16,김재환,두산,0.235,15,44,36,1.22,2,0.56,3.86,0.190,22.5,0.257
16,17,정진호,두산,0.234,12,55,39,1.41,3,0.58,3.49,0.149,19.0,0.232
17,18,국해성,두산,0.200,2,7,6,1.17,0,0.40,3.46,0.200,2.7,0.226
18,18,류지혁,두산,0.200,0,1,0,-,0,0.00,4.20,0.000,0.1,0.140
19,20,장민석,두산,0.189,2,14,17,0.82,0,0.54,3.59,0.038,4.3,0.187
20,21,김진형,두산,0.167,3,4,4,1.00,0,0.43,3.90,0.278,2.1,0.240
21,22,최재훈,두산,0.152,3,35,31,1.13,0,0.16,3.64,0.030,2.5,0.151
22,23,양종민,두산,0.125,1,1,8,0.13,0,0.40,3.78,0.188,1.0,0.178
23,24,루츠,두산,0.111,1,10,9,1.11,0,0.33,3.83,0.111,0.9,0.131
24,25,노경은,두산,-,0,0,0,-,0,-,-,-,0.0,0.000
25,25,니퍼트,두산,-,0,0,0,-,0,-,-,-,0.0,0.000
26,25,양현,두산,-,0,0,0,-,0,-,-,-,0.0,0.000
27,25,이원재,두산,-,0,0,0,-,0,-,-,-,0.0,0.000
28,25,이현승,두산,-,0,0,0,-,0,-,-,-,0.0,0.000
29,25,진야곱,두산,-,0,0,0,-,0,-,-,-,0.0,0.000
