,rank,name,team,AVG,XBH,GO,AO,GO/AO,GW_RBI,BB/K,P/PA,ISOP,XR,GPA
0,1,이창열,한화,0.500,1,0,1,0.00,0,-,5.50,0.500,0.6,0.475
1,2,이용규,한화,0.341,26,177,107,1.65,3,1.51,3.98,0.083,93.2,0.298
2,3,김경언,한화,0.337,38,96,68,1.41,10,0.56,4.13,0.188,75.1,0.318
3,4,박노민,한화,0.333,0,5,0,-,0,0.18,4.15,0.000,3.2,0.257
4,5,정근우,한화,0.316,44,158,98,1.61,13,0.92,3.59,0.150,84.9,0.298
5,6,김태균,한화,0.316,49,120,84,1.43,11,1.23,4.24,0.223,96.1,0.340
6,7,정현석,한화,0.310,7,31,25,1.24,1,0.54,3.92,0.078,16.8,0.272
7,8,하주석,한화,0.300,0,2,1,2.00,0,0.25,3.73,0.000,1.2,0.239
8,9,최진행,한화,0.291,35,71,67,1.06,5,0.64,4.13,0.213,67.1,0.311
9,10,이종환,한화,0.290,4,31,19,1.63,2,0.29,4.06,0.040,10.9,0.231
10,11,이시찬,한화,0.281,1,19,17,1.12,0,0.33,3.94,0.016,6.2,0.220
11,12,폭스,한화,0.278,11,30,23,1.30,1,0.30,3.72,0.231,16.3,0.280
12,13,모건,한화,0.273,2,11,6,1.83,1,0.50,3.93,0.061,5.3,0.266
13,14,강경학,한화,0.257,13,103,73,1.41,3,0.69,4.08,0.068,40.0,0.238
14,15,장운호,한화,0.254,6,30,28,1.07,0,0.37,3.43,0.088,14.1,0.241
15,16,이성열,한화,0.250,21,47,42,1.12,4,0.23,3.92,0.177,33.1,0.256
16,16,지성준,한화,0.250,1,2,2,1.00,0,0.00,4.17,0.083,0.9,0.196
17,18,송광민,한화,0.243,2,12,5,2.40,0,0.18,3.61,0.054,3.0,0.209
18,19,김태완,한화,0.239,2,10,9,1.11,0,0.13,4.04,0.043,3.7,0.206
19,20,조인성,한화,0.232,22,68,56,1.21,1,0.18,3.52,0.159,31.4,0.227
20,21,한상훈,한화,0.230,4,19,10,1.90,0,0.44,3.97,0.066,5.4,0.222
21,22,신성현,한화,0.225,7,20,15,1.33,3,0.30,3.97,0.147,13.0,0.234
22,23,권용관,한화,0.220,14,77,69,1.12,1,0.21,4.04,0.084,25.2,0.204
23,24,주현상,한화,0.210,7,65,60,1.08,1,0.46,3.87,0.033,16.1,0.190
24,25,김회성,한화,0.209,28,44,78,0.56,1,0.48,4.19,0.276,36.7,0.265
25,26,송주호,한화,0.200,7,45,31,1.45,1,0.19,3.49,0.064,9.3,0.175
26,27,허도환,한화,0.176,8,26,20,1.30,0,0.24,4.00,0.110,6.6,0.194
27,28,황선일,한화,0.174,2,6,7,0.86,0,0.17,3.60,0.087,1.2,0.173
28,29,고동진,한화,0.169,4,21,15,1.40,0,0.15,3.44,0.068,2.5,0.170
29,30,정범모,한화,0.135,2,35,26,1.35,1,0.39,3.47,0.021,2.9,0.136
