,rank,name,team,AVG,XBH,GO,AO,GO/AO,GW_RBI,BB/K,P/PA,ISOP,XR,GPA
0,1,손아섭,롯데,0.317,42,144,67,2.15,7,0.71,4.15,0.155,83.4,0.301
1,2,아두치,롯데,0.314,67,140,107,1.31,10,0.47,4.02,0.243,105.6,0.312
2,3,강민호,롯데,0.311,54,73,79,0.92,7,0.54,4.21,0.329,92.5,0.349
3,4,최준석,롯데,0.306,50,129,90,1.43,10,0.81,4.51,0.223,109.2,0.325
4,5,김문호,롯데,0.306,17,94,63,1.49,1,0.56,3.66,0.087,38.9,0.263
5,6,정훈,롯데,0.300,38,128,113,1.13,2,0.51,4.04,0.119,76.5,0.277
6,7,황재균,롯데,0.290,69,109,154,0.71,7,0.39,3.71,0.230,90.5,0.288
7,8,오승택,롯데,0.275,27,66,72,0.92,3,0.17,3.74,0.135,40.7,0.246
8,9,오윤석,롯데,0.273,2,8,8,1.00,0,0.25,3.92,0.121,3.4,0.240
9,10,김주현,롯데,0.260,6,19,16,1.19,2,0.26,3.84,0.137,8.1,0.238
10,11,박종윤,롯데,0.255,18,107,90,1.19,6,0.18,3.51,0.092,25.7,0.211
11,12,문규현,롯데,0.245,15,91,73,1.25,0,0.36,3.57,0.075,23.9,0.208
12,13,김민하,롯데,0.241,7,23,25,0.92,3,0.45,3.91,0.078,14.2,0.243
13,14,안중열,롯데,0.240,11,34,31,1.10,1,0.23,3.50,0.104,11.1,0.211
14,15,이우민,롯데,0.227,8,43,23,1.87,0,0.23,3.89,0.113,16.2,0.223
15,16,손용석,롯데,0.217,2,25,18,1.39,0,0.09,3.04,0.029,2.8,0.165
16,17,오현근,롯데,0.214,2,8,8,1.00,0,1.00,4.17,0.071,3.4,0.230
17,18,김대우,롯데,0.174,5,22,15,1.47,0,0.13,4.03,0.130,6.0,0.177
18,19,김준태,롯데,0.154,0,4,6,0.67,0,0.33,3.90,0.000,1.0,0.159
19,19,임재철,롯데,0.154,3,18,10,1.80,1,0.44,4.52,0.096,3.8,0.183
20,21,김대륙,롯데,0.148,0,17,12,1.42,0,0.41,4.08,0.000,1.1,0.148
21,22,강동수,롯데,0.125,0,1,0,-,0,0.00,4.63,0.000,-0.2,0.088
22,23,김재유,롯데,0.111,0,5,0,-,0,0.00,3.20,0.000,0.3,0.118
23,24,박세웅,롯데,-,0,0,0,-,0,-,-,-,0.0,0.000
24,24,박준서,롯데,0.000,0,2,0,-,0,0.00,3.60,0.000,-0.5,0.000
25,24,박진형,롯데,-,0,0,0,-,0,-,-,-,0.0,0.000
26,24,배장호,롯데,-,0,0,0,-,0,-,-,-,0.0,0.000
27,24,백민기,롯데,0.000,0,5,1,5.00,0,1.00,3.44,0.000,0.0,0.100
28,24,심수창,롯데,-,0,0,0,-,0,-,-,-,0.0,0.000
29,24,이성민,롯데,-,0,0,0,-,0,-,-,-,0.0,0.000
