,rank,name,team,AVG,XBH,GO,AO,GO/AO,GW_RBI,BB/K,P/PA,ISOP,XR,GPA
0,1,유한준,넥센,0.362,66,131,138,0.95,9,0.94,4.01,0.217,116.0,0.338
1,2,박병호,넥센,0.343,89,87,103,0.84,16,0.48,4.05,0.371,144.7,0.375
2,3,허정협,넥센,0.333,0,1,0,-,0,0.00,3.83,0.000,0.6,0.233
3,3,홍성갑,넥센,0.333,0,2,0,-,0,0.25,4.70,0.000,1.3,0.263
4,5,이택근,넥센,0.326,27,95,90,1.06,2,0.83,4.02,0.138,62.8,0.297
5,6,고종욱,넥센,0.310,39,110,91,1.21,7,0.31,3.85,0.155,60.9,0.277
6,7,김민성,넥센,0.303,40,120,131,0.92,2,0.50,3.94,0.162,68.1,0.277
7,8,서건창,넥센,0.298,31,112,85,1.32,5,1.75,3.66,0.131,51.0,0.279
8,9,윤석민,넥센,0.294,39,108,92,1.17,5,0.60,3.82,0.188,60.5,0.285
9,10,김하성,넥센,0.290,59,111,143,0.78,4,0.49,4.23,0.200,90.6,0.285
10,11,스나이더,넥센,0.281,53,65,115,0.57,4,0.27,4.17,0.246,79.9,0.289
11,12,강지광,넥센,0.278,0,1,3,0.33,0,0.22,3.52,0.000,2.3,0.241
12,13,장시윤,넥센,0.276,0,5,7,0.71,0,0.00,3.68,0.000,1.4,0.193
13,14,박동원,넥센,0.266,27,106,87,1.22,11,0.40,3.72,0.148,58.6,0.256
14,15,김재현,넥센,0.262,4,15,19,0.79,0,0.13,3.72,0.092,6.8,0.219
15,16,유재신,넥센,0.259,2,8,2,4.00,0,0.30,4.00,0.074,3.9,0.233
16,17,송성문,넥센,0.250,0,4,2,2.00,0,0.00,2.83,0.000,0.7,0.175
17,18,박헌도,넥센,0.248,21,62,52,1.19,5,0.71,4.25,0.170,35.2,0.271
18,19,유선정,넥센,0.240,0,6,8,0.75,0,0.40,3.78,0.000,1.6,0.193
19,20,문우람,넥센,0.235,12,30,34,0.88,1,0.40,4.02,0.134,15.3,0.234
20,21,김지수,넥센,0.235,7,39,36,1.08,0,0.33,3.61,0.053,11.4,0.203
21,22,서동욱,넥센,0.233,8,20,14,1.43,2,0.24,4.25,0.136,12.9,0.239
22,23,임병욱,넥센,0.186,3,5,7,0.71,0,0.39,4.08,0.140,4.1,0.229
23,24,장영석,넥센,0.125,0,3,2,1.50,0,0.00,3.25,0.000,-0.5,0.088
24,25,김민준,넥센,0.000,0,1,0,-,0,-,7.00,0.000,0.3,0.225
25,25,김택형,넥센,-,0,0,0,-,0,-,-,-,0.0,0.000
26,25,마정길,넥센,-,0,0,0,-,0,-,-,-,0.0,0.000
27,25,문성현,넥센,-,0,0,0,-,0,-,-,-,0.0,0.000
28,25,손승락,넥센,-,0,0,0,-,0,-,-,-,0.0,0.000
29,25,한현희,넥센,-,0,0,0,-,0,-,-,-,0.0,0.000
