,rank,name,team,AVG,XBH,GO,AO,GO/AO,GW_RBI,BB/K,P/PA,ISOP,XR,GPA
0,1,이정식,삼성,0.400,0,0,2,0.00,0,0.00,3.20,0.000,0.7,0.280
1,2,배영섭,삼성,0.375,0,4,2,2.00,1,0.50,4.33,0.000,2.2,0.294
2,3,구자욱,삼성,0.349,49,89,103,0.86,2,0.57,3.97,0.185,85.7,0.321
3,4,채태인,삼성,0.348,27,72,57,1.26,5,0.36,3.82,0.129,58.5,0.303
4,5,이승엽,삼성,0.332,55,114,135,0.84,8,0.56,3.86,0.230,94.3,0.315
5,6,진갑용,삼성,0.324,5,20,18,1.11,1,0.44,3.82,0.162,10.7,0.281
6,7,박석민,삼성,0.321,51,103,112,0.92,14,0.86,4.26,0.230,107.2,0.336
7,8,최형우,삼성,0.318,67,114,166,0.69,18,0.72,4.02,0.245,115.6,0.322
8,9,이지영,삼성,0.305,12,136,88,1.55,5,0.44,3.11,0.042,40.3,0.236
9,10,박한이,삼성,0.300,32,128,67,1.91,5,0.84,3.90,0.158,61.7,0.290
10,11,박해민,삼성,0.293,29,160,87,1.84,6,0.44,3.90,0.069,77.8,0.253
11,12,나바로,삼성,0.287,68,137,181,0.76,11,1.29,4.21,0.309,126.1,0.326
12,13,김상수,삼성,0.278,42,126,149,0.85,5,0.77,3.71,0.138,68.7,0.259
13,14,백상원,삼성,0.247,5,21,16,1.31,1,0.59,4.55,0.065,9.7,0.240
14,15,이흥련,삼성,0.238,8,32,26,1.23,2,0.05,3.57,0.095,8.0,0.197
15,16,이영욱,삼성,0.227,2,5,2,2.50,0,0.30,4.35,0.091,2.4,0.235
16,17,박찬도,삼성,0.213,3,22,23,0.96,0,0.32,4.08,0.045,8.3,0.203
17,18,우동균,삼성,0.208,4,26,19,1.37,0,0.75,4.02,0.056,4.9,0.199
18,19,김재현,삼성,0.171,0,12,11,1.09,1,0.45,3.50,0.000,1.8,0.160
19,20,김정혁,삼성,0.167,0,5,7,0.71,0,0.33,3.85,0.000,0.5,0.137
20,20,최선호,삼성,0.167,1,9,13,0.69,0,0.00,3.34,0.024,0.9,0.123
21,22,강봉규,삼성,0.000,0,2,1,2.00,0,0.33,3.25,0.000,0.1,0.113
22,22,김태완,삼성,0.000,0,0,3,0.00,0,0.50,6.33,0.000,-0.1,0.075
23,22,박계범,삼성,-,0,0,0,-,0,-,-,-,0.0,0.000
24,22,심창민,삼성,-,0,0,0,-,0,-,-,-,0.0,0.000
25,22,윤영수,삼성,0.000,0,0,0,-,0,0.00,5.00,0.000,-0.2,0.000
26,22,이상훈,삼성,0.000,0,3,2,1.50,0,0.00,3.88,0.000,-0.6,0.000
27,22,임창용,삼성,-,0,0,0,-,0,-,-,-,0.0,0.000
28,22,정인욱,삼성,-,0,0,0,-,0,-,-,-,0.0,0.000
29,22,최민구,삼성,-,0,0,1,0.00,0,-,5.00,-,0.4,0.000
