,name,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,XBH,GO,AO,GO/AO,GW_RBI,BB/K,P/PA,ISOP,XR,GPA,PO,PKO,IP,DP,GS,A,SB,CS,PB,E,FPCT,CS%,SBA,SB%,OOB
0,손아섭,롯데,0.317,116,517,445,86,141,28,1,13,210,54,0,3,42,144,67,2.15,7,0.71,4.15,0.155,83.4,0.301,196,0,956.3333333333335,3,109,6,0,0,0,8,0.961904761904762,0.0,17,64.70588235294117,7
1,아두치,롯데,0.314,132,594,526,105,165,34,5,28,293,106,1,4,67,140,107,1.31,10,0.47,4.02,0.243,105.6,0.312,253,0,1124.0,1,128,10,0,0,0,3,0.9887218045112782,0.0,34,70.58823529411767,5
2,강민호,롯데,0.311,123,456,380,63,118,18,1,35,243,86,0,2,54,73,79,0.92,7,0.54,4.21,0.329,92.5,0.349,697,4,859.3333333333335,10,109,67,70,28,6,8,0.9896373056994818,28.57142857142857,0,0.0,5
3,최준석,롯데,0.306,144,618,507,78,155,18,1,31,268,109,1,1,50,129,90,1.43,10,0.81,4.51,0.223,109.2,0.325,29,0,35.666666666666664,4,5,1,0,0,0,0,1.0,0.0,0,0.0,3
4,김문호,롯데,0.306,93,325,288,35,88,13,0,4,113,31,6,2,17,94,63,1.49,1,0.56,3.66,0.087,38.9,0.263,124,0,638.6666666666666,1,80,5,0,0,0,3,0.9772727272727272,0.0,13,61.53846153846154,2
5,정훈,롯데,0.300,135,562,486,85,146,27,2,9,204,62,7,3,38,128,113,1.13,2,0.51,4.04,0.119,76.5,0.27699999999999997,258,0,1060.3333333333333,83,127,332,0,0,0,17,0.971993410214168,0.0,22,72.72727272727273,6
6,황재균,롯데,0.290,144,596,534,95,155,41,2,26,278,97,4,6,69,109,154,0.71,7,0.39,3.71,0.230,90.5,0.28800000000000003,62,0,1118.3333333333333,25,128,253,0,0,0,16,0.9516616314199396,0.0,21,52.38095238095239,3
7,오승택,롯데,0.275,122,353,327,57,90,18,1,8,134,43,4,1,27,66,72,0.92,3,0.17,3.74,0.135,40.7,0.24600000000000002,291,0,761.6666666666665,53,83,185,0,0,0,16,0.9674796747967479,0.0,19,78.94736842105263,3
8,오윤석,롯데,0.273,29,36,33,7,9,1,0,1,13,3,1,0,2,8,8,1.00,0,0.25,3.92,0.121,3.4,0.24,46,0,78.33333333333334,6,5,11,0,0,0,0,1.0,0.0,0,0.0,0
9,김주현,롯데,0.260,47,79,73,7,19,4,0,2,29,12,1,0,6,19,16,1.19,2,0.26,3.84,0.137,8.1,0.23800000000000002,24,0,109.66666666666669,0,12,1,0,0,0,2,0.925925925925926,0.0,1,100.0,0
10,박종윤,롯데,0.255,98,326,314,29,80,11,3,4,109,28,1,1,18,107,90,1.19,6,0.18,3.51,0.092,25.7,0.21100000000000002,729,0,693.6666666666665,57,80,44,0,0,0,4,0.9948519948519948,0.0,1,0.0,4
11,문규현,롯데,0.245,105,298,265,24,65,12,1,2,85,25,15,3,15,91,73,1.25,0,0.36,3.57,0.075,23.9,0.20800000000000002,124,0,739.6666666666665,49,86,276,0,0,0,11,0.97323600973236,0.0,6,66.66666666666666,2
12,김민하,롯데,0.241,54,141,116,18,28,6,0,1,37,8,3,0,7,23,25,0.92,3,0.45,3.91,0.078,14.2,0.243,67,0,306.3333333333333,2,31,2,0,0,0,1,0.9857142857142858,0.0,6,66.66666666666666,1
13,안중열,롯데,0.240,80,137,125,16,30,10,0,1,43,14,4,1,11,34,31,1.10,1,0.23,3.50,0.104,11.1,0.21100000000000002,290,0,358.66666666666674,5,30,35,36,14,7,5,0.9848484848484848,28.000000000000004,2,100.0,1
14,이우민,롯데,0.227,75,174,141,18,32,4,0,4,48,18,17,0,8,43,23,1.87,0,0.23,3.89,0.113,16.2,0.223,97,0,385.0,1,37,1,0,0,0,0,1.0,0.0,2,100.0,1
15,손용석,롯데,0.217,38,74,69,4,15,2,0,0,17,2,4,0,2,25,18,1.39,0,0.09,3.04,0.029,2.8,0.165,87,0,145.0,16,16,28,0,0,0,1,0.9913793103448276,0.0,0,0.0,3
16,오현근,롯데,0.214,20,36,28,3,6,2,0,0,8,3,2,0,2,8,8,1.00,0,1.00,4.17,0.071,3.4,0.23,18,0,68.0,0,8,0,0,0,0,0,1.0,0.0,2,50.0,0
17,김대우,롯데,0.174,39,100,92,9,16,1,1,3,28,9,2,0,5,22,15,1.47,0,0.13,4.03,0.130,6.0,0.177,175,0,182.0,15,24,12,0,0,0,2,0.9894179894179894,0.0,4,75.0,2
18,김준태,롯데,0.154,27,31,26,0,4,0,0,0,4,0,1,0,0,4,6,0.67,0,0.33,3.90,0.000,1.0,0.159,67,0,87.33333333333331,1,6,5,6,0,2,0,1.0,0.0,0,0.0,0
19,임재철,롯데,0.154,38,63,52,6,8,2,0,1,13,3,3,0,3,18,10,1.80,1,0.44,4.52,0.096,3.8,0.183,29,0,145.33333333333334,1,15,3,0,0,0,0,1.0,0.0,3,66.66666666666666,1
20,김대륙,롯데,0.148,71,63,54,6,8,0,0,0,8,1,2,0,0,17,12,1.42,0,0.41,4.08,0.000,1.1,0.14800000000000002,33,0,220.0,16,15,86,0,0,0,4,0.9674796747967479,0.0,1,0.0,2
21,강동수,롯데,0.125,22,8,8,2,1,0,0,0,1,0,0,0,0,1,0,-,0,0.00,4.63,0.000,-0.2,0.08800000000000001,18,0,33.666666666666664,3,2,6,0,0,0,1,0.96,0.0,0,0.0,0
