,rank,name,team,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
0,1,김정인,넥센,0.00,0,0,0,1,0,0,0,1,2,0.50
1,2,양훈,넥센,1.41,3,1,1,6,1,0,6,39,51,0.76
2,3,조상우,넥센,3.09,0,0,8,12,22,0,9,79,96,0.82
3,4,밴헤켄,넥센,3.62,32,15,0,0,0,0,20,188,172,1.09
4,5,손승락,넥센,3.82,0,0,4,47,29,3,4,74,39,1.90
5,6,김영민,넥센,4.38,4,1,3,3,11,0,9,104,74,1.41
6,7,금민철,넥센,4.50,5,1,0,0,0,0,2,27,25,1.08
7,7,이정훈,넥센,4.50,0,0,0,1,0,0,0,3,3,1.00
8,9,피어밴드,넥센,4.67,30,13,0,0,0,0,16,205,146,1.40
9,10,한현희,넥센,4.82,17,8,3,3,11,0,3,116,115,1.01
10,11,김대우,넥센,4.94,1,0,6,11,6,1,7,63,72,0.88
11,12,마정길,넥센,5.06,0,0,0,12,2,0,5,29,45,0.64
12,13,송신영,넥센,5.35,16,7,0,0,1,0,7,78,71,1.10
13,14,문성현,넥센,6.28,13,0,0,12,1,0,4,119,89,1.34
14,15,김동준,넥센,6.44,5,0,1,5,0,0,2,51,62,0.82
15,16,배힘찬,넥센,6.75,0,0,0,4,0,0,0,11,9,1.22
16,17,김정훈,넥센,7.04,1,0,0,7,1,0,0,12,22,0.55
17,18,하영민,넥센,7.53,2,1,1,7,0,0,5,39,29,1.34
18,19,김택형,넥센,7.91,10,2,2,3,3,0,7,68,40,1.70
19,20,정회찬,넥센,9.00,0,0,0,0,0,0,0,1,1,1.00
20,21,오재영,넥센,9.33,4,0,0,3,0,0,3,15,23,0.65
21,22,구자형,넥센,10.13,0,0,0,3,0,0,1,5,1,5.00
22,23,이상민,넥센,10.71,0,0,0,4,2,0,2,25,17,1.47
23,24,김상수,넥센,10.80,1,0,0,0,0,0,1,6,7,0.86
