,name,team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
0,김명찬,KIA,0.0,3,0,0,0,0,-,4,4,0,1,1,2,0,0,1.25,0,0,0,0,0,0,2,4,4,1.0
1,김준,KIA,2.08,6,0,0,0,0,-,4 1/3,6,0,2,0,1,2,1,1.85,0,0,0,3,0,0,2,7,4,1.75
2,양현종,KIA,2.44,32,15,6,0,1,0.714,184 1/3,150,18,78,7,157,52,50,1.24,31,15,0,1,1,0,20,159,186,0.85
3,최영필,KIA,2.86,59,5,2,0,10,0.714,63,57,8,8,2,51,23,20,1.03,0,0,5,17,15,0,4,49,76,0.64
4,윤석민,KIA,2.96,51,2,6,30,0,0.250,70,69,4,24,2,68,23,23,1.33,0,0,2,45,38,5,4,55,72,0.76
5,한기주,KIA,3.24,7,0,0,0,0,-,8 1/3,11,0,5,0,4,4,3,1.92,0,0,0,2,1,0,2,11,7,1.57
6,김진우,KIA,3.46,4,1,0,0,1,1.000,13,12,1,9,1,12,5,5,1.62,2,1,0,0,0,0,2,15,6,2.5
7,임준혁,KIA,4.1,27,9,6,0,2,0.600,118 2/3,125,11,43,8,73,58,54,1.42,21,8,1,1,0,0,9,106,149,0.71
8,에반,KIA,4.44,16,4,0,0,4,1.000,26 1/3,30,0,13,1,25,15,13,1.63,1,0,4,4,4,0,6,32,12,2.67
9,김광수,KIA,4.53,41,4,4,0,9,0.500,43 2/3,53,2,13,2,22,24,22,1.51,1,0,4,5,4,0,2,54,48,1.13
10,서재응,KIA,4.95,9,1,4,0,0,0.200,40,52,5,8,5,16,23,22,1.5,9,1,0,0,0,0,5,42,46,0.91
11,스틴슨,KIA,4.96,32,11,10,0,0,0.524,167,190,15,64,14,93,100,92,1.52,30,11,0,2,0,0,15,249,133,1.87
12,심동섭,KIA,5.02,69,3,1,1,21,0.750,57 1/3,47,7,43,3,71,35,32,1.57,0,0,3,5,25,0,4,39,52,0.75
13,김태영,KIA,5.19,27,0,2,0,4,0.000,26,36,3,8,4,30,16,15,1.69,0,0,0,5,4,0,3,18,21,0.86
14,한승혁,KIA,5.46,49,2,6,0,6,0.250,56,55,7,36,1,56,36,34,1.63,0,0,2,19,10,0,7,58,41,1.41
15,박정수,KIA,5.53,19,0,3,0,0,0.000,42 1/3,47,4,19,6,25,31,26,1.56,4,0,0,8,0,0,5,48,50,0.96
16,홍건희,KIA,6.04,38,2,5,1,0,0.286,82,84,18,57,4,86,63,55,1.72,7,0,2,6,1,0,3,52,95,0.55
17,박준표,KIA,6.26,37,2,2,0,3,0.500,46,54,4,11,5,33,32,32,1.41,2,0,2,7,6,0,6,60,37,1.62
18,임기준,KIA,6.62,17,1,3,0,0,0.250,34,39,4,27,12,26,32,25,1.94,6,1,0,0,0,0,2,34,32,1.06
19,험버,KIA,6.75,12,3,3,0,0,0.500,50 2/3,62,11,32,5,35,38,38,1.86,11,3,0,0,0,0,4,56,50,1.12
20,김병현,KIA,6.98,23,0,5,0,2,0.000,49,67,7,18,11,38,38,38,1.73,8,0,0,3,4,0,4,52,41,1.27
21,유창식,KIA,7.9,27,0,8,0,0,0.000,54 2/3,67,9,40,3,34,53,48,1.96,12,0,0,3,2,0,7,76,42,1.81
22,신창호,KIA,7.94,5,0,0,0,0,-,5 2/3,4,1,4,0,4,5,5,1.41,0,0,0,2,0,0,0,5,8,0.63
23,문경찬,KIA,9.76,8,1,3,0,0,0.250,27 2/3,44,7,10,1,15,32,30,1.95,4,1,0,3,0,0,5,23,39,0.59
24,이종석,KIA,15.75,2,0,0,0,0,-,4,10,2,2,0,3,8,7,3.0,0,0,0,1,0,0,0,5,4,1.25
