,name,team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
0,조무근,kt,1.88,43,8,5,4,2,0.615,71 2/3,54,3,32,4,83,26,15,1.2,1,0,8,10,6,0,5,56,65,0.86
1,최원재,kt,3.82,36,2,1,0,3,0.667,33,43,2,12,3,24,16,14,1.67,0,0,2,3,4,0,6,34,30,1.13
2,홍성용,kt,3.86,42,0,4,0,10,0.000,39 2/3,39,3,13,6,31,19,17,1.31,0,0,0,2,6,0,2,33,49,0.67
3,장시환,kt,3.98,47,7,5,12,0,0.583,74 2/3,73,1,28,1,75,33,33,1.35,0,0,7,32,15,2,8,71,59,1.2
4,김재윤,kt,4.23,42,1,2,0,6,0.333,44 2/3,46,3,12,1,70,23,21,1.3,0,0,1,5,7,0,3,23,35,0.66
5,옥스프링,kt,4.48,31,12,10,0,0,0.545,185,200,23,66,10,142,104,92,1.44,31,12,0,3,0,0,18,201,173,1.16
6,홍성무,kt,4.82,23,0,1,0,0,0.000,28,31,5,9,1,22,15,15,1.43,0,0,0,12,0,0,4,35,22,1.59
7,저마노,kt,4.93,15,3,6,0,1,0.333,76 2/3,111,7,15,3,40,46,42,1.64,14,3,0,0,0,0,8,82,89,0.92
8,안상빈,kt,5.06,13,0,0,0,0,-,16,23,1,12,1,25,13,9,2.19,0,0,0,5,1,0,0,10,13,0.77
9,정대현,kt,5.19,30,5,11,0,0,0.313,118,138,19,62,4,82,80,68,1.69,26,5,0,0,0,0,13,117,127,0.92
10,배우열,kt,5.63,12,0,0,0,1,-,16,21,2,4,0,17,10,10,1.56,0,0,0,4,1,0,2,16,12,1.33
11,윤근영,kt,5.63,17,1,4,0,2,0.200,32,35,3,21,4,21,23,20,1.75,7,1,0,3,0,0,2,45,23,1.96
12,고영표,kt,5.68,46,3,4,0,0,0.429,57,68,2,19,16,57,41,36,1.53,0,0,3,6,1,0,7,69,34,2.03
13,김민수,kt,5.79,15,0,1,0,1,0.000,23 1/3,30,1,13,1,18,18,15,1.84,1,0,0,9,0,0,2,34,18,1.89
14,김기표,kt,6.1,14,0,0,0,0,-,10 1/3,11,2,2,1,6,7,7,1.26,0,0,0,3,0,0,1,7,15,0.47
15,시스코,kt,6.23,17,0,6,0,2,0.000,39,43,5,25,4,42,34,27,1.74,5,0,0,2,1,0,1,36,33,1.09
16,엄상백,kt,6.66,28,5,6,0,0,0.455,100,127,15,50,10,78,77,74,1.77,22,5,0,0,0,0,14,86,109,0.79
17,이창재,kt,6.82,38,0,1,0,3,0.000,33,38,8,12,2,32,30,25,1.52,0,0,0,7,5,0,1,27,37,0.73
18,심재민,kt,6.87,50,2,3,0,1,0.400,56 1/3,68,3,41,7,29,45,43,1.93,1,0,2,11,2,0,13,72,51,1.41
19,황덕균,kt,7.36,3,0,0,0,0,-,3 2/3,0,0,5,0,2,3,3,1.36,0,0,0,2,0,0,0,4,5,0.8
20,김사율,kt,8.06,21,0,0,0,0,-,25 2/3,40,4,11,2,24,28,23,1.99,0,0,0,7,1,0,3,17,29,0.59
21,주권,kt,8.51,15,0,2,0,0,0.000,24 1/3,43,6,9,2,13,26,23,2.14,3,0,0,6,0,0,2,34,21,1.62
22,정성곤,kt,8.53,20,2,6,0,0,0.250,58,81,12,51,1,41,58,55,2.28,15,2,0,0,0,0,3,66,57,1.16
23,어윈,kt,8.68,12,1,7,0,0,0.125,56,90,10,21,2,41,57,54,1.98,12,1,0,0,0,0,7,70,41,1.71
24,최대성,kt,13.5,8,0,0,0,0,-,2 2/3,4,1,7,0,0,4,4,4.13,0,0,0,3,1,0,0,5,3,1.67
25,이윤학,kt,24.0,2,0,0,0,0,-,3,9,2,2,0,4,8,8,3.67,0,0,0,1,0,0,0,2,2,1.0
