,name,team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO,PO,PKO,DP,A,SB,CS,PB,E,FPCT,CS%
0,김선규,LG,3.13,31,2,0,0,2,1.000,31.666666666666668,34,5,10,2,19,12,11,1.39,0,0,2,2,3,0,3,44,26,1.69,2,0,0,5,0,0,0,0,1.0,0.0
1,우규민,LG,3.42,25,11,9,0,0,0.550,152.66666666666666,163,13,17,12,119,64,58,1.18,25,11,0,1,0,0,23,177,123,1.44,9,4,3,30,0,0,0,1,0.975,0.0
2,윤지웅,LG,3.77,78,3,1,0,12,0.750,62.0,47,3,17,1,54,26,26,1.03,0,0,3,9,14,0,5,74,49,1.51,8,0,1,17,0,0,0,0,1.0,0.0
3,소사,LG,4.03,32,10,12,0,1,0.455,194.33333333333334,199,16,36,5,177,102,87,1.21,30,10,0,3,0,0,14,188,189,0.99,5,0,0,25,0,0,0,3,0.9090909090909092,0.0
4,김지용,LG,4.13,24,1,1,0,0,0.500,32.666666666666664,30,4,12,1,28,15,15,1.29,0,0,1,12,0,0,4,30,35,0.86,1,0,0,1,0,0,0,1,0.6666666666666666,0.0
5,이동현,LG,4.4,60,5,5,4,11,0.500,59.333333333333336,65,4,20,2,55,33,29,1.43,0,0,5,20,21,0,2,52,57,0.91,1,2,0,14,0,0,0,1,0.9375,0.0
6,류제국,LG,4.78,24,4,9,0,0,0.308,130.0,134,16,55,14,88,72,69,1.45,23,4,0,0,0,0,14,181,92,1.97,10,1,3,27,0,0,0,2,0.9487179487179488,0.0
7,신승현,LG,4.79,37,0,1,0,3,0.000,35.666666666666664,32,3,18,5,30,19,19,1.4,0,0,0,9,3,0,6,34,35,0.97,0,0,2,5,0,0,0,0,1.0,0.0
8,봉중근,LG,4.93,47,5,2,15,0,0.714,49.333333333333336,60,10,23,6,39,28,27,1.68,2,0,5,35,20,1,11,44,47,0.94,1,1,2,7,0,0,0,1,0.8888888888888888,0.0
9,루카스,LG,4.93,33,10,11,0,1,0.476,171.66666666666666,175,11,108,14,151,103,94,1.65,30,10,0,0,1,0,24,209,120,1.74,7,2,3,38,0,0,0,4,0.9183673469387756,0.0
10,임정우,LG,5.04,54,6,9,5,3,0.400,109.0,123,8,50,14,99,65,61,1.59,11,1,5,18,12,1,13,106,98,1.08,8,0,0,15,0,0,0,0,1.0,0.0
11,정찬헌,LG,5.52,32,3,6,1,5,0.333,44.0,49,3,14,5,32,27,27,1.43,0,0,3,8,5,0,2,41,43,0.95,3,2,1,10,0,0,0,0,1.0,0.0
12,유원상,LG,5.59,25,1,1,0,1,0.500,37.0,44,6,12,2,22,26,23,1.51,0,0,1,3,1,0,4,41,40,1.03,3,0,0,4,0,0,0,0,1.0,0.0
13,진해수,LG,5.72,39,2,2,0,4,0.500,28.333333333333332,29,2,16,5,20,19,18,1.59,0,0,2,5,5,0,2,35,20,1.75,1,0,0,5,0,0,0,0,1.0,0.0
14,김광삼,LG,5.74,4,0,1,0,0,0.000,15.666666666666666,16,2,9,1,11,13,10,1.6,4,0,0,0,0,0,1,21,13,1.62,1,0,0,2,0,0,0,0,1.0,0.0
15,이승현,LG,5.87,15,0,0,0,0,-,15.333333333333334,14,1,10,1,21,10,10,1.57,0,0,0,7,0,0,1,15,10,1.5,1,0,0,1,0,0,0,0,1.0,0.0
16,임지섭,LG,6.25,8,1,2,0,0,0.333,31.666666666666668,18,3,36,2,37,23,22,1.71,8,1,0,0,0,0,3,23,25,0.92,1,1,0,3,0,0,0,1,0.8,0.0
17,이준형,LG,6.35,4,0,2,0,0,0.000,5.666666666666667,7,1,9,1,5,7,4,2.82,2,0,0,2,0,0,0,5,8,0.63,0,0,0,0,0,0,0,0,0.0,0.0
18,장진용,LG,6.4,11,1,3,0,0,0.250,32.333333333333336,43,5,7,5,20,26,23,1.55,9,1,0,0,0,0,6,38,34,1.12,2,0,0,5,0,0,0,0,1.0,0.0
19,최동환,LG,8.27,17,0,0,0,0,-,20.666666666666668,32,7,6,2,21,19,19,1.84,0,0,0,6,1,0,0,17,22,0.77,0,0,0,0,0,0,0,1,0.0,0.0
