,name,team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
0,문수호,NC,-,2,0,0,0,0,-,0,1,0,1,0,0,1,1,-,0,0,0,0,1,0,0,0,0,-
1,스튜어트,NC,2.68,19,8,2,0,0,0.800,117 2/3,116,7,26,6,109,37,35,1.21,19,8,0,0,0,0,11,123,104,1.18
2,해커,NC,3.13,31,19,5,0,0,0.792,204,174,14,36,25,164,81,71,1.03,31,19,0,1,0,0,18,230,189,1.22
3,박진우,NC,3.14,11,1,1,0,0,0.500,14 1/3,19,1,2,1,8,5,5,1.47,0,0,1,7,0,0,3,18,13,1.38
4,이태양,NC,3.67,29,10,5,0,0,0.667,137 1/3,141,19,40,19,113,59,56,1.32,25,10,0,1,0,0,11,137,136,1.01
5,최금강,NC,3.71,78,6,5,1,14,0.545,89 2/3,77,11,37,11,61,40,37,1.27,0,0,6,10,18,0,9,107,85,1.26
6,고창성,NC,3.72,6,0,0,0,0,-,9 2/3,11,1,4,2,3,4,4,1.55,0,0,0,2,0,0,0,16,11,1.45
7,임정호,NC,3.75,80,1,2,0,14,0.333,48,31,2,27,5,54,21,20,1.21,0,0,1,3,23,0,3,45,34,1.32
8,임창민,NC,3.80,61,1,5,31,0,0.167,64,57,7,21,1,72,28,27,1.22,0,0,1,49,35,6,3,54,53,1.02
9,이재학,NC,4.10,29,10,8,0,1,0.556,125,115,17,58,9,116,58,57,1.38,23,8,2,0,1,0,11,121,120,1.01
10,김진성,NC,4.50,59,3,4,5,12,0.429,66,59,14,18,1,70,35,33,1.17,0,0,3,12,20,0,3,44,75,0.59
11,박명환,NC,4.85,11,1,1,0,0,0.500,26,36,6,5,3,15,14,14,1.58,4,1,0,4,0,0,4,30,29,1.03
12,손민한,NC,4.89,26,11,6,0,0,0.647,105,122,8,15,5,50,65,57,1.30,19,10,1,2,0,0,13,141,107,1.32
13,민성기,NC,4.91,21,1,0,0,0,1.000,25 2/3,28,2,23,4,21,17,14,1.99,0,0,1,10,0,0,5,32,20,1.60
14,이민호,NC,5.06,64,6,5,0,10,0.545,96,103,15,41,6,103,62,54,1.50,6,3,3,15,14,0,5,68,101,0.67
15,이혜천,NC,5.19,29,0,0,0,3,-,17 1/3,15,3,7,2,10,11,10,1.27,0,0,0,10,3,0,1,24,15,1.60
16,강장산,NC,5.61,20,0,0,0,0,-,25 2/3,27,3,15,3,9,17,16,1.64,0,0,0,9,0,0,2,30,36,0.83
17,찰리,NC,5.74,12,4,5,0,0,0.444,53 1/3,67,8,19,7,29,39,34,1.61,12,4,0,0,0,0,4,61,56,1.09
18,손정욱,NC,6.56,20,1,0,0,0,1.000,23 1/3,37,3,9,0,17,17,17,1.97,1,0,1,0,0,0,4,18,30,0.60
19,장현식,NC,9.00,2,0,0,0,0,-,2,3,0,2,0,3,2,2,2.50,0,0,0,2,0,0,0,1,2,0.50
20,노성호,NC,10.65,17,1,2,0,0,0.333,23 2/3,33,8,23,0,25,28,28,2.37,3,0,1,6,0,0,1,15,26,0.58
21,배재환,NC,18.00,1,0,0,0,0,-,1,1,0,3,0,2,2,2,4.00,0,0,0,0,0,0,0,0,1,0.00
22,이승호,NC,36.00,1,0,1,0,0,0.000,1,3,0,1,0,1,4,4,4.00,1,0,0,0,0,0,0,0,2,0.00
23,윤강민,NC,45.00,2,0,0,0,0,-,1,2,0,3,1,1,5,5,5.00,0,0,0,1,0,0,1,1,0,-
24,이대환,NC,54.00,1,0,0,0,0,-,1/3,2,0,0,1,0,2,2,6.00,0,0,0,0,0,0,0,1,0,-
