,name,team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO,PO,PKO,DP,A,SB,CS,PB,E,FPCT,CS%
0,윤석주,SK,0.0,1,0,0,0,0,-,1.3333333333333333,2,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,4,0,-,0,0,0,1,0,0,0,0,1.0,0.0
1,윤길현,SK,3.16,70,0,4,13,17,0.000,62.666666666666664,58,7,36,2,62,25,22,1.5,0,0,0,26,37,1,5,51,69,0.74,1,0,0,4,0,0,0,1,0.8333333333333334,0.0
2,정우람,SK,3.21,69,7,5,16,11,0.583,70.0,52,3,28,1,90,25,25,1.14,0,0,7,36,33,1,3,50,62,0.81,0,0,0,9,0,0,0,0,1.0,0.0
3,김광현,SK,3.72,30,14,6,0,1,0.700,176.66666666666666,173,19,66,3,160,86,73,1.35,29,14,0,1,1,0,18,216,125,1.73,12,1,1,30,0,0,0,2,0.9545454545454546,0.0
4,이한진,SK,3.86,3,0,0,0,0,-,4.666666666666667,4,0,5,0,1,3,2,1.93,0,0,0,2,0,0,0,8,6,1.33,1,0,0,0,0,0,0,0,1.0,0.0
5,신재웅,SK,4.11,61,0,1,0,9,0.000,50.333333333333336,72,5,17,4,49,28,23,1.77,0,0,0,9,12,0,4,46,45,1.02,3,1,0,6,0,0,0,1,0.9,0.0
6,켈리,SK,4.13,30,11,10,0,0,0.524,181.0,188,16,54,5,139,87,83,1.34,29,10,1,1,0,0,19,225,149,1.51,14,0,3,41,0,0,0,1,0.9821428571428572,0.0
7,박민호,SK,4.28,20,1,1,0,1,0.500,27.333333333333332,26,4,9,2,12,18,13,1.28,0,0,1,9,1,0,3,35,32,1.09,3,0,1,7,0,0,0,0,1.0,0.0
8,전유수,SK,4.4,66,3,6,1,5,0.333,77.66666666666667,66,9,42,5,84,39,38,1.39,0,0,3,9,10,0,3,65,73,0.89,2,1,1,9,0,0,0,0,1.0,0.0
9,밴와트,SK,4.63,12,5,3,0,0,0.625,56.333333333333336,70,5,13,2,50,29,29,1.47,12,5,0,0,0,0,5,45,63,0.71,1,0,0,9,0,0,0,0,1.0,0.0
10,이재영,SK,4.65,26,1,0,0,1,1.000,31.0,36,4,13,3,26,18,16,1.58,0,0,1,10,1,0,0,28,38,0.74,2,0,1,4,0,0,0,0,1.0,0.0
11,백인식,SK,4.79,7,1,2,0,0,0.333,20.666666666666668,24,2,11,2,14,13,11,1.69,4,1,0,1,0,0,0,11,32,0.34,1,0,0,2,0,0,0,0,1.0,0.0
12,세든,SK,4.99,14,7,5,0,0,0.583,74.0,77,12,28,5,67,42,41,1.42,14,7,0,1,0,0,7,62,72,0.86,1,2,0,12,0,0,0,3,0.8125,0.0
13,박종훈,SK,5.19,33,6,8,0,0,0.429,118.0,123,7,53,17,105,74,68,1.49,23,6,0,5,0,0,9,133,92,1.45,16,0,0,9,0,0,0,3,0.8928571428571429,0.0
14,박정배,SK,5.33,24,2,2,0,2,0.500,25.333333333333332,25,3,13,2,28,15,15,1.5,0,0,2,5,4,0,0,24,21,1.14,0,0,0,6,0,0,0,0,1.0,0.0
15,박희수,SK,5.4,14,0,0,0,2,-,10.0,13,3,8,1,12,6,6,2.1,1,0,0,3,3,0,1,10,7,1.43,0,0,0,2,0,0,0,0,1.0,0.0
16,윤희상,SK,5.88,21,5,9,0,0,0.357,93.33333333333333,113,15,34,3,67,65,61,1.58,21,5,0,0,0,0,13,106,86,1.23,5,0,0,11,0,0,0,1,0.9411764705882352,0.0
17,서진용,SK,5.91,18,0,0,0,0,-,21.333333333333332,25,4,6,0,24,14,14,1.45,0,0,0,8,0,0,1,18,20,0.90,2,0,0,2,0,0,0,0,1.0,0.0
18,이창욱,SK,6.0,2,0,0,0,0,-,3.0,2,0,2,0,1,2,2,1.33,0,0,0,2,0,0,0,7,1,7.00,2,0,0,0,0,0,0,0,1.0,0.0
19,채병용,SK,6.07,33,4,4,0,1,0.500,83.0,103,17,27,3,78,56,56,1.57,8,2,2,5,1,0,3,60,93,0.65,5,0,0,7,0,0,0,0,1.0,0.0
20,고효준,SK,6.18,30,0,3,0,0,0.000,51.0,61,8,31,4,43,37,35,1.8,2,0,0,10,0,0,4,53,52,1.02,1,0,0,4,0,0,0,2,0.7142857142857143,0.0
21,문광은,SK,6.85,53,1,5,1,11,0.167,64.33333333333333,87,13,27,4,54,55,49,1.77,1,0,1,6,13,0,6,63,64,0.98,4,0,0,6,0,0,0,0,1.0,0.0
22,김태훈,SK,27.0,1,0,0,0,0,-,0.3333333333333333,0,0,1,0,0,1,1,3.0,0,0,0,0,0,0,0,0,1,0.00,0,0,0,0,0,0,0,0,0.0,0.0
