,rank,name,team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
0,1,문수호,NC,-,2,0,0,0,0,-,0,1,0,1,0,0,1,1,-
1,2,스튜어트,NC,2.68,19,8,2,0,0,0.800,117 2/3,116,7,26,6,109,37,35,1.21
2,3,해커,NC,3.13,31,19,5,0,0,0.792,204,174,14,36,25,164,81,71,1.03
3,4,박진우,NC,3.14,11,1,1,0,0,0.500,14 1/3,19,1,2,1,8,5,5,1.47
4,5,이태양,NC,3.67,29,10,5,0,0,0.667,137 1/3,141,19,40,19,113,59,56,1.32
5,6,최금강,NC,3.71,78,6,5,1,14,0.545,89 2/3,77,11,37,11,61,40,37,1.27
6,7,고창성,NC,3.72,6,0,0,0,0,-,9 2/3,11,1,4,2,3,4,4,1.55
7,8,임정호,NC,3.75,80,1,2,0,14,0.333,48,31,2,27,5,54,21,20,1.21
8,9,임창민,NC,3.80,61,1,5,31,0,0.167,64,57,7,21,1,72,28,27,1.22
9,10,이재학,NC,4.10,29,10,8,0,1,0.556,125,115,17,58,9,116,58,57,1.38
10,11,김진성,NC,4.50,59,3,4,5,12,0.429,66,59,14,18,1,70,35,33,1.17
11,12,박명환,NC,4.85,11,1,1,0,0,0.500,26,36,6,5,3,15,14,14,1.58
12,13,손민한,NC,4.89,26,11,6,0,0,0.647,105,122,8,15,5,50,65,57,1.30
13,14,민성기,NC,4.91,21,1,0,0,0,1.000,25 2/3,28,2,23,4,21,17,14,1.99
14,15,이민호,NC,5.06,64,6,5,0,10,0.545,96,103,15,41,6,103,62,54,1.50
15,16,이혜천,NC,5.19,29,0,0,0,3,-,17 1/3,15,3,7,2,10,11,10,1.27
16,17,강장산,NC,5.61,20,0,0,0,0,-,25 2/3,27,3,15,3,9,17,16,1.64
17,18,찰리,NC,5.74,12,4,5,0,0,0.444,53 1/3,67,8,19,7,29,39,34,1.61
18,19,손정욱,NC,6.56,20,1,0,0,0,1.000,23 1/3,37,3,9,0,17,17,17,1.97
19,20,장현식,NC,9.00,2,0,0,0,0,-,2,3,0,2,0,3,2,2,2.50
20,21,노성호,NC,10.65,17,1,2,0,0,0.333,23 2/3,33,8,23,0,25,28,28,2.37
21,22,배재환,NC,18.00,1,0,0,0,0,-,1,1,0,3,0,2,2,2,4.00
22,23,이승호,NC,36.00,1,0,1,0,0,0.000,1,3,0,1,0,1,4,4,4.00
23,24,윤강민,NC,45.00,2,0,0,0,0,-,1,2,0,3,1,1,5,5,5.00
24,25,이대환,NC,54.00,1,0,0,0,0,-,1/3,2,0,0,1,0,2,2,6.00
