,rank,name,team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
0,1,김정인,넥센,0.00,1,0,0,0,0,-,1,0,0,0,0,0,0,0,0.00
1,2,양훈,넥센,1.41,16,2,1,0,0,0.667,38 1/3,33,1,14,0,15,9,6,1.23
2,3,조상우,넥센,3.09,70,8,5,5,19,0.615,93 1/3,65,4,41,6,89,36,32,1.14
3,4,밴헤켄,넥센,3.62,32,15,8,0,0,0.652,196 2/3,190,14,67,1,193,92,79,1.31
4,5,손승락,넥센,3.82,58,4,6,23,0,0.400,61 1/3,73,6,13,3,63,35,26,1.40
5,6,김영민,넥센,4.38,57,4,5,0,6,0.444,90 1/3,90,14,28,7,85,47,44,1.31
6,7,금민철,넥센,4.50,7,1,1,0,0,0.500,22,25,2,14,2,11,11,11,1.77
7,7,이정훈,넥센,4.50,2,0,0,0,0,-,2,3,0,0,0,0,2,1,1.50
8,9,피어밴드,넥센,4.67,30,13,11,0,0,0.542,177 1/3,202,23,61,12,137,101,92,1.48
9,10,한현희,넥센,4.82,45,11,4,0,10,0.733,123 1/3,126,14,41,13,122,70,66,1.35
10,11,김대우,넥센,4.94,47,6,3,1,4,0.667,71,81,8,31,6,63,44,39,1.58
11,12,마정길,넥센,5.06,35,0,0,0,0,-,37 1/3,36,4,17,6,33,22,21,1.42
12,13,송신영,넥센,5.35,18,7,4,0,0,0.636,69,77,12,22,2,46,42,41,1.43
13,14,문성현,넥센,6.28,34,0,5,0,1,0.000,91 2/3,114,10,39,5,58,75,64,1.67
14,15,김동준,넥센,6.44,22,1,1,0,0,0.500,50 1/3,56,7,30,3,32,41,36,1.71
15,16,배힘찬,넥센,6.75,7,0,1,0,0,0.000,6 2/3,10,1,6,0,1,7,5,2.40
16,17,김정훈,넥센,7.04,13,0,2,0,1,0.000,15 1/3,20,2,10,3,11,14,12,1.96
17,18,하영민,넥센,7.53,18,2,0,0,0,1.000,34 2/3,48,7,12,2,25,30,29,1.73
18,19,김택형,넥센,7.91,37,4,4,0,2,0.500,58,79,7,42,6,55,58,51,2.09
19,20,정회찬,넥센,9.00,1,0,0,0,0,-,1,2,1,1,0,1,1,1,3.00
20,21,오재영,넥센,9.33,9,0,2,0,0,0.000,18 1/3,31,4,12,1,11,19,19,2.35
21,22,구자형,넥센,10.13,3,0,0,0,0,-,2 2/3,4,0,2,0,1,3,3,2.25
22,23,이상민,넥센,10.71,23,0,1,0,1,0.000,19 1/3,29,4,10,3,12,23,23,2.02
23,24,김상수,넥센,10.80,2,0,1,0,0,0.000,5,10,1,5,0,2,8,6,3.00
