,rank,name,team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
0,1,임창용,삼성,2.83,55,5,2,33,0,0.714,54,45,2,13,3,71,17,17,1.07
1,2,박근홍,삼성,2.96,66,2,2,0,8,0.500,48 2/3,39,3,24,6,55,20,16,1.29
2,3,조현근,삼성,3.26,22,0,0,0,1,-,19 1/3,18,1,7,1,11,10,7,1.29
3,4,안지만,삼성,3.33,66,4,3,0,37,0.571,78 1/3,76,8,26,2,96,29,29,1.30
4,5,피가로,삼성,3.38,25,13,7,0,0,0.650,165,154,16,51,7,117,66,62,1.24
5,6,윤성환,삼성,3.76,30,17,8,0,0,0.680,194,199,27,30,10,164,86,81,1.18
6,7,심창민,삼성,4.28,61,6,3,0,9,0.667,67 1/3,54,7,24,5,91,32,32,1.16
7,8,차우찬,삼성,4.79,31,13,7,0,1,0.650,173,160,28,74,5,194,98,92,1.35
8,9,클로이드,삼성,5.19,28,11,11,0,0,0.500,159 2/3,190,24,38,12,123,103,92,1.43
9,10,장원삼,삼성,5.80,26,10,9,0,0,0.526,136 2/3,151,29,50,1,107,96,88,1.47
10,11,김건한,삼성,6.06,16,1,1,0,0,0.500,16 1/3,26,1,8,1,6,11,11,2.08
11,12,백정현,삼성,6.11,31,0,0,0,2,-,28,32,3,20,1,37,19,19,1.86
12,13,신용운,삼성,7.01,35,1,1,0,2,0.500,25 2/3,35,2,16,2,22,23,20,1.99
13,14,김기태,삼성,7.06,23,3,0,0,0,1.000,29 1/3,36,11,10,0,23,25,23,1.57
14,15,김현우,삼성,7.30,11,0,0,0,0,-,12 1/3,14,5,5,1,14,10,10,1.54
15,16,권오준,삼성,8.04,30,0,0,0,0,-,28,33,5,9,5,24,27,25,1.50
16,17,정인욱,삼성,8.28,12,2,2,1,0,0.500,29 1/3,40,5,16,2,29,27,27,1.91
17,18,임현준,삼성,11.37,7,0,0,0,0,-,6 1/3,11,3,2,0,6,10,8,2.05
18,19,장필준,삼성,15.75,2,0,0,0,0,-,4,10,2,0,0,4,7,7,2.50
