,rank,name,team,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
0,1,김명찬,KIA,0.00,0,0,0,0,0,0,2,4,4,1.00
1,2,김준,KIA,2.08,0,0,0,3,0,0,2,7,4,1.75
2,3,양현종,KIA,2.44,31,15,0,1,1,0,20,159,186,0.85
3,4,최영필,KIA,2.86,0,0,5,17,15,0,4,49,76,0.64
4,5,윤석민,KIA,2.96,0,0,2,45,38,5,4,55,72,0.76
5,6,한기주,KIA,3.24,0,0,0,2,1,0,2,11,7,1.57
6,7,김진우,KIA,3.46,2,1,0,0,0,0,2,15,6,2.50
7,8,임준혁,KIA,4.10,21,8,1,1,0,0,9,106,149,0.71
8,9,에반,KIA,4.44,1,0,4,4,4,0,6,32,12,2.67
9,10,김광수,KIA,4.53,1,0,4,5,4,0,2,54,48,1.13
10,11,서재응,KIA,4.95,9,1,0,0,0,0,5,42,46,0.91
11,12,스틴슨,KIA,4.96,30,11,0,2,0,0,15,249,133,1.87
12,13,심동섭,KIA,5.02,0,0,3,5,25,0,4,39,52,0.75
13,14,김태영,KIA,5.19,0,0,0,5,4,0,3,18,21,0.86
14,15,한승혁,KIA,5.46,0,0,2,19,10,0,7,58,41,1.41
15,16,박정수,KIA,5.53,4,0,0,8,0,0,5,48,50,0.96
16,17,홍건희,KIA,6.04,7,0,2,6,1,0,3,52,95,0.55
17,18,박준표,KIA,6.26,2,0,2,7,6,0,6,60,37,1.62
18,19,임기준,KIA,6.62,6,1,0,0,0,0,2,34,32,1.06
19,20,험버,KIA,6.75,11,3,0,0,0,0,4,56,50,1.12
20,21,김병현,KIA,6.98,8,0,0,3,4,0,4,52,41,1.27
21,22,유창식,KIA,7.90,12,0,0,3,2,0,7,76,42,1.81
22,23,신창호,KIA,7.94,0,0,0,2,0,0,0,5,8,0.63
23,24,문경찬,KIA,9.76,4,1,0,3,0,0,5,23,39,0.59
24,25,이종석,KIA,15.75,0,0,0,1,0,0,0,5,4,1.25
