,rank,name,team,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
0,1,조무근,kt,1.88,1,0,8,10,6,0,5,56,65,0.86
1,2,최원재,kt,3.82,0,0,2,3,4,0,6,34,30,1.13
2,3,홍성용,kt,3.86,0,0,0,2,6,0,2,33,49,0.67
3,4,장시환,kt,3.98,0,0,7,32,15,2,8,71,59,1.20
4,5,김재윤,kt,4.23,0,0,1,5,7,0,3,23,35,0.66
5,6,옥스프링,kt,4.48,31,12,0,3,0,0,18,201,173,1.16
6,7,홍성무,kt,4.82,0,0,0,12,0,0,4,35,22,1.59
7,8,저마노,kt,4.93,14,3,0,0,0,0,8,82,89,0.92
8,9,안상빈,kt,5.06,0,0,0,5,1,0,0,10,13,0.77
9,10,정대현,kt,5.19,26,5,0,0,0,0,13,117,127,0.92
10,11,배우열,kt,5.63,0,0,0,4,1,0,2,16,12,1.33
11,11,윤근영,kt,5.63,7,1,0,3,0,0,2,45,23,1.96
12,13,고영표,kt,5.68,0,0,3,6,1,0,7,69,34,2.03
13,14,김민수,kt,5.79,1,0,0,9,0,0,2,34,18,1.89
14,15,김기표,kt,6.10,0,0,0,3,0,0,1,7,15,0.47
15,16,시스코,kt,6.23,5,0,0,2,1,0,1,36,33,1.09
16,17,엄상백,kt,6.66,22,5,0,0,0,0,14,86,109,0.79
17,18,이창재,kt,6.82,0,0,0,7,5,0,1,27,37,0.73
18,19,심재민,kt,6.87,1,0,2,11,2,0,13,72,51,1.41
19,20,황덕균,kt,7.36,0,0,0,2,0,0,0,4,5,0.80
20,21,김사율,kt,8.06,0,0,0,7,1,0,3,17,29,0.59
21,22,주권,kt,8.51,3,0,0,6,0,0,2,34,21,1.62
22,23,정성곤,kt,8.53,15,2,0,0,0,0,3,66,57,1.16
23,24,어윈,kt,8.68,12,1,0,0,0,0,7,70,41,1.71
24,25,최대성,kt,13.50,0,0,0,3,1,0,0,5,3,1.67
25,26,이윤학,kt,24.00,0,0,0,1,0,0,0,2,2,1.00
