,rank,name,team,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
0,1,김선규,LG,3.13,0,0,2,2,3,0,3,44,26,1.69
1,2,우규민,LG,3.42,25,11,0,1,0,0,23,177,123,1.44
2,3,윤지웅,LG,3.77,0,0,3,9,14,0,5,74,49,1.51
3,4,소사,LG,4.03,30,10,0,3,0,0,14,188,189,0.99
4,5,김지용,LG,4.13,0,0,1,12,0,0,4,30,35,0.86
5,6,이동현,LG,4.40,0,0,5,20,21,0,2,52,57,0.91
6,7,류제국,LG,4.78,23,4,0,0,0,0,14,181,92,1.97
7,8,신승현,LG,4.79,0,0,0,9,3,0,6,34,35,0.97
8,9,봉중근,LG,4.93,2,0,5,35,20,1,11,44,47,0.94
9,10,루카스,LG,4.93,30,10,0,0,1,0,24,209,120,1.74
10,11,임정우,LG,5.04,11,1,5,18,12,1,13,106,98,1.08
11,12,정찬헌,LG,5.52,0,0,3,8,5,0,2,41,43,0.95
12,13,유원상,LG,5.59,0,0,1,3,1,0,4,41,40,1.03
13,14,진해수,LG,5.72,0,0,2,5,5,0,2,35,20,1.75
14,15,김광삼,LG,5.74,4,0,0,0,0,0,1,21,13,1.62
15,16,이승현,LG,5.87,0,0,0,7,0,0,1,15,10,1.50
16,17,임지섭,LG,6.25,8,1,0,0,0,0,3,23,25,0.92
17,18,이준형,LG,6.35,2,0,0,2,0,0,0,5,8,0.63
18,19,장진용,LG,6.40,9,1,0,0,0,0,6,38,34,1.12
19,20,최동환,LG,8.27,0,0,0,6,1,0,0,17,22,0.77
