,rank,name,team,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
0,1,윤석주,SK,0.00,0,0,0,0,0,0,0,4,0,-
1,2,윤길현,SK,3.16,0,0,0,26,37,1,5,51,69,0.74
2,3,정우람,SK,3.21,0,0,7,36,33,1,3,50,62,0.81
3,4,김광현,SK,3.72,29,14,0,1,1,0,18,216,125,1.73
4,5,이한진,SK,3.86,0,0,0,2,0,0,0,8,6,1.33
5,6,신재웅,SK,4.11,0,0,0,9,12,0,4,46,45,1.02
6,7,켈리,SK,4.13,29,10,1,1,0,0,19,225,149,1.51
7,8,박민호,SK,4.28,0,0,1,9,1,0,3,35,32,1.09
8,9,전유수,SK,4.40,0,0,3,9,10,0,3,65,73,0.89
9,10,밴와트,SK,4.63,12,5,0,0,0,0,5,45,63,0.71
10,11,이재영,SK,4.65,0,0,1,10,1,0,0,28,38,0.74
11,12,백인식,SK,4.79,4,1,0,1,0,0,0,11,32,0.34
12,13,세든,SK,4.99,14,7,0,1,0,0,7,62,72,0.86
13,14,박종훈,SK,5.19,23,6,0,5,0,0,9,133,92,1.45
14,15,박정배,SK,5.33,0,0,2,5,4,0,0,24,21,1.14
15,16,박희수,SK,5.40,1,0,0,3,3,0,1,10,7,1.43
16,17,윤희상,SK,5.88,21,5,0,0,0,0,13,106,86,1.23
17,18,서진용,SK,5.91,0,0,0,8,0,0,1,18,20,0.90
18,19,이창욱,SK,6.00,0,0,0,2,0,0,0,7,1,7.00
19,20,채병용,SK,6.07,8,2,2,5,1,0,3,60,93,0.65
20,21,고효준,SK,6.18,2,0,0,10,0,0,4,53,52,1.02
21,22,문광은,SK,6.85,1,0,1,6,13,0,6,63,64,0.98
22,23,김태훈,SK,27.00,0,0,0,0,0,0,0,0,1,0.00
