,rank,name,team,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
0,1,오장훈,두산,0.00,0,0,0,1,0,0,0,0,1,0.00
1,2,김강률,두산,2.45,0,0,3,4,5,0,1,19,16,1.19
2,3,이현승,두산,2.89,0,0,3,30,26,4,6,45,46,0.98
3,4,허준혁,두산,3.57,14,3,0,1,0,0,7,83,53,1.57
4,5,함덕주,두산,3.65,0,0,7,10,20,1,5,47,52,0.90
5,6,유희관,두산,3.94,30,18,0,1,0,0,17,208,197,1.06
6,7,윤명준,두산,3.97,0,0,4,25,19,1,9,76,68,1.12
7,8,장원준,두산,4.08,30,12,0,1,0,0,18,189,154,1.23
8,9,이현호,두산,4.19,7,4,2,11,4,0,6,78,86,0.91
9,10,노경은,두산,4.47,0,0,1,22,10,1,9,70,54,1.30
10,11,니퍼트,두산,5.10,16,5,1,0,0,0,7,93,85,1.09
11,12,양현,두산,5.23,0,0,0,1,0,0,1,10,11,0.91
12,13,스와잭,두산,5.26,17,5,0,2,0,0,7,106,80,1.33
13,14,오현택,두산,5.30,0,0,1,7,16,0,7,48,60,0.80
14,15,남경호,두산,6.00,0,0,0,0,0,0,0,5,12,0.42
15,16,이재우,두산,6.26,1,0,0,7,7,0,2,30,54,0.56
16,17,진야곱,두산,7.01,14,3,2,6,3,0,9,98,76,1.29
17,18,김명성,두산,7.79,0,0,1,7,0,0,1,15,23,0.65
18,19,마야,두산,8.17,13,2,0,1,0,0,4,68,61,1.11
19,20,김수완,두산,8.80,2,0,0,3,0,0,1,15,15,1.00
20,21,조승수,두산,9.00,0,0,0,0,0,0,0,2,0,-
21,22,변진수,두산,10.80,0,0,1,0,0,0,1,2,1,2.00
22,23,박종기,두산,11.57,0,0,0,0,0,0,0,2,1,2.00
23,24,이원재,두산,12.66,0,0,1,3,0,0,1,10,14,0.71
24,25,장민익,두산,29.25,0,0,0,1,0,0,0,4,4,1.00
25,26,이용호,두산,81.00,0,0,0,0,0,0,0,1,0,-
