,rank,name,team,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
0,1,구본범,한화,0.00,0,0,0,1,0,0,0,0,3,0.00
1,1,마일영,한화,0.00,0,0,0,0,0,0,0,3,0,-
2,1,임경완,한화,-,0,0,0,0,0,0,0,0,0,-
3,1,조영우,한화,0.00,0,0,0,0,0,0,0,0,3,0.00
4,1,최영환,한화,0.00,0,0,0,1,0,0,0,2,1,2.00
5,6,윤규진,한화,2.66,0,0,3,24,15,0,5,41,52,0.79
6,7,로저스,한화,2.97,10,6,0,4,0,0,8,102,48,2.13
7,8,박정진,한화,3.09,0,0,6,4,12,0,6,75,112,0.67
8,9,김용주,한화,3.38,2,1,0,0,0,0,1,11,7,1.57
9,10,임준섭,한화,3.72,0,0,1,2,1,0,2,19,17,1.12
10,11,김기현,한화,4.35,0,0,1,3,2,0,2,36,45,0.80
11,12,이동걸,한화,4.47,0,0,2,9,0,0,4,43,58,0.74
12,13,유먼,한화,4.52,17,4,0,0,0,0,9,95,101,0.94
13,14,탈보트,한화,4.72,30,10,0,1,0,0,15,208,105,1.98
14,15,정대훈,한화,4.75,0,0,1,11,3,0,8,48,38,1.26
15,16,박성호,한화,4.79,0,0,0,5,0,0,3,14,33,0.42
16,17,권혁,한화,4.98,0,0,9,43,31,2,4,95,139,0.68
17,18,안영명,한화,5.10,27,10,0,1,1,0,11,148,120,1.23
18,19,김민우,한화,5.14,8,1,0,12,0,0,10,70,72,0.97
19,20,송창식,한화,6.44,10,3,5,4,7,0,4,90,133,0.68
20,21,윤기호,한화,6.75,0,0,0,0,0,0,1,2,5,0.40
21,21,정광운,한화,6.75,0,0,0,1,0,0,0,0,3,0.00
22,23,송은범,한화,7.04,14,1,1,9,8,2,6,80,72,1.11
23,24,배영수,한화,7.04,21,4,0,0,2,0,7,118,114,1.04
24,25,김범수,한화,7.36,0,0,0,4,0,0,4,13,18,0.72
25,26,박한길,한화,8.56,0,0,0,4,0,0,1,21,10,2.10
26,27,허유강,한화,10.13,0,0,0,0,0,0,1,3,3,1.00
27,28,정재원,한화,11.25,0,0,0,1,0,0,1,3,4,0.75
28,29,장민재,한화,18.00,0,0,0,2,0,0,2,3,3,1.00
29,30,문재현,한화,54.00,0,0,0,0,0,0,0,0,1,0.00
