,rank,name,team,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
0,1,박진형,롯데,0.00,0,0,0,2,0,0,0,1,2,0.50
1,1,차재용,롯데,0.00,0,0,0,1,0,0,0,2,3,0.67
2,3,정대현,롯데,2.95,0,0,2,10,7,0,1,15,20,0.75
3,4,린드블럼,롯데,3.56,32,13,0,2,0,0,15,220,191,1.15
4,5,레일리,롯데,3.91,30,11,0,1,0,0,18,231,140,1.65
5,6,홍성민,롯데,3.95,0,0,4,12,10,1,12,94,67,1.40
6,7,강영식,롯데,4.19,0,0,2,7,10,0,3,31,29,1.07
7,8,조현우,롯데,4.50,0,0,0,3,0,0,0,4,3,1.33
8,9,이성민,롯데,4.58,0,0,5,30,17,0,5,89,63,1.41
9,10,송승준,롯데,4.75,23,7,1,1,0,0,7,114,137,0.83
10,11,이명우,롯데,5.64,5,1,1,4,8,0,7,78,49,1.59
11,12,김원중,롯데,5.75,0,0,0,4,1,0,1,19,21,0.90
12,13,박세웅,롯데,5.76,21,2,0,3,0,0,9,141,97,1.45
13,14,이정민,롯데,5.84,0,0,1,14,5,1,6,51,30,1.70
14,15,심수창,롯데,6.01,6,0,4,16,8,0,11,69,62,1.11
15,16,이재곤,롯데,6.23,5,0,0,0,0,0,5,16,7,2.29
16,17,김승회,롯데,6.24,7,2,5,13,5,0,5,68,93,0.73
17,18,이상화,롯데,6.55,12,3,0,2,0,0,3,68,54,1.26
18,19,배장호,롯데,6.59,5,0,0,2,0,0,2,33,39,0.85
19,20,심규범,롯데,7.11,0,0,0,2,4,0,0,4,7,0.57
20,20,정재훈,롯데,7.11,0,0,0,3,2,0,0,5,8,0.63
21,22,김성배,롯데,7.71,0,0,2,9,10,0,1,36,45,0.80
22,23,이인복,롯데,10.18,1,0,0,5,0,0,1,27,22,1.23
23,24,구승민,롯데,10.24,3,0,0,3,0,0,2,29,32,0.91
24,25,이경우,롯데,10.80,0,0,0,1,0,0,0,2,3,0.67
25,26,허준혁,롯데,21.60,0,0,0,1,0,0,0,2,4,0.50
