,rank,name,team,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
0,1,임창용,삼성,2.83,0,0,5,50,38,2,4,47,37,1.27
1,2,박근홍,삼성,2.96,0,0,2,12,12,0,4,36,47,0.77
2,3,조현근,삼성,3.26,0,0,0,13,0,0,3,25,19,1.32
3,4,안지만,삼성,3.33,0,0,4,8,40,0,6,53,65,0.82
4,5,피가로,삼성,3.38,25,13,0,1,0,0,11,188,161,1.17
5,6,윤성환,삼성,3.76,30,17,0,3,0,0,11,156,241,0.65
6,7,심창민,삼성,4.28,0,0,6,9,10,0,2,32,71,0.45
7,8,차우찬,삼성,4.79,29,12,1,1,1,0,13,138,165,0.84
8,9,클로이드,삼성,5.19,28,11,0,0,0,0,12,192,139,1.38
9,10,장원삼,삼성,5.80,25,10,0,0,0,0,9,114,168,0.68
10,11,김건한,삼성,6.06,1,0,1,5,0,0,0,18,22,0.82
11,12,백정현,삼성,6.11,1,0,0,5,5,0,1,25,18,1.39
12,13,신용운,삼성,7.01,0,0,1,3,6,0,2,28,28,1.00
13,14,김기태,삼성,7.06,0,0,3,11,1,0,1,18,44,0.41
14,15,김현우,삼성,7.30,0,0,0,4,0,0,2,11,10,1.10
15,16,권오준,삼성,8.04,0,0,0,12,1,0,2,30,27,1.11
16,17,정인욱,삼성,8.28,4,2,0,3,1,0,1,21,35,0.60
17,18,임현준,삼성,11.37,0,0,0,3,0,0,0,7,7,1.00
18,19,장필준,삼성,15.75,1,0,0,1,0,0,0,5,3,1.67
