,name,team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO,PO,PKO,DP,A,SB,CS,PB,E,FPCT,CS%
0,임창용,삼성,2.83,55,5,2,33,0,0.714,54.0,45,2,13,3,71,17,17,1.07,0,0,5,50,38,2,4,47,37,1.27,3,0,1,10,0,0,0,0,1.0,0.0
1,박근홍,삼성,2.96,66,2,2,0,8,0.500,48.666666666666664,39,3,24,6,55,20,16,1.29,0,0,2,12,12,0,4,36,47,0.77,1,0,0,7,0,0,0,1,0.8888888888888888,0.0
2,조현근,삼성,3.26,22,0,0,0,1,-,19.333333333333332,18,1,7,1,11,10,7,1.29,0,0,0,13,0,0,3,25,19,1.32,2,0,0,4,0,0,0,0,1.0,0.0
3,안지만,삼성,3.33,66,4,3,0,37,0.571,78.33333333333333,76,8,26,2,96,29,29,1.3,0,0,4,8,40,0,6,53,65,0.82,4,3,4,15,0,0,0,0,1.0,0.0
4,피가로,삼성,3.38,25,13,7,0,0,0.650,165.0,154,16,51,7,117,66,62,1.24,25,13,0,1,0,0,11,188,161,1.17,9,1,2,18,0,0,0,4,0.8709677419354839,0.0
5,윤성환,삼성,3.76,30,17,8,0,0,0.680,194.0,199,27,30,10,164,86,81,1.18,30,17,0,3,0,0,11,156,241,0.65,6,0,1,16,0,0,0,1,0.9565217391304348,0.0
6,심창민,삼성,4.28,61,6,3,0,9,0.667,67.33333333333333,54,7,24,5,91,32,32,1.16,0,0,6,9,10,0,2,32,71,0.45,0,0,1,6,0,0,0,0,1.0,0.0
7,차우찬,삼성,4.79,31,13,7,0,1,0.650,173.0,160,28,74,5,194,98,92,1.35,29,12,1,1,1,0,13,138,165,0.84,10,3,1,35,0,0,0,1,0.9782608695652174,0.0
8,클로이드,삼성,5.19,28,11,11,0,0,0.500,159.66666666666666,190,24,38,12,123,103,92,1.43,28,11,0,0,0,0,12,192,139,1.38,5,1,3,21,0,0,0,3,0.8965517241379308,0.0
9,장원삼,삼성,5.8,26,10,9,0,0,0.526,136.66666666666666,151,29,50,1,107,96,88,1.47,25,10,0,0,0,0,9,114,168,0.68,2,0,0,14,0,0,0,1,0.9411764705882352,0.0
10,김건한,삼성,6.06,16,1,1,0,0,0.500,16.333333333333332,26,1,8,1,6,11,11,2.08,1,0,1,5,0,0,0,18,22,0.82,0,0,0,5,0,0,0,0,1.0,0.0
11,백정현,삼성,6.11,31,0,0,0,2,-,28.0,32,3,20,1,37,19,19,1.86,1,0,0,5,5,0,1,25,18,1.39,1,0,0,3,0,0,0,0,1.0,0.0
12,신용운,삼성,7.01,35,1,1,0,2,0.500,25.666666666666668,35,2,16,2,22,23,20,1.99,0,0,1,3,6,0,2,28,28,1.0,1,0,0,3,0,0,0,0,1.0,0.0
13,김기태,삼성,7.06,23,3,0,0,0,1.000,29.333333333333332,36,11,10,0,23,25,23,1.57,0,0,3,11,1,0,1,18,44,0.41,0,0,0,2,0,0,0,1,0.6666666666666666,0.0
14,김현우,삼성,7.3,11,0,0,0,0,-,12.333333333333334,14,5,5,1,14,10,10,1.54,0,0,0,4,0,0,2,11,10,1.1,0,0,0,1,0,0,0,0,1.0,0.0
15,권오준,삼성,8.04,30,0,0,0,0,-,28.0,33,5,9,5,24,27,25,1.5,0,0,0,12,1,0,2,30,27,1.11,1,0,0,4,0,0,0,1,0.8333333333333334,0.0
16,정인욱,삼성,8.28,12,2,2,1,0,0.500,29.333333333333332,40,5,16,2,29,27,27,1.91,4,2,0,3,1,0,1,21,35,0.6,2,0,0,1,0,0,0,0,1.0,0.0
17,임현준,삼성,11.37,7,0,0,0,0,-,6.333333333333333,11,3,2,0,6,10,8,2.05,0,0,0,3,0,0,0,7,7,1.0,1,0,0,2,0,0,0,0,1.0,0.0
18,장필준,삼성,15.75,2,0,0,0,0,-,4.0,10,2,0,0,4,7,7,2.5,1,0,0,1,0,0,0,5,3,1.67,0,0,0,2,0,0,0,0,1.0,0.0
