,name,SBA,SB%,OOB
0,강한울,13,69.23076923076923,3
1,고영우,10,70.0,2
2,김광수,0,0.0,0
3,김다원,1,100.0,4
4,김민우,11,72.72727272727273,1
5,김병현,0,0.0,0
6,김원섭,13,61.53846153846154,7
7,김주찬,10,80.0,3
8,김주형,0,0.0,0
9,김준,0,0.0,0
10,김태영,0,0.0,0
11,김호령,13,84.61538461538461,0
12,나지완,4,75.0,4
13,노수광,0,0.0,0
14,문경찬,0,0.0,0
15,박기남,2,50.0,1
16,박정수,0,0.0,0
17,박준태,3,66.66666666666666,1
18,박준표,0,0.0,0
19,박찬호,4,75.0,4
20,백용환,4,75.0,1
21,스틴슨,0,0.0,0
22,신종길,24,79.16666666666666,1
23,심동섭,0,0.0,0
24,에반,0,0.0,0
25,오준혁,2,50.0,0
26,윤석민,0,0.0,0
27,윤완주,0,0.0,1
28,이범호,7,42.857142857142854,6
29,이성우,0,0.0,1
30,이은총,0,0.0,1
31,이인행,0,0.0,1
32,이호신,3,100.0,1
33,이홍구,1,100.0,2
34,전현태,0,0.0,0
35,차일목,0,0.0,0
36,최병연,0,0.0,0
37,최영필,0,0.0,0
38,최용규,16,62.5,4
39,최희섭,0,0.0,4
40,필,24,58.333333333333336,6
41,한기주,0,0.0,0
42,한승혁,0,0.0,0
43,험버,0,0.0,0
44,홍건희,0,0.0,0
45,황대인,0,0.0,1
46,황수현,0,0.0,0
