,rank,name,team,G,SBA,SB,CS,SB%,OOB,PKO
0,1,신종길,KIA,99,24,19,5,79.2,1,1
1,2,필,KIA,143,24,14,10,58.3,6,1
2,3,김호령,KIA,103,13,11,2,84.6,0,2
3,4,최용규,KIA,69,16,10,6,62.5,4,2
4,5,강한울,KIA,90,13,9,4,69.2,3,2
5,6,김민우,KIA,90,11,8,3,72.7,1,0
6,6,김원섭,KIA,110,13,8,5,61.5,7,1
7,6,김주찬,KIA,98,10,8,2,80.0,3,0
8,9,고영우,KIA,82,10,7,3,70.0,2,1
9,10,나지완,KIA,116,4,3,1,75.0,4,0
10,10,박찬호,KIA,69,4,3,1,75.0,4,0
11,10,백용환,KIA,65,4,3,1,75.0,1,0
12,10,이범호,KIA,138,7,3,4,42.9,6,0
13,10,이호신,KIA,54,3,3,0,100,1,0
14,15,박준태,KIA,51,3,2,1,66.7,1,0
15,16,김다원,KIA,108,1,1,0,100,4,2
16,16,박기남,KIA,51,2,1,1,50.0,1,0
17,16,오준혁,KIA,32,2,1,1,50.0,0,0
18,16,이홍구,KIA,112,1,1,0,100,2,0
19,20,김광수,KIA,2,0,0,0,-,0,0
20,20,김병현,KIA,1,0,0,0,-,0,0
21,20,김주형,KIA,45,0,0,0,-,0,0
22,20,김준,KIA,1,0,0,0,-,0,0
23,20,김태영,KIA,3,0,0,0,-,0,0
24,20,노수광,KIA,10,0,0,0,-,0,0
25,20,문경찬,KIA,2,0,0,0,-,0,0
26,20,박정수,KIA,4,0,0,0,-,0,0
27,20,박준표,KIA,1,0,0,0,-,0,0
28,20,스틴슨,KIA,1,0,0,0,-,0,0
29,20,심동섭,KIA,4,0,0,0,-,0,0
30,20,에반,KIA,1,0,0,0,-,0,0
31,20,윤석민,KIA,4,0,0,0,-,0,0
32,20,윤완주,KIA,28,0,0,0,-,1,0
33,20,이성우,KIA,79,0,0,0,-,1,0
34,20,이은총,KIA,11,0,0,0,-,1,1
35,20,이인행,KIA,20,0,0,0,-,1,0
36,20,전현태,KIA,2,0,0,0,-,0,0
37,20,차일목,KIA,11,0,0,0,-,0,0
38,20,최병연,KIA,19,0,0,0,-,0,0
39,20,최영필,KIA,3,0,0,0,-,0,0
40,20,최희섭,KIA,42,0,0,0,-,4,0
41,20,한기주,KIA,1,0,0,0,-,0,0
42,20,한승혁,KIA,6,0,0,0,-,0,0
43,20,험버,KIA,1,0,0,0,-,0,0
44,20,홍건희,KIA,1,0,0,0,-,0,0
45,20,황대인,KIA,22,0,0,0,-,1,0
46,20,황수현,KIA,2,0,0,0,-,0,0
