,name,SBA,SB%,OOB
0,고영표,0,0.0,0
1,김기표,0,0.0,0
2,김동명,2,50.0,2
3,김민수,0,0.0,0
4,김민혁,19,63.1578947368421,1
5,김사연,20,75.0,4
6,김사율,0,0.0,0
7,김상현,9,44.44444444444444,4
8,김선민,1,100.0,0
9,김영환,1,100.0,1
10,김종민,1,0.0,0
11,김진곤,6,66.66666666666666,0
12,김태훈,0,0.0,0
13,댄블랙,0,0.0,2
14,마르테,0,0.0,2
15,모상기,0,0.0,0
16,문상철,0,0.0,1
17,박경수,10,60.0,6
18,박기혁,3,100.0,9
19,박용근,7,71.42857142857143,2
20,배병옥,3,100.0,0
21,배우열,0,0.0,0
22,송민섭,1,100.0,2
23,신명철,1,100.0,4
24,심우준,7,71.42857142857143,2
25,심재민,0,0.0,0
26,안상빈,0,0.0,0
27,오정복,6,50.0,1
28,윤도경,0,0.0,0
29,윤여운,0,0.0,0
30,윤요섭,1,0.0,0
31,이대형,58,75.86206896551724,6
32,이지찬,2,100.0,0
33,이창진,0,0.0,0
34,이해창,0,0.0,0
35,장성우,3,33.33333333333333,5
36,장성호,1,100.0,1
37,장시환,0,0.0,0
38,정대현,0,0.0,0
39,조무근,0,0.0,0
40,조중근,0,0.0,0
41,하준호,13,76.92307692307693,3
42,홍성무,0,0.0,0
43,홍성용,0,0.0,0
44,황덕균,0,0.0,0
