,rank,name,team,G,SBA,SB,CS,SB%,OOB,PKO
0,1,이대형,kt,140,58,44,14,75.9,6,1
1,2,김사연,kt,72,20,15,5,75.0,4,2
2,3,김민혁,kt,82,19,12,7,63.2,1,1
3,4,하준호,kt,80,13,10,3,76.9,3,0
4,5,박경수,kt,137,10,6,4,60.0,6,2
5,6,박용근,kt,27,7,5,2,71.4,2,0
6,6,심우준,kt,106,7,5,2,71.4,2,0
7,8,김상현,kt,134,9,4,5,44.4,4,1
8,8,김진곤,kt,67,6,4,2,66.7,0,1
9,10,박기혁,kt,126,3,3,0,100,9,0
10,10,배병옥,kt,66,3,3,0,100,0,0
11,10,오정복,kt,66,6,3,3,50.0,1,1
12,13,이지찬,kt,34,2,2,0,100,0,0
13,14,김동명,kt,21,2,1,1,50.0,2,0
14,14,김선민,kt,23,1,1,0,100,0,0
15,14,김영환,kt,37,1,1,0,100,1,0
16,14,송민섭,kt,28,1,1,0,100,2,0
17,14,신명철,kt,89,1,1,0,100,4,0
18,14,장성우,kt,133,3,1,2,33.3,5,1
19,14,장성호,kt,49,1,1,0,100,1,0
20,21,고영표,kt,1,0,0,0,-,0,0
21,21,김기표,kt,2,0,0,0,-,0,0
22,21,김민수,kt,2,0,0,0,-,0,0
23,21,김사율,kt,1,0,0,0,-,0,0
24,21,김종민,kt,26,1,0,1,0.0,0,0
25,21,김태훈,kt,22,0,0,0,-,0,0
26,21,댄블랙,kt,54,0,0,0,-,2,0
27,21,마르테,kt,115,0,0,0,-,2,0
28,21,모상기,kt,8,0,0,0,-,0,0
29,21,문상철,kt,51,0,0,0,-,1,0
30,21,배우열,kt,1,0,0,0,-,0,0
31,21,심재민,kt,1,0,0,0,-,0,0
32,21,안상빈,kt,1,0,0,0,-,0,0
33,21,윤도경,kt,4,0,0,0,-,0,0
34,21,윤여운,kt,2,0,0,0,-,0,0
35,21,윤요섭,kt,74,1,0,1,0.0,0,0
36,21,이창진,kt,13,0,0,0,-,0,0
37,21,이해창,kt,5,0,0,0,-,0,0
38,21,장시환,kt,3,0,0,0,-,0,0
39,21,정대현,kt,1,0,0,0,-,0,0
40,21,조무근,kt,1,0,0,0,-,0,0
41,21,조중근,kt,25,0,0,0,-,0,0
42,21,홍성무,kt,3,0,0,0,-,0,0
43,21,홍성용,kt,1,0,0,0,-,0,0
44,21,황덕균,kt,1,0,0,0,-,0,0
